"all_emojis","Freq","app","person"
"🍔",1,"mg","z"
"🍕",2,"mg","z"
"🍞",5,"mg","z"
"🍦",1,"mg","z"
"🍫",1,"mg","z"
"🍼",8,"mg","z"
"🎁",2,"mg","z"
"🎂",1,"mg","z"
"🎄",6,"mg","z"
"🎅",1,"mg","z"
"🎈",5,"mg","z"
"🎉",20,"mg","z"
"🎓",1,"mg","z"
"🎡",1,"mg","z"
"🎨",1,"mg","z"
"🎮",1,"mg","z"
"🎳",1,"mg","z"
"🎶",1,"mg","z"
"🏀",2,"mg","z"
"🏁",10,"mg","z"
"🏎",4,"mg","z"
"🏭",1,"mg","z"
"🐐",1,"mg","z"
"🐑",1,"mg","z"
"🐔",5,"mg","z"
"🐘",5,"mg","z"
"🐟",15,"mg","z"
"🐣",32,"mg","z"
"🐤",4,"mg","z"
"🐥",4,"mg","z"
"🐧",2,"mg","z"
"🐬",4,"mg","z"
"🐰",3,"mg","z"
"🐵",2,"mg","z"
"🐶",1,"mg","z"
"🐷",67,"mg","z"
"🐸",1,"mg","z"
"🐻",3,"mg","z"
"🐼",2,"mg","z"
"🐿",2,"mg","z"
"👀",62,"mg","z"
"👄",3,"mg","z"
"👅",11,"mg","z"
"👆",1,"mg","z"
"👇",1,"mg","z"
"👈",1,"mg","z"
"👉",2,"mg","z"
"👊",1,"mg","z"
"👋",4,"mg","z"
"👌",58,"mg","z"
"👍",240,"mg","z"
"👎",11,"mg","z"
"👏",6,"mg","z"
"👐",1,"mg","z"
"👑",21,"mg","z"
"👔",1,"mg","z"
"👕",1,"mg","z"
"👖",3,"mg","z"
"👗",1,"mg","z"
"👘",1,"mg","z"
"👙",1,"mg","z"
"👚",1,"mg","z"
"👜",1,"mg","z"
"👟",1,"mg","z"
"👠",1,"mg","z"
"👢",1,"mg","z"
"👦",1,"mg","z"
"👧",2,"mg","z"
"👨",7,"mg","z"
"👩",4,"mg","z"
"👰",1,"mg","z"
"👶",7,"mg","z"
"👸",1,"mg","z"
"👹",1,"mg","z"
"👺",1,"mg","z"
"👻",1,"mg","z"
"👼",2,"mg","z"
"👽",2,"mg","z"
"👿",1,"mg","z"
"💀",1,"mg","z"
"💄",2,"mg","z"
"💅",2,"mg","z"
"💆",1,"mg","z"
"💇",4,"mg","z"
"💋",2,"mg","z"
"💓",17,"mg","z"
"💔",1,"mg","z"
"💕",33,"mg","z"
"💖",16,"mg","z"
"💗",4,"mg","z"
"💘",9,"mg","z"
"💙",25,"mg","z"
"💚",18,"mg","z"
"💛",67,"mg","z"
"💜",14,"mg","z"
"💝",8,"mg","z"
"💞",9,"mg","z"
"💤",1,"mg","z"
"💦",3,"mg","z"
"💨",1,"mg","z"
"💩",3,"mg","z"
"💪",8,"mg","z"
"💫",1,"mg","z"
"💰",7,"mg","z"
"💻",1,"mg","z"
"📔",1,"mg","z"
"📩",1,"mg","z"
"📱",1,"mg","z"
"📲",1,"mg","z"
"🔝",1,"mg","z"
"🔥",495,"mg","z"
"🔧",1,"mg","z"
"🔫",1,"mg","z"
"🔬",1,"mg","z"
"🕛",1,"mg","z"
"🖕",5,"mg","z"
"🖤",1,"mg","z"
"😀",25,"mg","z"
"😁",80,"mg","z"
"😂",468,"mg","z"
"😃",10,"mg","z"
"😄",33,"mg","z"
"😅",19,"mg","z"
"😆",13,"mg","z"
"😇",5,"mg","z"
"😈",2,"mg","z"
"😉",102,"mg","z"
"😊",153,"mg","z"
"😋",3,"mg","z"
"😌",1,"mg","z"
"😍",18,"mg","z"
"😎",24,"mg","z"
"😏",22,"mg","z"
"😐",13,"mg","z"
"😑",3,"mg","z"
"😒",36,"mg","z"
"😓",5,"mg","z"
"😔",2,"mg","z"
"😕",7,"mg","z"
"😖",5,"mg","z"
"😗",1,"mg","z"
"😘",43,"mg","z"
"😙",1,"mg","z"
"😚",3,"mg","z"
"😛",2,"mg","z"
"😜",5,"mg","z"
"😝",6,"mg","z"
"😞",2,"mg","z"
"😟",3,"mg","z"
"😠",5,"mg","z"
"😡",10,"mg","z"
"😢",50,"mg","z"
"😣",1,"mg","z"
"😤",7,"mg","z"
"😥",2,"mg","z"
"😦",3,"mg","z"
"😧",1,"mg","z"
"😨",1,"mg","z"
"😩",1,"mg","z"
"😪",2,"mg","z"
"😫",6,"mg","z"
"😬",4,"mg","z"
"😭",266,"mg","z"
"😮",1,"mg","z"
"😯",2,"mg","z"
"😱",9,"mg","z"
"😲",2,"mg","z"
"😳",3,"mg","z"
"😴",1,"mg","z"
"😵",4,"mg","z"
"😶",2,"mg","z"
"😷",1,"mg","z"
"😸",3,"mg","z"
"😹",1,"mg","z"
"😺",26,"mg","z"
"😻",1,"mg","z"
"😼",1,"mg","z"
"😽",1,"mg","z"
"😾",1,"mg","z"
"🙀",1,"mg","z"
"🙁",3,"mg","z"
"🙂",4,"mg","z"
"🙃",11,"mg","z"
"🙈",1,"mg","z"
"🙉",2,"mg","z"
"🙊",1,"mg","z"
"🙌",1,"mg","z"
"🙏",2,"mg","z"
"🚌",1,"mg","z"
"🚗",1,"mg","z"
"🚲",2,"mg","z"
"🚽",1,"mg","z"
"🛑",4,"mg","z"
"🤍",1,"mg","z"
"🤗",1,"mg","z"
"🤛",1,"mg","z"
"🤜",1,"mg","z"
"🤞",1,"mg","z"
"🤣",5,"mg","z"
"🤦",31,"mg","z"
"🤩",1,"mg","z"
"🤪",1,"mg","z"
"🤫",11,"mg","z"
"🤭",1,"mg","z"
"🤮",1,"mg","z"
"🤯",3,"mg","z"
"🤷",69,"mg","z"
"🥂",3,"mg","z"
"🥰",10,"mg","z"
"🥲",10,"mg","z"
"🥳",4,"mg","z"
"🥵",1,"mg","z"
"🥶",2,"mg","z"
"🥹",2,"mg","z"
"🥺",2,"mg","z"
"🧁",1,"mg","z"
"🧐",3,"mg","z"
"🧔",1,"mg","z"
"🧡",1,"mg","z"
"🧦",3,"mg","z"
"🙁",12,"ig","f"
"🙂",11,"ig","f"
"❤",24,"ig","f"
"🐷",1,"ig","f"
"👹",1,"ig","f"
"💔",1,"ig","f"
"💪",1,"ig","f"
"😁",157,"ig","f"
"😃",2,"ig","f"
"😅",1,"ig","f"
"😆",6,"ig","f"
"😇",89,"ig","f"
"😉",1,"ig","f"
"😊",35,"ig","f"
"😋",15,"ig","f"
"😍",15,"ig","f"
"😎",20,"ig","f"
"😑",1,"ig","f"
"😒",5,"ig","f"
"😔",2,"ig","f"
"😕",2,"ig","f"
"😖",2,"ig","f"
"😘",13,"ig","f"
"😙",19,"ig","f"
"😛",1,"ig","f"
"😜",71,"ig","f"
"😞",11,"ig","f"
"😠",1,"ig","f"
"😢",10,"ig","f"
"😣",4,"ig","f"
"😨",9,"ig","f"
"😩",3,"ig","f"
"😬",8,"ig","f"
"😭",3,"ig","f"
"😮",12,"ig","f"
"😱",2,"ig","f"
"😳",5,"ig","f"
"😻",5,"ig","f"
"🙁",3,"ig","f"
"🙂",1,"ig","f"
"🙃",3,"ig","f"
"🙄",2,"ig","f"
"🙉",1,"ig","f"
"🤔",2,"ig","f"
"🤠",1,"ig","f"
"🤨",2,"ig","f"
"🤪",7,"ig","f"
"🤭",2,"ig","f"
"🤯",2,"ig","f"
"🥰",36,"ig","f"
"🥳",8,"ig","f"
"🥺",6,"ig","f"
"🧐",1,"ig","f"
"⚽",406,"mg","f"
"➕",1,"mg","f"
"⚾",1,"mg","f"
"☝",2,"mg","f"
"➡",1,"mg","f"
"☀",49,"mg","f"
"☁",7,"mg","f"
"☑",3,"mg","f"
"☢",1,"mg","f"
"☮",1,"mg","f"
"🙁",377,"mg","f"
"🙂",749,"mg","f"
"♐",1,"mg","f"
"♡",2,"mg","f"
"♤",1,"mg","f"
"♥",8,"mg","f"
"♨",1,"mg","f"
"✈",1,"mg","f"
"✌",65,"mg","f"
"✍",2,"mg","f"
"❄",7,"mg","f"
"❓",7,"mg","f"
"❔",1,"mg","f"
"❕",8,"mg","f"
"❗",12,"mg","f"
"❣",9,"mg","f"
"❤",2098,"mg","f"
"✅",12,"mg","f"
"✋",3,"mg","f"
"✨",7,"mg","f"
"❌",18,"mg","f"
"⚠",2,"mg","f"
"☘",25,"mg","f"
"⚔",4,"mg","f"
"⚧",11,"mg","f"
"⚫",4,"mg","f"
"⚰",1,"mg","f"
"⛄",9,"mg","f"
"⛏",2,"mg","f"
"⛔",1,"mg","f"
"⛰",2,"mg","f"
"⛵",30,"mg","f"
"🌃",9,"mg","f"
"🌈",400,"mg","f"
"🌎",1,"mg","f"
"🌑",1,"mg","f"
"🌚",3,"mg","f"
"🌜",2,"mg","f"
"🌝",6,"mg","f"
"🌞",4,"mg","f"
"🌟",2,"mg","f"
"🌤",1,"mg","f"
"🌫",2,"mg","f"
"🌭",6,"mg","f"
"🌮",1,"mg","f"
"🌯",5,"mg","f"
"🌱",1,"mg","f"
"🌲",1,"mg","f"
"🌳",82,"mg","f"
"🌴",31,"mg","f"
"🌷",6,"mg","f"
"🌸",2,"mg","f"
"🌹",2,"mg","f"
"🌻",2,"mg","f"
"🌼",1,"mg","f"
"🌽",103,"mg","f"
"🍀",527,"mg","f"
"🍇",2,"mg","f"
"🍉",85,"mg","f"
"🍓",38,"mg","f"
"🍔",46,"mg","f"
"🍗",1,"mg","f"
"🍙",47,"mg","f"
"🍛",8,"mg","f"
"🍞",19,"mg","f"
"🍟",2,"mg","f"
"🍠",1,"mg","f"
"🍢",2,"mg","f"
"🍪",155,"mg","f"
"🍯",1,"mg","f"
"🍱",2,"mg","f"
"🍳",2,"mg","f"
"🍴",1,"mg","f"
"🍷",3,"mg","f"
"🍸",30,"mg","f"
"🍹",5,"mg","f"
"🍺",18,"mg","f"
"🍻",680,"mg","f"
"🍼",1,"mg","f"
"🍽",2,"mg","f"
"🍾",5,"mg","f"
"🎁",4,"mg","f"
"🎂",8,"mg","f"
"🎃",5,"mg","f"
"🎄",28,"mg","f"
"🎅",4,"mg","f"
"🎈",360,"mg","f"
"🎉",73,"mg","f"
"🎊",3,"mg","f"
"🎏",4,"mg","f"
"🎓",1,"mg","f"
"🎟",1,"mg","f"
"🎣",1064,"mg","f"
"🎤",3,"mg","f"
"🎫",105,"mg","f"
"🎱",2,"mg","f"
"🎲",2,"mg","f"
"🎶",10,"mg","f"
"🎻",1,"mg","f"
"🎾",3,"mg","f"
"🏀",8,"mg","f"
"🏃",15,"mg","f"
"🏆",60,"mg","f"
"🏐",2,"mg","f"
"🏓",1,"mg","f"
"🏔",2,"mg","f"
"🏖",2,"mg","f"
"🏩",2,"mg","f"
"🏫",8,"mg","f"
"🏳",30,"mg","f"
"🐈",4,"mg","f"
"🐋",1,"mg","f"
"🐏",2,"mg","f"
"🐐",2,"mg","f"
"🐑",2,"mg","f"
"🐒",3,"mg","f"
"🐔",1,"mg","f"
"🐖",1,"mg","f"
"🐗",2,"mg","f"
"🐝",3,"mg","f"
"🐟",248,"mg","f"
"🐠",1,"mg","f"
"🐡",3,"mg","f"
"🐢",1,"mg","f"
"🐣",8,"mg","f"
"🐤",2,"mg","f"
"🐥",1,"mg","f"
"🐫",34,"mg","f"
"🐮",41,"mg","f"
"🐯",9,"mg","f"
"🐱",111,"mg","f"
"🐳",2,"mg","f"
"🐵",265,"mg","f"
"🐶",5,"mg","f"
"🐷",2,"mg","f"
"🐹",1,"mg","f"
"🐻",287,"mg","f"
"🐼",2,"mg","f"
"🐽",1,"mg","f"
"👀",1,"mg","f"
"👄",4,"mg","f"
"👅",2,"mg","f"
"👆",6,"mg","f"
"👈",3,"mg","f"
"👉",16,"mg","f"
"👊",304,"mg","f"
"👋",56,"mg","f"
"👌",94,"mg","f"
"👍",44,"mg","f"
"👎",32,"mg","f"
"👏",47,"mg","f"
"👐",4,"mg","f"
"👑",13,"mg","f"
"👒",6,"mg","f"
"👕",2,"mg","f"
"👖",1,"mg","f"
"👜",1,"mg","f"
"👣",4,"mg","f"
"👥",1,"mg","f"
"👦",19,"mg","f"
"👧",17,"mg","f"
"👨",58,"mg","f"
"👩",21,"mg","f"
"👪",1,"mg","f"
"👫",12,"mg","f"
"👬",9,"mg","f"
"👭",8,"mg","f"
"👯",6,"mg","f"
"👲",2,"mg","f"
"👳",7,"mg","f"
"👶",63,"mg","f"
"👸",9,"mg","f"
"👹",9,"mg","f"
"👺",7,"mg","f"
"👻",11,"mg","f"
"👼",4,"mg","f"
"👽",71,"mg","f"
"👾",1,"mg","f"
"👿",3,"mg","f"
"💀",2,"mg","f"
"💁",26,"mg","f"
"💃",12,"mg","f"
"💆",7,"mg","f"
"💇",7,"mg","f"
"💉",3,"mg","f"
"💊",1,"mg","f"
"💋",7,"mg","f"
"💌",1,"mg","f"
"💍",3,"mg","f"
"💎",12,"mg","f"
"💏",1,"mg","f"
"💐",7,"mg","f"
"💑",2,"mg","f"
"💓",14,"mg","f"
"💔",62,"mg","f"
"💕",87,"mg","f"
"💖",43,"mg","f"
"💗",33,"mg","f"
"💘",13,"mg","f"
"💙",1,"mg","f"
"💚",12,"mg","f"
"💛",9,"mg","f"
"💜",20,"mg","f"
"💝",15,"mg","f"
"💞",28,"mg","f"
"💟",10,"mg","f"
"💢",7,"mg","f"
"💣",14,"mg","f"
"💤",2,"mg","f"
"💦",4,"mg","f"
"💧",1,"mg","f"
"💩",8,"mg","f"
"💪",279,"mg","f"
"💫",11,"mg","f"
"💬",1,"mg","f"
"💭",5,"mg","f"
"💯",10,"mg","f"
"💰",4,"mg","f"
"💲",1,"mg","f"
"💴",3,"mg","f"
"💵",9,"mg","f"
"💶",3,"mg","f"
"💸",10,"mg","f"
"💻",3,"mg","f"
"💼",2,"mg","f"
"📅",3,"mg","f"
"📆",1,"mg","f"
"📊",1,"mg","f"
"📍",1,"mg","f"
"📏",2,"mg","f"
"📐",6,"mg","f"
"📚",4,"mg","f"
"📜",7,"mg","f"
"📝",5,"mg","f"
"📣",1,"mg","f"
"📫",5,"mg","f"
"📸",2,"mg","f"
"📼",1,"mg","f"
"🔀",3,"mg","f"
"🔆",1,"mg","f"
"🔈",1,"mg","f"
"🔌",6,"mg","f"
"🔎",2,"mg","f"
"🔚",6,"mg","f"
"🔜",10,"mg","f"
"🔝",3,"mg","f"
"🔞",8,"mg","f"
"🔥",598,"mg","f"
"🔦",1,"mg","f"
"🔧",1,"mg","f"
"🔨",1,"mg","f"
"🔪",13,"mg","f"
"🔫",113,"mg","f"
"🔭",1,"mg","f"
"🔵",6,"mg","f"
"🔷",1,"mg","f"
"🔸",12,"mg","f"
"🔹",4,"mg","f"
"🕑",2,"mg","f"
"🕰",1,"mg","f"
"🕷",3,"mg","f"
"🕹",1,"mg","f"
"🖤",8,"mg","f"
"🖨",1,"mg","f"
"🗯",2,"mg","f"
"🗼",2,"mg","f"
"😀",13,"mg","f"
"😁",7022,"mg","f"
"😂",42,"mg","f"
"😃",210,"mg","f"
"😄",56,"mg","f"
"😅",15,"mg","f"
"😆",269,"mg","f"
"😇",5100,"mg","f"
"😈",88,"mg","f"
"😉",587,"mg","f"
"😊",2633,"mg","f"
"😋",363,"mg","f"
"😌",19,"mg","f"
"😍",549,"mg","f"
"😎",882,"mg","f"
"😏",82,"mg","f"
"😐",87,"mg","f"
"😑",177,"mg","f"
"😒",138,"mg","f"
"😓",15,"mg","f"
"😔",80,"mg","f"
"😕",585,"mg","f"
"😖",179,"mg","f"
"😗",18,"mg","f"
"😘",421,"mg","f"
"😙",1073,"mg","f"
"😚",96,"mg","f"
"😛",108,"mg","f"
"😜",4308,"mg","f"
"😝",1,"mg","f"
"😞",538,"mg","f"
"😟",10,"mg","f"
"😠",32,"mg","f"
"😡",334,"mg","f"
"😢",297,"mg","f"
"😣",526,"mg","f"
"😤",15,"mg","f"
"😥",9,"mg","f"
"😦",13,"mg","f"
"😧",12,"mg","f"
"😨",208,"mg","f"
"😩",60,"mg","f"
"😪",24,"mg","f"
"😫",23,"mg","f"
"😬",460,"mg","f"
"😭",610,"mg","f"
"😮",154,"mg","f"
"😯",10,"mg","f"
"😰",5,"mg","f"
"😱",1981,"mg","f"
"😲",19,"mg","f"
"😳",452,"mg","f"
"😴",34,"mg","f"
"😵",166,"mg","f"
"😶",85,"mg","f"
"😷",10,"mg","f"
"😸",6,"mg","f"
"😺",23,"mg","f"
"😻",8,"mg","f"
"😽",6,"mg","f"
"😾",1,"mg","f"
"😿",3,"mg","f"
"🙀",2,"mg","f"
"🙁",190,"mg","f"
"🙂",93,"mg","f"
"🙃",293,"mg","f"
"🙄",220,"mg","f"
"🙅",2,"mg","f"
"🙆",9,"mg","f"
"🙇",6,"mg","f"
"🙈",83,"mg","f"
"🙉",4,"mg","f"
"🙊",2,"mg","f"
"🙋",29,"mg","f"
"🙌",4,"mg","f"
"🙍",1,"mg","f"
"🙎",2,"mg","f"
"🙏",23,"mg","f"
"🚀",25,"mg","f"
"🚂",1,"mg","f"
"🚇",1,"mg","f"
"🚌",1,"mg","f"
"🚍",2,"mg","f"
"🚑",4,"mg","f"
"🚒",1,"mg","f"
"🚔",7,"mg","f"
"🚖",2,"mg","f"
"🚗",207,"mg","f"
"🚘",3,"mg","f"
"🚙",1,"mg","f"
"🚚",1,"mg","f"
"🚛",1,"mg","f"
"🚜",11,"mg","f"
"🚨",37,"mg","f"
"🚫",1,"mg","f"
"🚬",1,"mg","f"
"🚭",1,"mg","f"
"🚴",2,"mg","f"
"🚸",4,"mg","f"
"🚼",6,"mg","f"
"🚽",110,"mg","f"
"🛀",4,"mg","f"
"🛁",3,"mg","f"
"🛹",1,"mg","f"
"🟨",1,"mg","f"
"🤍",2,"mg","f"
"🤎",1,"mg","f"
"🤐",54,"mg","f"
"🤓",15,"mg","f"
"🤔",55,"mg","f"
"🤕",12,"mg","f"
"🤗",29,"mg","f"
"🤚",4,"mg","f"
"🤛",7,"mg","f"
"🤜",1,"mg","f"
"🤝",9,"mg","f"
"🤟",3,"mg","f"
"🤠",6,"mg","f"
"🤡",16,"mg","f"
"🤢",50,"mg","f"
"🤣",66,"mg","f"
"🤥",8,"mg","f"
"🤦",72,"mg","f"
"🤧",4,"mg","f"
"🤨",117,"mg","f"
"🤩",15,"mg","f"
"🤪",959,"mg","f"
"🤫",10,"mg","f"
"🤬",88,"mg","f"
"🤭",39,"mg","f"
"🤮",36,"mg","f"
"🤯",159,"mg","f"
"🤰",1,"mg","f"
"🤲",6,"mg","f"
"🤷",2,"mg","f"
"🥇",15,"mg","f"
"🥔",1,"mg","f"
"🥕",3,"mg","f"
"🥖",4,"mg","f"
"🥚",3,"mg","f"
"🥞",2,"mg","f"
"🥧",2,"mg","f"
"🥫",3,"mg","f"
"🥰",2193,"mg","f"
"🥱",2,"mg","f"
"🥲",6,"mg","f"
"🥳",405,"mg","f"
"🥴",148,"mg","f"
"🥵",4,"mg","f"
"🥶",30,"mg","f"
"🥸",1,"mg","f"
"🥹",1,"mg","f"
"🥺",218,"mg","f"
"🦆",12,"mg","f"
"🦔",2,"mg","f"
"🦛",1,"mg","f"
"🦠",3,"mg","f"
"🦥",1,"mg","f"
"🦰",1,"mg","f"
"🦸",4,"mg","f"
"🦻",1,"mg","f"
"🧀",1,"mg","f"
"🧃",2,"mg","f"
"🧐",180,"mg","f"
"🧑",1,"mg","f"
"🧔",1,"mg","f"
"🧠",10,"mg","f"
"🧡",4,"mg","f"
"🧣",1,"mg","f"
"🧧",1,"mg","f"
"🧫",1,"mg","f"
"🧮",3,"mg","f"
"🧲",12,"mg","f"
"🧴",2,"mg","f"
"🧵",1,"mg","f"
"🧺",2,"mg","f"
"☠",1,"ig","a"
"✌",3,"ig","a"
"❤",145,"ig","a"
"🌚",1,"ig","a"
"🌫",1,"ig","a"
"🍔",1,"ig","a"
"🍿",1,"ig","a"
"🎉",1,"ig","a"
"👁",2,"ig","a"
"👅",2,"ig","a"
"👍",1,"ig","a"
"👏",2,"ig","a"
"👑",1,"ig","a"
"👩",5,"ig","a"
"👮",1,"ig","a"
"👻",1,"ig","a"
"👽",1,"ig","a"
"💕",3,"ig","a"
"💛",6,"ig","a"
"💜",2,"ig","a"
"💥",1,"ig","a"
"💯",5,"ig","a"
"🔥",1,"ig","a"
"🔩",1,"ig","a"
"🕳",6,"ig","a"
"😁",5,"ig","a"
"😂",11,"ig","a"
"😅",2,"ig","a"
"😇",12,"ig","a"
"😊",5,"ig","a"
"😋",1,"ig","a"
"😍",2,"ig","a"
"😎",31,"ig","a"
"😏",3,"ig","a"
"😐",1,"ig","a"
"😑",1,"ig","a"
"😗",1,"ig","a"
"😘",1,"ig","a"
"😡",1,"ig","a"
"😢",1,"ig","a"
"😣",1,"ig","a"
"😪",1,"ig","a"
"😬",1,"ig","a"
"😭",5,"ig","a"
"😮",1,"ig","a"
"😳",7,"ig","a"
"😶",1,"ig","a"
"😻",3,"ig","a"
"😼",2,"ig","a"
"😿",9,"ig","a"
"🙃",1,"ig","a"
"🙈",2,"ig","a"
"🙋",1,"ig","a"
"🙏",5,"ig","a"
"🚆",4,"ig","a"
"🤌",2,"ig","a"
"🤓",3,"ig","a"
"🤝",5,"ig","a"
"🤞",2,"ig","a"
"🤟",1,"ig","a"
"🤡",14,"ig","a"
"🤦",1,"ig","a"
"🤧",1,"ig","a"
"🤪",1,"ig","a"
"🤭",2,"ig","a"
"🤮",1,"ig","a"
"🤸",4,"ig","a"
"🥰",15,"ig","a"
"🥲",6,"ig","a"
"🥳",2,"ig","a"
"🥵",1,"ig","a"
"🥶",4,"ig","a"
"🥸",2,"ig","a"
"🥺",33,"ig","a"
"🦖",1,"ig","a"
"🦯",4,"ig","a"
"🦳",2,"ig","a"
"🧐",8,"ig","a"
"🧑",1,"ig","a"
"⚽",122,"mg","a"
"➿",1,"mg","a"
"➰",1,"mg","a"
"☝",4,"mg","a"
"➡",25,"mg","a"
"☀",8,"mg","a"
"☂",1,"mg","a"
"☄",5,"mg","a"
"★",1,"mg","a"
"☠",17,"mg","a"
"☢",2,"mg","a"
"☣",1,"mg","a"
"☪",1,"mg","a"
"☯",5,"mg","a"
"☸",1,"mg","a"
"🙁",21,"mg","a"
"🙂",34,"mg","a"
"♉",7,"mg","a"
"♋",10,"mg","a"
"♍",1,"mg","a"
"♏",2,"mg","a"
"♐",1,"mg","a"
"♒",1,"mg","a"
"♠",1,"mg","a"
"♣",1,"mg","a"
"♥",15,"mg","a"
"♦",1,"mg","a"
"♨",4,"mg","a"
"♪",1,"mg","a"
"✂",3,"mg","a"
"✈",2,"mg","a"
"✉",4,"mg","a"
"✌",21,"mg","a"
"✒",15,"mg","a"
"✔",14,"mg","a"
"✖",1,"mg","a"
"✝",10,"mg","a"
"✡",1,"mg","a"
"✴",1,"mg","a"
"❁",2,"mg","a"
"❄",7,"mg","a"
"❇",1,"mg","a"
"❎",1,"mg","a"
"❓",1,"mg","a"
"❔",3,"mg","a"
"❕",6,"mg","a"
"❗",5,"mg","a"
"❣",10,"mg","a"
"❤",4240,"mg","a"
"✅",18,"mg","a"
"✊",2,"mg","a"
"✋",21,"mg","a"
"✨",168,"mg","a"
"❌",29,"mg","a"
"☕",4,"mg","a"
"♻",1,"mg","a"
"⚡",1,"mg","a"
"☘",1,"mg","a"
"♿",7,"mg","a"
"⚒",1,"mg","a"
"⚓",1,"mg","a"
"⚔",1,"mg","a"
"⚗",2,"mg","a"
"⚫",5,"mg","a"
"⚰",12,"mg","a"
"⚱",1,"mg","a"
"⛄",5,"mg","a"
"⛅",1,"mg","a"
"⛏",2,"mg","a"
"⛑",9,"mg","a"
"⛓",7,"mg","a"
"⛪",1,"mg","a"
"⛰",2,"mg","a"
"⛲",2,"mg","a"
"⛸",1,"mg","a"
"🌀",6,"mg","a"
"🌁",1,"mg","a"
"🌃",1,"mg","a"
"🌄",2,"mg","a"
"🌅",2,"mg","a"
"🌆",1,"mg","a"
"🌇",1,"mg","a"
"🌈",116,"mg","a"
"🌉",1,"mg","a"
"🌊",4,"mg","a"
"🌋",3,"mg","a"
"🌌",2,"mg","a"
"🌍",4,"mg","a"
"🌏",5,"mg","a"
"🌐",1,"mg","a"
"🌑",1,"mg","a"
"🌚",5,"mg","a"
"🌝",2,"mg","a"
"🌞",10,"mg","a"
