Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote
1969,Oregon,1.25,8.81,1.15,8.11,1.25,8.81,36.7,1.25,1.25,8.81,1.25,8.81,
1969,Pennsylvania,1.15,8.11,1.15,8.11,1.15,8.11,36.7,1.15,1.15,8.11,1.15,8.11,
1969,Puerto Rico,0.43,3.03,1.15,8.11,1.15,8.11,36.7,.43 - 1.60,0.43,3.03,1.6,11.28,
1969,Rhode Island,1.4,9.87,1.15,8.11,1.4,9.87,36.7,1.4,1.4,9.87,1.4,9.87,
1969,South Carolina,0,0,1.15,8.11,1.15,8.11,36.7,...,0,0,0,0,
1969,South Dakota,0.425,3,1.15,8.11,1.15,8.11,36.7,17.00 - 20.00/wk,0.425,3,0.5,3.52,
1969,Tennessee,0,0,1.15,8.11,1.15,8.11,36.7,...,0,0,0,0,
1969,Texas,0,0,1.15,8.11,1.15,8.11,36.7,...,0,0,0,0,
1969,U.S. Virgin Islands,0,0,1.15,8.11,1.15,8.11,36.7,...,0,NA,0,NA,
1969,Utah,1,7.05,1.15,8.11,1.15,8.11,36.7,1.00 - 1.15(b),1,7.05,1.15,8.11,(b)
1969,Vermont,1.4,9.87,1.15,8.11,1.4,9.87,36.7,1.4,1.4,9.87,1.4,9.87,
1969,Virginia,0,0,1.15,8.11,1.15,8.11,36.7,...,0,0,0,0,
1969,Washington,1.6,11.28,1.15,8.11,1.6,11.28,36.7,1.6,1.6,11.28,1.6,11.28,
1969,West Virginia,1,7.05,1.15,8.11,1.15,8.11,36.7,1,1,7.05,1,7.05,
1969,Wisconsin,1.25,8.81,1.15,8.11,1.25,8.81,36.7,1.25 (b),1.25,8.81,1.25,8.81,(b)
1969,Wyoming,1.2,8.46,1.15,8.11,1.2,8.46,36.7,1.2,1.2,8.46,1.2,8.46,
1970,Alabama,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Alaska,2.1,14,1.3,8.67,2.1,14,38.8,2.1,2.1,14,2.1,14,
1970,Arizona,0.468,3.12,1.3,8.67,1.3,8.67,38.8,18.72 - 26.40/wk(b),0.468,3.12,0.66,4.4,(b)
1970,Arkansas,1.1,7.33,1.3,8.67,1.3,8.67,38.8,1.1,1.1,7.33,1.1,7.33,
1970,California,1.65,11,1.3,8.67,1.65,11,38.8,1.65(b),1.65,11,1.65,11,(b)
1970,Colorado,1,6.67,1.3,8.67,1.3,8.67,38.8,1.00 - 1.25(b),1,6.67,1.25,8.33,(b)
1970,Connecticut,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,Delaware,1.25,8.33,1.3,8.67,1.3,8.67,38.8,1.25,1.25,8.33,1.25,8.33,
1970,District of Columbia,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.60 - 2.00,1.6,10.67,2,13.33,
1970,Florida,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Georgia,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Guam,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,Hawaii,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,Idaho,1.25,8.33,1.3,8.67,1.3,8.67,38.8,1.25,1.25,8.33,1.25,8.33,
1970,Illinois,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Indiana,1.25,8.33,1.3,8.67,1.3,8.67,38.8,1.25,1.25,8.33,1.25,8.33,
1970,Iowa,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Kansas,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Kentucky,0.65,4.33,1.3,8.67,1.3,8.67,38.8,.65 - .75(b),0.65,4.33,0.75,5,(b)
1970,Louisiana,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Maine,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,Maryland,1.3,8.67,1.3,8.67,1.3,8.67,38.8,1.3,1.3,8.67,1.3,8.67,
1970,Massachusetts,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,Michigan,1.25,8.33,1.3,8.67,1.3,8.67,38.8,1.25,1.25,8.33,1.25,8.33,
1970,Minnesota,0.7,4.67,1.3,8.67,1.3,8.67,38.8,.70 - 1.15(b),0.7,4.67,1.15,7.67,(b)
1970,Mississippi,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Missouri,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Montana,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Nebraska,1,6.67,1.3,8.67,1.3,8.67,38.8,1,1,6.67,1,6.67,
1970,Nevada,1.3,8.67,1.3,8.67,1.3,8.67,38.8,1.3,1.3,8.67,1.3,8.67,
1970,New Hampshire,1.45,9.67,1.3,8.67,1.45,9.67,38.8,1.45 & 1.60,1.45,9.67,1.6,10.67,
1970,New Jersey,1.5,10,1.3,8.67,1.5,10,38.8,1.5,1.5,10,1.5,10,
1970,New Mexico,1.3,8.67,1.3,8.67,1.3,8.67,38.8,1.30 - 1.60,1.3,8.67,1.6,10.67,
1970,New York,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,North Carolina,1.25,8.33,1.3,8.67,1.3,8.67,38.8,1.25,1.25,8.33,1.25,8.33,
1970,North Dakota,1,6.67,1.3,8.67,1.3,8.67,38.8,1.00 - 1.45,1,6.67,1.45,9.67,
1970,Ohio,0.75,5,1.3,8.67,1.3,8.67,38.8,.75 - 1.25(b),0.75,5,1.25,8.33,(b)
1970,Oklahoma,1,6.67,1.3,8.67,1.3,8.67,38.8,1,1,6.67,1,6.67,
1970,Oregon,1.25,8.33,1.3,8.67,1.3,8.67,38.8,1.25,1.25,8.33,1.25,8.33,
1970,Pennsylvania,1.3,8.67,1.3,8.67,1.3,8.67,38.8,1.3,1.3,8.67,1.3,8.67,
1970,Puerto Rico,0.43,2.87,1.3,8.67,1.3,8.67,38.8,.43 - 1.60,0.43,2.87,1.6,10.67,
1970,Rhode Island,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,South Carolina,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,South Dakota,1,6.67,1.3,8.67,1.3,8.67,38.8,1,1,6.67,1,6.67,
1970,Tennessee,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Texas,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,U.S. Virgin Islands,0,0,1.3,8.67,1.3,8.67,38.8,...,0,NA,0,NA,
1970,Utah,1,6.67,1.3,8.67,1.3,8.67,38.8,1.00 - 1.15(b),1,6.67,1.15,7.67,(b)
1970,Vermont,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,Virginia,0,0,1.3,8.67,1.3,8.67,38.8,...,0,0,0,0,
1970,Washington,1.6,10.67,1.3,8.67,1.6,10.67,38.8,1.6,1.6,10.67,1.6,10.67,
1970,West Virginia,1,6.67,1.3,8.67,1.3,8.67,38.8,1,1,6.67,1,6.67,
1970,Wisconsin,1.3,8.67,1.3,8.67,1.3,8.67,38.8,1.30 (b),1.3,8.67,1.3,8.67,(b)
1970,Wyoming,1.3,8.67,1.3,8.67,1.3,8.67,38.8,1.3,1.3,8.67,1.3,8.67,
1971,Alabama,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Alaska,2.1,13.41,1.3,8.3,2.1,13.41,40.5,2.1,2.1,13.41,2.1,13.41,
1971,Arizona,0.468,2.99,1.3,8.3,1.3,8.3,40.5,18.72 - 26.40/wk(b),0.468,2.99,0.66,4.22,(b)
1971,Arkansas,1.1,7.03,1.3,8.3,1.3,8.3,40.5,1.1,1.1,7.03,1.1,7.03,
1971,California,1.65,10.54,1.3,8.3,1.65,10.54,40.5,1.65(b),1.65,10.54,1.65,10.54,(b)
1971,Colorado,1,6.39,1.3,8.3,1.3,8.3,40.5,1.00 - 1.25(b),1,6.39,1.25,7.98,(b)
1971,Connecticut,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,Delaware,1.25,7.98,1.3,8.3,1.3,8.3,40.5,1.25,1.25,7.98,1.25,7.98,
1971,District of Columbia,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.60 - 2.00,1.6,10.22,2,12.77,
1971,Florida,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Georgia,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Guam,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,Hawaii,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,Idaho,1.25,7.98,1.3,8.3,1.3,8.3,40.5,1.25,1.25,7.98,1.25,7.98,
1971,Illinois,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Indiana,1.25,7.98,1.3,8.3,1.3,8.3,40.5,1.25,1.25,7.98,1.25,7.98,
1971,Iowa,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Kansas,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Kentucky,0.65,4.15,1.3,8.3,1.3,8.3,40.5,.65 - .75(b),0.65,4.15,0.75,4.79,(b)
1971,Louisiana,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Maine,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,Maryland,1.3,8.3,1.3,8.3,1.3,8.3,40.5,1.3,1.3,8.3,1.3,8.3,
1971,Massachusetts,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,Michigan,1.25,7.98,1.3,8.3,1.3,8.3,40.5,1.25,1.25,7.98,1.25,7.98,
1971,Minnesota,0.7,4.47,1.3,8.3,1.3,8.3,40.5,.70 - 1.15(b),0.7,4.47,1.15,7.34,(b)
1971,Mississippi,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Missouri,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Montana,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Nebraska,1,6.39,1.3,8.3,1.3,8.3,40.5,1,1,6.39,1,6.39,
1971,Nevada,1.3,8.3,1.3,8.3,1.3,8.3,40.5,1.3,1.3,8.3,1.3,8.3,
1971,New Hampshire,1.45,9.26,1.3,8.3,1.45,9.26,40.5,1.45 & 1.60,1.45,9.26,1.6,10.22,
1971,New Jersey,1.5,9.58,1.3,8.3,1.5,9.58,40.5,1.5,1.5,9.58,1.5,9.58,
1971,New Mexico,1.3,8.3,1.3,8.3,1.3,8.3,40.5,1.30 - 1.60,1.3,8.3,1.6,10.22,
1971,New York,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,North Carolina,1.25,7.98,1.3,8.3,1.3,8.3,40.5,1.25,1.25,7.98,1.25,7.98,
1971,North Dakota,1,6.39,1.3,8.3,1.3,8.3,40.5,1.00 - 1.45,1,6.39,1.45,9.26,
1971,Ohio,0.75,4.79,1.3,8.3,1.3,8.3,40.5,.75 - 1.25(b),0.75,4.79,1.25,7.98,(b)
1971,Oklahoma,1,6.39,1.3,8.3,1.3,8.3,40.5,1,1,6.39,1,6.39,
1971,Oregon,1.25,7.98,1.3,8.3,1.3,8.3,40.5,1.25,1.25,7.98,1.25,7.98,
1971,Pennsylvania,1.3,8.3,1.3,8.3,1.3,8.3,40.5,1.3,1.3,8.3,1.3,8.3,
1971,Puerto Rico,0.43,2.75,1.3,8.3,1.3,8.3,40.5,.43 - 1.60,0.43,2.75,1.6,10.22,
1971,Rhode Island,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,South Carolina,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,South Dakota,1,6.39,1.3,8.3,1.3,8.3,40.5,1,1,6.39,1,6.39,
1971,Tennessee,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Texas,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,U.S. Virgin Islands,0,0,1.3,8.3,1.3,8.3,40.5,...,0,NA,0,NA,
1971,Utah,1,6.39,1.3,8.3,1.3,8.3,40.5,1.00 - 1.15(b),1,6.39,1.15,7.34,(b)
1971,Vermont,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,Virginia,0,0,1.3,8.3,1.3,8.3,40.5,...,0,0,0,0,
1971,Washington,1.6,10.22,1.3,8.3,1.6,10.22,40.5,1.6,1.6,10.22,1.6,10.22,
1971,West Virginia,1,6.39,1.3,8.3,1.3,8.3,40.5,1,1,6.39,1,6.39,
1971,Wisconsin,1.3,8.3,1.3,8.3,1.3,8.3,40.5,1.30 (b),1.3,8.3,1.3,8.3,(b)
1971,Wyoming,1.3,8.3,1.3,8.3,1.3,8.3,40.5,1.3,1.3,8.3,1.3,8.3,
1972,Alabama,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Alaska,2.1,12.99,1.6,9.9,2.1,12.99,41.8,2.1,2.1,12.99,2.1,12.99,
1972,Arizona,0.468,2.9,1.6,9.9,1.6,9.9,41.8,18.72-26.40/wk(b),0.468,2.9,0.66,4.08,(b)
1972,Arkansas,1.2,7.43,1.6,9.9,1.6,9.9,41.8,1.2,1.2,7.43,1.2,7.43,
1972,California,1.65,10.21,1.6,9.9,1.65,10.21,41.8,1.65(b),1.65,10.21,1.65,10.21,(b)
1972,Colorado,1,6.19,1.6,9.9,1.6,9.9,41.8,1.00 - 1.25(b),1,6.19,1.25,7.74,(b)
1972,Connecticut,1.85,11.45,1.6,9.9,1.85,11.45,41.8,1.85,1.85,11.45,1.85,11.45,
1972,Delaware,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.6,1.6,9.9,1.6,9.9,
1972,District of Columbia,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.60 - 2.25,1.6,9.9,2.25,13.92,
1972,Florida,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Georgia,1.25,7.74,1.6,9.9,1.6,9.9,41.8,1.25,1.25,7.74,1.25,7.74,
1972,Guam,1.9,11.76,1.6,9.9,1.9,11.76,41.8,1.9,1.9,11.76,1.9,11.76,
1972,Hawaii,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.6,1.6,9.9,1.6,9.9,
1972,Idaho,1.4,8.66,1.6,9.9,1.6,9.9,41.8,1.4,1.4,8.66,1.4,8.66,
1972,Illinois,1.4,8.66,1.6,9.9,1.6,9.9,41.8,1.4,1.4,8.66,1.4,8.66,
1972,Indiana,1.25,7.74,1.6,9.9,1.6,9.9,41.8,1.25,1.25,7.74,1.25,7.74,
1972,Iowa,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Kansas,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Kentucky,0.65,4.02,1.6,9.9,1.6,9.9,41.8,.65 - .75(b),0.65,4.02,0.75,4.64,(b)
1972,Louisiana,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Maine,1.4,8.66,1.6,9.9,1.6,9.9,41.8,1.40 - 1.80,1.4,8.66,1.8,11.14,
1972,Maryland,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.6,1.6,9.9,1.6,9.9,
1972,Massachusetts,1.75,10.83,1.6,9.9,1.75,10.83,41.8,1.75,1.75,10.83,1.75,10.83,
1972,Michigan,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.6,1.6,9.9,1.6,9.9,
1972,Minnesota,0.75,4.64,1.6,9.9,1.6,9.9,41.8,.75 - 1.60,0.75,4.64,1.6,9.9,
1972,Mississippi,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Missouri,0,0,1.6,9.9,1.6,9.9,41.8,...,0,0,0,0,
1972,Montana,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.6,1.6,9.9,1.6,9.9,
1972,Nebraska,1,6.19,1.6,9.9,1.6,9.9,41.8,1,1,6.19,1,6.19,
1972,Nevada,1.6,9.9,1.6,9.9,1.6,9.9,41.8,1.6,1.6,9.9,1.6,9.9,
