index,name,pi,USN2010,NRC95,Region,institution,position
36,49,56.76,35,44,West,UC Santa Barbara,"array([-7.52642054,  5.70813662])"
37,50,59.1,39,37,West,University of Utah,"array([-7.50559735,  5.88605743])"
38,54,66.24,58,49,Midwest,Michigan State University,"array([-7.4415071,  5.7997743])"
39,56,68.17,39,37,West,"University of Colorado, Boulder","array([-7.48910268,  5.72548472])"
40,57,69.84,.,92,Canada,McGill University,"array([-7.64813002,  5.76872279])"
41,60,71.14,53,92,West,UC Riverside,"array([-7.63523601,  5.87735702])"
42,61,74.4,79,75,Midwest,"University of Kansas, Lawrence","array([-7.42896781,  5.82424129])"
43,63,75.2,79,92,South,College of William and Mary,"array([-7.45407767,  5.89685571])"
44,65,78.54,.,92,Canada,University of Montreal,"array([-7.68646705,  5.9038979 ])"
45,66,78.97,.,92,Canada,Simon Fraser University,"array([-7.68012014,  5.83277624])"
46,67,79.33,58,47,Midwest,"University of Illinois, Chicago","array([-7.63065206,  5.75441349])"
47,69,79.49,53,46,West,UC Santa Cruz,"array([-7.55641397,  5.67816859])"
48,71,80.22,110,78,South,Southern Methodist University,"array([-7.3870117 ,  5.88025981])"
49,72,81.51,91,72,South,University of Central Florida,"array([-7.44969264,  5.83872403])"
50,74,81.9,47,53,South,North Carolina State University,"array([-7.4918245 ,  5.75022822])"
51,78,84.01,.,92,Canada,McMaster University,"array([-7.73608663,  5.85386708])"
52,79,84.55,72,92,Northeast,Brandeis University,"array([-7.65821565,  5.982305  ])"
53,80,86.24,.,92,Canada,University of Alberta,"array([-7.66181963,  5.85083664])"
54,82,87.42,72,92,Northeast,Polytechnic Institute of NYU,"array([-7.64845519,  5.70023794])"
55,83,87.49,63,55,Midwest,University of Iowa,"array([-7.50553439,  5.93572003])"
56,85,92.45,63,68,Midwest,Iowa State University,"array([-7.43602067,  5.86200346])"
57,89,98.8,63,92,Midwest,University of Notre Dame,"array([-7.41012021,  5.77100219])"
58,91,100.27,.,92,Canada,University of Calgary,"array([-7.74015114,  5.82038814])"
59,98,106.62,99,74,South,"University of Texas, Arlington","array([-7.46431344,  5.81710753])"
60,101,108.71,79,38,West,Oregon Health and Science University,"array([-7.74607053,  5.90420634])"
61,105,111.94,99,61,South,University of South Florida,"array([-7.42749743,  5.89788753])"
62,106,112.4,44,59,South,Virginia Tech,"array([-7.48361499,  5.82719123])"
63,111,116.75,53,33,Midwest,Indiana University,"array([-7.57262702,  5.84152198])"
64,115,120.85,91,92,Northeast,New Jersey Institute of Technology,"array([-7.60797795,  5.70366539])"
65,116,123.11,91,58,South,University of Kentucky,"array([-7.52870495,  5.97224458])"
66,125,127.72,63,62,West,Oregon State University,"array([-7.38845945,  5.83591411])"
67,135,135.62,127,92,Northeast,University of Maine,"array([-7.75303516,  5.6439828 ])"
68,148,142.23,72,73,West,Naval Postgraduate School,"array([-7.67668792,  5.76757805])"
69,154,146.5,72,92,Northeast,Tufts University,"array([-7.66813151,  5.65042276])"
70,157,150.08,.,92,Midwest,Ohio University,"array([-7.52571602,  6.04312783])"
71,167,156.16,110,62,Northeast,Temple University,"array([-7.70282609,  5.68717011])"
72,170,156.98,.,92,Northeast,University of New Hampshire,"array([-7.35056546,  5.7390373 ])"
73,4,5.24,11,12,West,California Institute of Technology,"array([-7.56281886,  5.88516347])"
74,19,21.92,20,13,Northeast,Brown University,"array([-7.55810065,  5.86002633])"
75,34,38.11,28,32,South,University of Virginia,"array([-7.51048117,  5.73065536])"
76,39,40.57,47,30,West,University of Arizona,"array([-7.44007588,  5.76895367])"
77,40,41.22,28,50,Northeast,Pennsylvania State University,"array([-7.48755324,  5.79802879])"
78,41,42.17,28,36,Midwest,Ohio State University,"array([-7.50536731,  5.81289927])"
79,44,46.81,53,39,Northeast,University of Pittsburgh,"array([-7.48711727,  5.86552522])"
80,45,51.73,47,52,Northeast,Boston University,"array([-7.69456683,  5.80769425])"
81,51,61.39,39,52,West,UC Davis,"array([-7.55131353,  5.7067737 ])"
82,52,63.14,47,56,South,Texas A&M,"array([-7.46375792,  5.78957807])"
83,53,64.97,110,66,South,University of Houston,"array([-7.6588796,  5.8230805])"
84,55,67.81,.,92,Canada,University of Waterloo,"array([-7.66811005,  5.79519955])"
85,70,79.68,47,45,Northeast,Rensselaer Polytechnic Institute,"array([-7.55556193,  5.73350245])"
86,81,87.19,79,60,South,George Washington University,"array([-7.57121907,  5.93879807])"
87,84,87.66,72,92,South,University of Delaware,"array([-7.60622604,  5.94382785])"
88,87,94.94,39,42,South,University of Florida,"array([-7.47177598,  5.84291357])"
89,88,97.34,63,92,South,George Mason University,"array([-7.53945924,  5.87116668])"
90,96,102.07,110,92,Midwest,"University of Wisconsin, Milwaukee","array([-7.65634412,  5.90958679])"
91,97,102.17,99,68,South,Louisiana State University,"array([-7.48492456,  5.69820618])"
92,102,108.72,53,54,West,Arizona State University,"array([-7.48503435,  5.77597423])"
93,107,113.61,.,92,West,Portland State University,"array([-7.58099061,  5.67756433])"
94,112,117.72,110,79,Midwest,Illinois Institute of Technology,"array([-7.48458362,  5.91324978])"
95,120,125.87,79,67,South,"University of Texas, Dallas","array([-7.53350719,  5.73514507])"
96,122,126.16,.,92,Midwest,Toyota Technological Institute at Chicago,"array([-7.76157738,  5.70747677])"
97,124,127.37,99,92,Northeast,Drexel University,"array([-7.70910362,  5.71404682])"
98,133,134.13,72,78,South,"University of Maryland, Baltimore County","array([-7.65600707,  5.73890145])"
99,136,137.31,.,92,Northeast,Clarkson University,"array([-7.71140968,  5.59221317])"
100,139,137.87,.,92,Canada,University of Victoria,"array([-7.72703024,  5.79618071])"
101,147,142.2,.,92,South,"University of Texas, El Paso","array([-7.46883241,  5.67524503])"
102,166,154.88,127,92,West,"University of Hawaii, Manoa","array([-7.55733934,  5.96190654])"
103,191,174.47,127,92,Midwest,DePaul University,"array([-7.55694474,  5.91000261])"
104,192,176.03,127,92,Midwest,North Dakota State University,"array([-7.4276488 ,  5.93652833])"
105,35,38.27,20,23,Midwest,Purdue University,"array([-7.53711391,  5.84357667])"
106,43,46.4,39,48,Midwest,"Washington University, St. Louis","array([-7.45978454,  5.86540643])"
107,47,54.86,63,57,West,University of Oregon,"array([-7.59548017,  5.65249401])"
108,59,70.82,63,60,Midwest,Case Western Reserve University,"array([-7.58819934,  5.91817828])"
109,73,81.65,79,92,West,University of New Mexico,"array([-7.43695445,  5.71957192])"
110,100,108.32,72,80,Northeast,University of Connecticut,"array([-7.66146623,  5.87716533])"
111,104,110.18,91,92,Northeast,"State University of New York, Albany","array([-7.3929535 ,  5.74714345])"
112,113,119.03,63,92,South,"University of Tennessee, Knoxville","array([-7.41433606,  5.87725625])"
113,128,130.66,79,65,Midwest,"University of Nebraska, Lincoln","array([-7.41773074,  5.79403409])"
114,129,130.86,.,92,Canada,University of Saskatchewan,"array([-7.76238679,  5.79816701])"
115,131,133.22,.,92,South,"University of Texas, San Antonio","array([-7.46078726,  5.70637115])"
116,143,139.97,.,92,Canada,Dalhousie University,"array([-7.67838905,  5.71766198])"
117,145,140.75,91,89,Northeast,Worcester Polytechnic Institute,"array([-7.53503869,  5.94189199])"
118,150,144.8,.,92,West,University of Wyoming,"array([-7.32039391,  5.81063038])"
119,151,145.24,.,92,Canada,York University,"array([-7.70122079,  5.8620895 ])"
120,160,151.45,79,92,South,Clemson University,"array([-7.42540541,  5.74816431])"
121,161,151.46,127,84,Northeast,"University of Massachusetts, Lowell","array([-7.70659693,  5.93101536])"
122,168,156.35,.,92,Midwest,University of Toledo,"array([-7.64646987,  5.59884494])"
123,175,163.79,61,92,Northeast,Northeastern University,"array([-7.62147658,  5.89958441])"
124,181,166.53,91,92,West,Brigham Young University,"array([-7.49451858,  5.97304784])"
125,188,171.68,127,86,Midwest,Kent State University,"array([-7.44151697,  5.96707906])"
126,199,181.14,.,92,South,"University of Arkansas, Little Rock","array([-7.34812454,  5.95549432])"
127,86,92.5,58,64,South,Vanderbilt University,"array([-7.40837638,  5.72492798])"
128,90,99.58,110,69,Midwest,Wayne State University,"array([-7.51596286,  5.90977971])"
129,140,138.05,.,92,Canada,"Concordia University, Montreal","array([-7.63161383,  5.92840705])"
130,164,153.44,127,84,South,"University of Alabama, Birmingham","array([-7.32772579,  5.85370715])"
131,75,82.16,61,52,Northeast,"State University of New York, Buffalo","array([-7.46816231,  5.7581611 ])"
132,149,143.2,.,92,Northeast,"University of Massachusetts, Boston","array([-7.69095414,  5.97145456])"
133,62,74.98,79,82,South,Florida State University,"array([-7.50119559,  5.64610101])"
134,77,83.35,79,70,West,"Washington State University, Pullman","array([-7.53475641,  5.65388995])"
135,93,100.9,.,92,Canada,University of Western Ontario,"array([-7.69016574,  5.74572588])"
136,94,101.73,.,92,Canada,Carleton University,"array([-7.71959401,  5.75158941])"
137,95,101.86,.,92,Canada,Queens University,"array([-7.71425714,  5.83642512])"
138,123,126.69,91,92,South,Auburn University,"array([-7.38091909,  5.71883337])"
139,146,142.05,127,77,South,Old Dominion University,"array([-7.64429636,  5.67288334])"
140,155,146.92,127,92,South,Florida International University,"array([-7.47877703,  5.88627881])"
141,198,180.75,127,92,South,Florida Institute of Technology,"array([-7.63179035,  5.63955957])"
142,200,181.68,.,92,Northeast,Rochester Institute of Technology,"array([-7.58921518,  5.98130936])"
143,201,182.16,.,92,Northeast,Pace University,"array([-7.66102669,  5.94230052])"
144,48,56.74,63,40,Northeast,Syracuse University,"array([-7.41128973,  5.84633951])"
145,76,82.4,99,89,Northeast,Stevens Institute of Technology,"array([-7.74999906,  5.75685923])"
146,114,120.24,.,92,South,University of Miami,"array([-7.59622275,  5.56499373])"
147,121,126.0,.,92,Northeast,University of Rhode Island,"array([-7.75242828,  5.97379187])"
148,163,152.67,99,92,South,"University of North Carolina, Charlotte","array([-7.38577932,  5.79569834])"
149,193,178.55,127,92,South,Nova Southeastern University,"array([-7.62217478,  5.97897559])"
150,64,76.47,99,83,Northeast,Lehigh University,"array([-7.60770629,  5.6189596 ])"
151,103,109.31,99,71,Midwest,Kansas State University,"array([-7.47864633,  5.94436179])"
152,118,124.6,79,92,West,Colorado State University,"array([-7.40510827,  5.81497234])"
153,142,139.45,110,92,Midwest,"University of Missouri, Columbia","array([-7.56543062,  5.64279448])"
154,204,186.81,127,92,South,"University of Alabama, Tuscaloosa","array([-7.50212074,  5.59801719])"
155,182,168.42,.,92,Northeast,Long Island University,"array([-7.84123006,  5.65801357])"
156,186,169.71,99,92,South,Georgia State University,"array([-7.35759937,  5.85299307])"
157,109,113.87,121,92,Midwest,Missouri University of Science and Technology,"array([-7.45688003,  5.92656325])"
158,137,137.49,121,69,West,New Mexico State University,"array([-7.32497495,  5.77863439])"
159,162,151.76,127,92,South,Oklahoma State University,"array([-7.34608833,  5.69016164])"
160,171,157.66,.,92,West,Montana State University,"array([-7.39196731,  5.6290693 ])"
161,92,100.62,127,63,South,"University of Louisiana, Lafayette","array([-7.4998893 ,  5.67572611])"
162,108,113.75,99,81,South,University of South Carolina,"array([-7.52846401,  5.68099031])"
163,110,116.24,110,87,South,University of Oklahoma,"array([-7.36266472,  5.81280197])"
164,138,137.66,127,92,South,University of Memphis,"array([-7.42695707,  5.62871887])"
165,141,138.72,127,92,Midwest,"University of Missouri, Kansas City","array([-7.40450768,  5.91883202])"
166,156,148.23,.,92,Midwest,"Southern Illinois University, Carbondale","array([-7.42372214,  5.66232993])"
167,165,153.65,.,92,West,Santa Clara University,"array([-7.4949655 ,  5.55682272])"
168,173,159.2,121,92,Midwest,Wright State University,"array([-7.40887706,  5.6974294 ])"
169,68,79.33,99,92,Midwest,University of Cincinnati,"array([-7.3753315 ,  5.77191077])"
170,130,131.2,127,92,South,Florida Atlantic University,"array([-7.67248156,  5.67989871])"
171,132,133.81,.,92,West,University of Denver,"array([-7.4453148 ,  5.59185045])"
172,152,145.66,91,92,South,University of Georgia,"array([-7.61271813,  5.67654208])"
173,196,179.12,127,92,South,University of Louisville,"array([-7.5316631,  5.6157157])"
174,99,107.42,.,92,Canada,University of Ottawa,"array([-7.7031705 ,  5.78011938])"
175,174,163.13,.,92,Midwest,Western Michigan University,"array([-7.55968614,  6.0210638 ])"
176,184,169.16,.,92,West,"University of Colorado, Colorado Springs","array([-7.47262485,  5.61901758])"
177,195,178.73,.,92,Northeast,University of Bridgeport,"array([-7.55504028,  5.58658618])"
178,159,151.04,.,92,South,Catholic University of America,"array([-7.48446961,  6.08947675])"
179,169,156.45,127,92,Midwest,Michigan Technological University,"array([-7.37221762,  5.91104995])"
180,179,164.68,127,92,South,University of Tulsa,"array([-7.35969206,  6.01285871])"
181,202,182.28,127,91,West,New Mexico Institute of Mining and Technology,"array([-7.26719299,  5.89862758])"
182,203,182.47,.,92,West,"University of Nevada, Reno","array([-7.38399004,  5.67015866])"
183,117,124.35,110,90,Northeast,"State University of New York, Binghamton","array([-7.63171558,  5.72204403])"
184,58,70.04,79,92,Northeast,CUNY Graduate Center,"array([-7.64407428,  6.02276853])"
185,127,130.03,.,92,Canada,University of Regina,"array([-7.77970371,  5.88817176])"
186,190,173.75,.,92,West,Utah State University,"array([-7.34469184,  5.89152505])"
187,178,164.46,121,92,South,Texas Tech University,"array([-7.43953548,  5.68866957])"
188,187,171.62,.,92,West,"University of Nevada, Las Vegas","array([-7.41915343,  5.99478424])"
189,194,178.7,127,92,South,"University of Arkansas, Fayetteville","array([-7.49662231,  6.01159502])"
190,153,146.44,121,85,South,Mississippi State University,"array([-7.45840279,  5.73719672])"
191,189,173.29,.,92,Canada,Memorial University of Newfoundland,"array([-7.70898066,  5.88624772])"
192,197,179.97,.,92,Midwest,"University of Nebraska, Omaha","array([-7.30962709,  5.74187953])"
193,144,139.99,.,92,South,Virginia Commonwealth University,"array([-7.59998384,  6.02039042])"
194,183,169.02,127,92,South,University of Southern Mississippi,"array([-7.45903382,  5.64717601])"
195,185,169.65,110,92,West,Colorado School of Mines,"array([-7.29640118,  5.96467113])"
196,176,163.89,127,76,South,"University of Alabama, Huntsville","array([-7.28324963,  5.82739017])"
197,205,186.84,127,82,South,"University of North Texas, Denton","array([-7.46459052,  5.98739945])"
198,134,134.48,127,92,Midwest,Oakland University (Michigan),"array([-7.39888185,  5.95932758])"
199,158,150.95,121,92,West,Claremont Graduate University,"array([-7.31698901,  5.63563815])"
200,177,164.22,127,92,West,"University of Idaho, Moscow","array([-7.30254067,  5.69682614])"
201,180,165.5,127,92,South,University of Mississippi,"array([-7.21158281,  5.75923113])"
202,119,125.51,.,92,West,"University of Colorado, Denver","array([-7.45602851,  6.03775669])"
203,126,129.12,.,92,Canada,University of Manitoba,"array([-7.79868036,  5.84195927])"
204,172,158.12,.,92,Canada,University of New Brunswick,"array([-7.79862113,  5.74950824])"
205,206,206.0,.,.,Earth,All others,"array([-7.57859564,  5.82173786])"
