# index, meta, _pos
67,Oberhausen,"array([2.50892883, 3.32549991])"
68,Cologne,"array([2.56946346, 3.27814845])"
69,Frankfurt am Main,"array([2.7091779 , 3.27382565])"
70,Heidelberg,"array([2.81248716, 3.28891391])"
71,Karlsruhe,"array([2.89639507, 3.31612824])"
72,Offenburg,"array([2.94422006, 3.36673485])"
73,Lucerne,"array([3.04586317, 3.49578251])"
74,Altdorf,"array([3.09461206, 3.47965063])"
75,Gotthard Pass,"array([3.15564392, 3.50665024])"
76,Bellinzona,"array([3.21459352, 3.52406976])"
77,Lugano,"array([3.24784395, 3.56022736])"
78,Chiasso,"array([3.2583437 , 3.60112042])"
79,Como,"array([3.24836723, 3.64353825])"
80,Milan,"array([3.21316437, 3.66295515])"
81,Piacenza,"array([3.29174902, 3.67686087])"
82,Parma,"array([3.36142856, 3.66582841])"
83,Modena,"array([3.40486824, 3.63037614])"
84,Florence,"array([3.36409206, 3.72568521])"
85,Rome,"array([3.29932615, 3.79521261])"
86,Karesuvanto,"array([0.80737571, 2.13490064])"
87,Karesuando,"array([0.76919937, 2.14572173])"
88,Arvidsjaur,"array([0.73203406, 2.16597255])"
89,Östersund,"array([0.69862145, 2.19092119])"
90,Mora,"array([0.65055834, 2.24662239])"
91,Säffle,"array([0.60382779, 2.30343914])"
92,Gothenburg,"array([0.56111196, 2.36676843])"
93,Frederikshavn,"array([2.06506541, 3.17314461])"
94,Aalborg,"array([2.10535641, 3.19027535])"
95,Aarhus,"array([2.16426597, 3.15683865])"
96,Vejle,"array([2.23040026, 3.12588581])"
97,Kolding,"array([2.30637988, 3.09923962])"
98,Flensburg,"array([2.39176386, 3.07913691])"
99,Hamburg,"array([2.48682049, 3.06299555])"
100,Hanover,"array([2.53159679, 3.12247901])"
101,Göttingen,"array([2.59186026, 3.16034977])"
102,Kassel,"array([2.66440425, 3.19695523])"
103,Fulda,"array([2.7832149 , 3.19375231])"
104,Würzburg,"array([2.89486015, 3.20961942])"
105,Nuremberg,"array([2.96660525, 3.14808422])"
106,Munich,"array([3.09667216, 3.1630113 ])"
107,Rosenheim,"array([3.18395852, 3.17505608])"
108,Wörgl,"array([3.25840552, 3.20817684])"
109,Innsbruck,"array([3.302994  , 3.27286158])"
110,Brenner,"array([3.36946876, 3.2885556 ])"
111,Fortezza,"array([3.41978664, 3.30584407])"
112,Bolzano,"array([3.42982004, 3.38317079])"
113,Trento,"array([3.42545178, 3.4574364 ])"
114,Verona,"array([3.40345306, 3.5255388 ])"
115,Bologna,"array([3.47731948, 3.62501171])"
116,Cesena,"array([3.54152921, 3.61758901])"
117,Perugia,"array([3.58846958, 3.70150485])"
118,Fiano Romano,"array([3.6135209 , 3.79075966])"
119,Naples,"array([3.63194318, 3.87157598])"
120,Salerno,"array([3.65341994, 3.93672257])"
121,Sicignano degli Alburni,"array([3.68473362, 4.0030164 ])"
122,Cosenza,"array([3.73699617, 4.03921561])"
123,Villa San Giovanni,"array([3.78499382, 4.04057399])"
124,Messina,"array([1.97973079, 2.2756401 ])"
125,Catania,"array([1.93597529, 2.26527077])"
126,Siracusa,"array([1.91731316, 2.30578358])"
127,Gela,"array([1.93509165, 2.34479344])"
128,Helsingør,"array([0.57247241, 2.72305592])"
129,Copenhagen,"array([0.61271554, 2.70341207])"
130,Køge,"array([0.60567764, 2.77570167])"
131,Vordingborg,"array([0.59804411, 2.83918647])"
132,Farø,"array([0.59184239, 2.89817894])"
133,Nykøbing Falster,"array([0.56523576, 2.94417744])"
134,Gedser,"array([0.54783681, 2.98486365])"
135,Rostock,"array([2.48986816, 2.96193344])"
136,Berlin,"array([2.56370963, 2.93372901])"
137,Lübbenau,"array([2.67066142, 2.89567157])"
138,Dresden,"array([2.78026972, 2.89646306])"
139,Ústí nad Labem,"array([2.90214751, 2.89152144])"
140,Prague,"array([3.02662248, 2.88530403])"
141,Tábor,"array([3.1017848 , 2.94564147])"
142,Linz,"array([3.17892959, 2.99403397])"
143,Salzburg,"array([3.21649479, 3.08642348])"
144,Villach,"array([3.34745535, 3.07432637])"
145,Tarvisio,"array([3.42007142, 3.11604995])"
146,Udine,"array([3.47662983, 3.16234499])"
147,Palmanova,"array([3.51672274, 3.21081392])"
148,Mestre,"array([3.48416046, 3.39379182])"
149,Ravenna,"array([3.51944249, 3.50534787])"
150,Rimini,"array([3.54927853, 3.68514076])"
151,Fano,"array([3.55231738, 3.75495071])"
152,Ancona,"array([3.48745433, 3.80565886])"
153,Pescara,"array([3.41005674, 3.8437394 ])"
154,Canosa di Puglia,"array([3.47676804, 3.91498995])"
155,Bari,"array([3.50625803, 3.98768783])"
156,Brindisi,"array([3.50792859, 4.03393438])"
157,Igoumenitsa,"array([4.34021749, 2.35083101])"
158,Preveza,"array([4.4041155 , 2.40062092])"
159,Rhion,"array([4.46182897, 2.45088461])"
160,Patras,"array([4.46927726, 2.5037192 ])"
161,Pyrgos,"array([4.4912127 , 2.54953212])"
162,Kalamata,"array([4.53020064, 2.57694014])"
163,Malmö,"array([0.62080117, 2.61721316])"
164,Ystad,"array([0.57958226, 2.63330263])"
165,Świnoujście,"array([2.36002087, 2.77937334])"
166,Wolin,"array([2.40642542, 2.78896243])"
167,Goleniów,"array([2.4655828 , 2.79979219])"
168,Szczecin,"array([2.52176232, 2.85600287])"
169,Gorzów Wielkopolski,"array([2.56242583, 2.82374561])"
170,Świebodzin,"array([2.61605133, 2.8131536 ])"
171,Zielona Góra,"array([2.6692399 , 2.79993955])"
172,Legnica,"array([2.73488447, 2.78779984])"
173,Jelenia Góra,"array([2.79243137, 2.79355671])"
174,Harrachov,"array([2.84907801, 2.80704378])"
175,Železný Brod,"array([2.90584482, 2.81932695])"
176,Turnov,"array([2.96520173, 2.83437133])"
177,Mladá Boleslav,"array([3.00708806, 2.85000382])"
178,Jihlava,"array([3.12017099, 2.81731295])"
179,Brno,"array([3.14255396, 2.73993217])"
180,Bratislava,"array([3.18438273, 2.68730892])"
181,Rajka,"array([3.25312967, 2.70790468])"
182,Csorna,"array([3.32140337, 2.72351082])"
183,Szombathely,"array([3.37986964, 2.73041433])"
184,Zalaegerszeg,"array([3.43278627, 2.72985055])"
185,Nagykanizsa,"array([3.47812066, 2.72285589])"
186,Letenye,"array([3.52829752, 2.74808569])"
187,Zagreb,"array([3.53670157, 2.79276863])"
188,Karlovac,"array([3.59702395, 2.84874314])"
189,Rijeka,"array([3.62212501, 2.9161278 ])"
190,Split,"array([3.68199579, 2.80723371])"
191,Dubrovnik,"array([3.73689897, 2.69190115])"
192,Petrovac,"array([3.76732911, 2.62536385])"
193,Podgorica,"array([3.78110395, 2.59033683])"
194,Bijelo Polje,"array([3.79381748, 2.52234899])"
195,Pristina,"array([3.79677065, 2.47872187])"
196,Skopje,"array([3.86853525, 2.40682231])"
197,Kičevo,"array([3.94158743, 2.40775106])"
198,Ohrid,"array([4.00926828, 2.39723205])"
199,Bitola,"array([4.06881234, 2.37575304])"
200,Niki,"array([4.11859346, 2.34177273])"
201,Vevi,"array([4.15775732, 2.29692201])"
202,Kozani,"array([4.19154459, 2.24540957])"
203,Larissa,"array([4.25053359, 2.20194823])"
204,Domokos,"array([4.28327985, 2.16728364])"
205,Lamia,"array([4.3267262 , 2.16032998])"
206,Brallos,"array([4.37310269, 2.11413067])"
207,Itea,"array([4.41129721, 2.07506364])"
208,Antirrio,"array([4.44456021, 2.04360725])"
209,Aigio,"array([4.52247695, 2.47599527])"
210,Corinth,"array([4.57291169, 2.51382168])"
211,Tripoli,"array([4.57748766, 2.57122335])"
212,Kissamos,"array([3.08913754, 3.98339867])"
213,Chania,"array([3.12279524, 3.96273173])"
214,Vardø,"array([1.74596154, 2.1724618 ])"
215,Vadsø,"array([1.77054652, 2.13962629])"
216,Varangerbotn,"array([1.79551289, 2.10655515])"
217,Utsjoki,"array([1.7113427 , 2.07359061])"
218,Inari,"array([1.62701704, 2.04861153])"
219,Ivalo,"array([1.54660778, 2.01883775])"
220,Sodankylä,"array([1.47212386, 1.97970905])"
221,Rovaniemi,"array([1.41399752, 1.97115024])"
222,Kemi,"array([1.37256064, 1.93940707])"
223,Oulu,"array([1.48533139, 1.90980073])"
224,Jyväskylä,"array([1.58822606, 1.88240706])"
225,Heinola,"array([1.6798676 , 1.88273851])"
226,Lahti,"array([1.76646129, 1.90637342])"
227,Helsinki,"array([1.84585287, 1.9505894 ])"
228,Gdańsk,"array([2.5909721 , 2.61191195])"
229,Świecie,"array([2.65886316, 2.64493464])"
230,Łódź,"array([2.72803353, 2.63681449])"
231,Piotrków Trybunalski,"array([2.80013783, 2.63650846])"
232,Katowice,"array([2.93415607, 2.64566513])"
233,Žilina,"array([3.05792042, 2.67650033])"
234,Győr,"array([3.25526306, 2.62156836])"
235,Budapest,"array([3.33045197, 2.57615877])"
236,Szeged,"array([3.42481775, 2.49934839])"
237,Subotica,"array([3.51822006, 2.51745161])"
238,Novi Sad,"array([3.59579317, 2.51268805])"
239,Belgrade,"array([3.66890301, 2.51403802])"
240,Niš,"array([3.73706111, 2.38318326])"
241,Kumanovo,"array([3.80846304, 2.36866336])"
242,Veles,"array([3.93205594, 2.35091002])"
243,Gevgelija,"array([3.99336016, 2.29918147])"
244,Evzoni,"array([4.05099674, 2.2463142 ])"
245,Thessaloniki,"array([4.1011206 , 2.18998095])"
246,Katerini,"array([4.1756633 , 2.18881006])"
247,Athens,"array([4.32089023, 2.11494824])"
248,Heraklion,"array([3.15866827, 3.945305  ])"
249,Agios Nikolaos,"array([3.19654689, 3.93156467])"
250,Sitia,"array([3.23431698, 3.92217574])"
251,Klaipėda,"array([2.53774436, 2.45277483])"
252,Kaunas,"array([2.59806192, 2.45541385])"
253,Vilnius,"array([2.62664782, 2.43832189])"
254,Lida,"array([2.68525821, 2.38447832])"
255,Slonim,"array([2.74032062, 2.33329924])"
256,Kobryn,"array([2.80574135, 2.29209835])"
257,Dubno,"array([2.87227251, 2.25723627])"
258,Ternopil,"array([2.93907253, 2.22774032])"
259,Chernivtsi,"array([3.00386429, 2.20570329])"
260,Siret,"array([3.06638031, 2.1880588 ])"
261,Suceava,"array([3.12621137, 2.17155179])"
262,Roman,"array([3.21399142, 2.12212626])"
263,Urziceni,"array([3.30309089, 2.07661741])"
264,Bucharest,"array([3.41696378, 2.081535  ])"
265,Giurgiu,"array([3.48441718, 2.04400434])"
266,Ruse,"array([3.55268058, 2.02513126])"
267,Byala,"array([3.62124606, 2.02631586])"
268,Veliko Tarnovo,"array([3.61423332, 1.96285068])"
269,Stara Zagora,"array([3.65518791, 1.92256336])"
270,Haskovo,"array([3.73079965, 1.94675661])"
271,Svilengrad,"array([3.79912489, 1.97753881])"
272,Ormenio,"array([3.8647703 , 2.01185702])"
273,Kastanies,"array([3.93796533, 2.03918001])"
274,Didymoteicho,"array([4.00738899, 2.0636619 ])"
275,Alexandroupoli,"array([4.07432949, 2.08749657])"
276,Saint Petersburg,"array([2.34694553, 2.14703156])"
277,Pskov,"array([2.47589245, 2.22898581])"
278,Gomel,"array([2.6106201 , 2.23501097])"
279,Kiev,"array([2.71959526, 2.1294861 ])"
280,Odessa,"array([2.84571404, 2.03277558])"
281,Samsun,"array([2.78326611, 1.05986668])"
282,Merzifon,"array([2.78857606, 1.01534755])"
283,Moscow,"array([2.47239801, 2.09613593])"
284,Kaluga,"array([2.52593345, 2.10194173])"
285,Bryansk,"array([2.58381309, 2.09814402])"
286,Hlukhiv,"array([2.63726355, 2.08004269])"
287,Kirkenes,"array([1.93206717, 2.11269687])"
288,Murmansk,"array([2.06813052, 2.12344403])"
289,Petrozavodsk,"array([2.20575199, 2.1358506 ])"
290,Orel,"array([2.54798588, 2.0581718 ])"
291,Kharkiv,"array([2.63009935, 2.03090916])"
292,Simferopol,"array([2.64441512, 1.98534348])"
293,Alushta,"array([2.65379729, 1.94226173])"
294,Yalta,"array([2.65588203, 1.90320745])"
295,Yaroslavl,"array([2.43088876, 2.08520513])"
296,Voronezh,"array([2.51250864, 1.94793728])"
297,Novorossiysk,"array([2.59552741, 1.85228635])"
298,Mineralnye Vody,"array([2.67615447, 1.56971245])"
299,Nalchik,"array([2.71003725, 1.49673266])"
300,Vladikavkaz,"array([2.74907489, 1.42927037])"
301,Stepantsminda,"array([2.79945588, 1.36385351])"
302,Mtskheta,"array([2.84385825, 1.30270984])"
303,Tbilisi,"array([2.88096464, 1.24116192])"
304,Marneuli,"array([2.93551866, 1.17443859])"
305,Bolnisi,"array([2.99530576, 1.14544607])"
306,Yerevan,"array([3.04519638, 1.11267597])"
307,Goris,"array([3.08688383, 1.08079314])"
308,Megri,"array([3.12138519, 1.05115362])"
309,Tambov,"array([2.4846236 , 1.99661354])"
310,Povorino,"array([2.50491971, 1.90006333])"
311,Volgograd,"array([2.53604888, 1.81427081])"
312,Astrakhan,"array([2.52239906, 1.67721374])"
313,Makhachkala,"array([2.59134128, 1.57412931])"
314,Kuba,"array([2.60733357, 1.4660294 ])"
315,Baku,"array([2.62653496, 1.36054524])"
316,Alyat,"array([2.61178726, 1.27105676])"
317,Astara,"array([2.57873282, 1.24584705])"
318,Samara,"array([2.31531661, 1.77839603])"
319,Oral,"array([2.37750683, 1.71792114])"
320,Atyrau,"array([2.4276202, 1.6248667])"
321,Beineu,"array([2.434492  , 1.55828724])"
322,Shetpe,"array([2.43712411, 1.49235901])"
323,Zhetybai,"array([2.43401395, 1.43033861])"
324,Fetisovo,"array([2.42674108, 1.37220923])"
325,Bekdash,"array([2.41511835, 1.31675495])"
326,Türkmenbaşy,"array([2.39696818, 1.26617688])"
327,Gyzylarbat,"array([2.36794425, 1.22262427])"
328,Chelyabinsk,"array([2.13217164, 1.64780532])"
329,Kostanay,"array([2.10472577, 1.58482693])"
330,Esil,"array([2.06929226, 1.52717346])"
331,Derzhavinsk,"array([2.03119705, 1.47475715])"
332,Arkalyk,"array([1.99136956, 1.42499295])"
333,Jezkazgan,"array([1.95011185, 1.37906882])"
334,Kyzylorda,"array([1.99811538, 1.32113782])"
335,Shymkent,"array([1.95120733, 1.21917568])"
336,Tashkent,"array([1.96320194, 1.12589747])"
337,Ayni,"array([1.95398822, 1.04354228])"
338,Dushanbe,"array([1.95285926, 0.95726788])"
339,Panji Poyon,"array([1.98309658, 0.92212471])"
340,Ishim,"array([1.96282767, 1.55794532])"
341,Astana,"array([1.90564243, 1.48755845])"
342,Karaganda,"array([1.87681669, 1.40776987])"
343,Balkhash,"array([1.82496641, 1.33243712])"
344,Burubaytal,"array([1.77459814, 1.26085979])"
345,Almaty,"array([1.72733507, 1.18823883])"
346,Bishkek,"array([1.80089473, 1.1475073 ])"
347,Naryn,"array([1.76525861, 1.10814759])"
348,Torugart Pass,"array([1.73919246, 1.07018268])"
349,Omsk,"array([1.89076784, 1.51492528])"
350,Pavlodar,"array([1.82680165, 1.45232479])"
351,Semey,"array([1.73971025, 1.43312274])"
352,Georgiyevka,"array([1.65944032, 1.41272178])"
353,Maikapshagai,"array([1.66137439, 1.37388182])"
354,Å,"array([1.50583495, 2.97286387])"
355,Svolvær,"array([1.54262513, 2.98028318])"
356,Melbu,"array([1.1177287 , 2.31901453])"
357,Sortland,"array([1.14636337, 2.2860264 ])"
358,Lødingen,"array([1.17811477, 2.24857747])"
359,Evenes,"array([1.21298532, 2.20833739])"
360,Narvik,"array([1.2486276 , 2.16227078])"
361,Kiruna,"array([1.18301145, 2.13006123])"
362,Töre,"array([1.12430415, 2.09679441])"
363,Luleå,"array([1.07096587, 2.06033283])"
364,Shannon,"array([1.92405201, 2.50968909])"
365,Limerick,"array([1.88423639, 2.50034385])"
366,Dublin,"array([1.83900459, 2.49591666])"
367,Liverpool,"array([1.76969266, 3.26952945])"
368,Manchester,"array([1.80035363, 3.23865687])"
369,Leeds,"array([1.78750416, 3.1906551 ])"
370,Kingston upon Hull,"array([1.74405839, 3.19334757])"
371,Esbjerg,"array([0.64888543, 2.73079422])"
372,Helsingborg,"array([0.59192039, 2.53892499])"
373,Halmstad,"array([0.57142616, 2.45608765])"
374,Örebro,"array([0.62418853, 2.37331348])"
375,Stockholm,"array([0.70134141, 2.35951043])"
376,Tallinn,"array([2.39168478, 2.2930061 ])"
377,Narva,"array([2.36893051, 2.21546928])"
378,Cork,"array([1.71595409, 2.60723473])"
379,Waterford,"array([1.75440824, 2.59073251])"
380,Wexford,"array([1.78960822, 2.56871403])"
381,Rosslare,"array([1.81808083, 2.53626437])"
382,Fishguard,"array([1.98824113, 2.63686973])"
383,Swansea,"array([1.99342254, 2.67672975])"
384,Bridgend,"array([1.99402495, 2.72006432])"
385,Cardiff,"array([1.98507112, 2.76355405])"
386,Newport,"array([1.96225692, 2.80611968])"
387,Bristol,"array([1.92898109, 2.84761445])"
388,Colchester,"array([1.85645009, 2.83506321])"
389,Ipswich,"array([1.81454031, 2.79312027])"
390,Felixstowe,"array([1.81707157, 2.74735846])"
391,The Hague,"array([2.26642855, 3.50516763])"
392,Gouda,"array([2.30910938, 3.45396236])"
393,Amersfoort,"array([2.4048749 , 3.35230237])"
394,Oldenzaal,"array([2.4062215 , 3.28485317])"
395,Osnabrück,"array([2.45474762, 3.23712152])"
396,Bad Oeynhausen,"array([2.52263071, 3.19969615])"
397,Braunschweig,"array([2.54801918, 3.06263302])"
398,Magdeburg,"array([2.58204508, 3.01028293])"
399,Poznań,"array([2.67900884, 2.69766793])"
400,Warsaw,"array([2.71194576, 2.58664438])"
401,Brest,"array([2.67771129, 2.76361195])"
402,Minsk,"array([2.62292211, 2.50520578])"
403,Smolensk,"array([2.55048323, 2.29766409])"
404,Ryazan,"array([2.41773337, 1.9851813 ])"
405,Penza,"array([2.36559673, 1.8806242 ])"
406,Ufa,"array([2.21763204, 1.72520817])"
407,Kurgan,"array([2.04675511, 1.60206883])"
408,Bruges,"array([2.57075672, 3.41317513])"
409,Ghent,"array([2.58177238, 3.44126865])"
410,Brussels,"array([2.61633796, 3.45779823])"
411,Leuven,"array([2.54965294, 3.48231924])"
412,Eupen,"array([2.5293963 , 3.45393478])"
413,Aachen,"array([2.539332  , 3.36643973])"
414,Olpe,"array([2.62294907, 3.26864405])"
415,Wetzlar,"array([2.67644991, 3.26293572])"
416,Gießen,"array([2.69708551, 3.21738434])"
417,Bad Hersfeld,"array([2.69033615, 3.15098187])"
418,Eisenach,"array([2.6757652 , 3.09160102])"
419,Erfurt,"array([2.66899969, 3.02438256])"
420,Gera,"array([2.69543978, 2.97854856])"
421,Chemnitz,"array([2.74534534, 2.956169  ])"
422,Görlitz,"array([2.7590337 , 2.84183824])"
423,Wrocław,"array([2.75945905, 2.70739523])"
424,Opole,"array([2.79962493, 2.67886155])"
425,Gliwice,"array([2.84604611, 2.65471742])"
426,Zabrze,"array([2.8895761 , 2.64182732])"
427,Kraków,"array([2.91703693, 2.57550192])"
428,Rzeszów,"array([2.88924208, 2.52287275])"
429,Jarosław,"array([2.8843296, 2.4592905])"
430,Korczowa,"array([2.88131522, 2.40040621])"
431,Lviv,"array([2.87363757, 2.34535639])"
432,Rivne,"array([2.7929693, 2.2424225])"
433,Zhytomyr,"array([2.79659927, 2.1574046 ])"
434,Luhansk,"array([2.58209573, 1.92094661])"
435,Beyneu,"array([2.37991189, 1.52582317])"
436,Qo‘ng‘irot,"array([2.33935703, 1.4261034 ])"
437,Nukus,"array([2.303173  , 1.32701429])"
438,Daşoguz,"array([2.27094935, 1.22730845])"
439,Bukhara,"array([2.2155086 , 1.15087067])"
440,Navoiy,"array([2.14978567, 1.14025058])"
441,Samarkand,"array([2.08563719, 1.13295703])"
442,Jizzakh,"array([2.02395623, 1.12524665])"
443,Zhambyl,"array([1.87490019, 1.18461644])"
444,Sary-Ozek,"array([1.65026182, 1.19956042])"
445,Taldykorgan,"array([1.60471058, 1.2378106 ])"
446,Ucharal,"array([1.56939225, 1.27859437])"
447,Taskesken,"array([1.55824381, 1.33013932])"
448,Ayagoz,"array([1.6026945, 1.3723846])"
449,Oskemen,"array([1.60985502, 1.43996127])"
450,Ridder,"array([1.56639669, 1.45680554])"
451,Rennes,"array([2.69614403, 3.04254885])"
452,Le Mans,"array([2.71154693, 3.32058485])"
453,Reims,"array([2.65813001, 3.53438257])"
454,Saarbrücken,"array([2.74908584, 3.39341785])"
455,Mannheim,"array([2.78302251, 3.29469887])"
456,Heilbronn,"array([2.87084861, 3.2220103 ])"
457,Rozvadov,"array([3.00038958, 3.05650449])"
458,Plzeň,"array([3.03811286, 2.96568263])"
459,Trenčín,"array([3.13697456, 2.64847962])"
460,Prešov,"array([3.13467808, 2.55928161])"
461,Košice,"array([3.1748855 , 2.50258102])"
462,Vyšné Nemecké,"array([3.14266324, 2.45575921])"
463,Uzhhorod,"array([3.11195073, 2.41377479])"
464,Mukachevo,"array([3.02009035, 2.33544897])"
465,Stryj,"array([2.98027613, 2.28127945])"
466,Khmelnytskyi,"array([2.90546736, 2.1678799 ])"
467,Vinnytsia,"array([2.87296588, 2.10873998])"
468,Uman,"array([2.88867996, 2.02157966])"
469,Kirovohrad,"array([2.90057424, 1.93829102])"
470,Dnipropetrovsk,"array([2.86683667, 1.85266794])"
471,Donetsk,"array([2.82949227, 1.77609211])"
472,Rostov-on-Don,"array([2.77983001, 1.71042608])"
473,Armavir,"array([2.7324084 , 1.63686436])"
474,Lorient,"array([2.70463555, 2.91821291])"
475,Vannes,"array([2.73125161, 3.07497521])"
476,Nantes,"array([2.75082367, 3.22777651])"
477,Angers,"array([2.74571607, 3.3449148 ])"
478,Tours,"array([2.74578554, 3.46366057])"
479,Montargis,"array([2.70582828, 3.67272445])"
480,Auxerre,"array([2.65128476, 3.66085008])"
481,Beaune,"array([2.60361003, 3.60834963])"
482,Dole,"array([2.69560519, 3.60920139])"
483,Besançon,"array([2.78547908, 3.58381611])"
484,Belfort,"array([2.86768326, 3.54719922])"
485,Zürich,"array([3.0509959 , 3.42904696])"
486,Winterthur,"array([3.06286238, 3.36997326])"
487,St. Gallen,"array([3.12063657, 3.37824828])"
488,St. Margrethen,"array([3.17235217, 3.37229035])"
489,Bregenz,"array([3.15794712, 3.31235532])"
490,Feldkirch,"array([3.23787872, 3.32853342])"
491,Landeck,"array([3.29067098, 3.35753152])"
492,Telfs,"array([3.32793252, 3.32574771])"
493,Lauterach,"array([3.28803046, 3.31760855])"
494,Imst,"array([3.26535702, 3.29583357])"
495,Bad Reichenhall,"array([3.20778599, 3.13381767])"
496,Sattledt,"array([3.21461486, 3.02796676])"
497,Sankt Pölten,"array([3.20413736, 2.90004019])"
498,Vienna,"array([3.21517846, 2.80403463])"
499,Nickelsdorf,"array([3.27213267, 2.74201625])"
500,Mosonmagyaróvár,"array([3.31413732, 2.66191975])"
501,Szolnok,"array([3.32297324, 2.49845448])"
502,Püspökladány,"array([3.29651551, 2.42040408])"
503,Oradea,"array([3.33527571, 2.35952081])"
504,Cluj-Napoca,"array([3.32275238, 2.29239104])"
505,Turda,"array([3.35309448, 2.23558978])"
506,Târgu Mureş,"array([3.37866931, 2.18987259])"
507,Braşov,"array([3.43133083, 2.1795656 ])"
508,Ploieşti,"array([3.42978313, 2.12080222])"
509,Slobozia,"array([3.25146652, 2.01717949])"
510,Hârşova,"array([3.31831156, 1.99294124])"
511,Constanţa,"array([3.38335777, 1.98135812])"
512,Agigea,"array([3.38551583, 1.91530489])"
513,Poti,"array([2.78549645, 1.40236024])"
514,Senaki,"array([2.7924591 , 1.48221948])"
515,Samtredia,"array([2.85842764, 1.4436262 ])"
516,Kutaisi,"array([2.89306291, 1.38876324])"
517,Khashuri,"array([2.91737431, 1.33504085])"
518,Gori,"array([2.91493419, 1.28136328])"
519,Rustavi,"array([2.81409748, 1.2521616 ])"
520,Ganja,"array([2.7434086 , 1.27770468])"
521,Yevlakh,"array([2.68254455, 1.31568524])"
522,Ashgabat,"array([2.32531265, 1.18879039])"
523,Tejen,"array([2.34333685, 1.1291751 ])"
524,Mary,"array([2.32977711, 1.07992072])"
525,Türkmenabat,"array([2.28562823, 1.06681359])"
526,Alat,"array([2.24668151, 1.09988588])"
527,Karshi,"array([2.17602756, 1.08348165])"
528,Guzar,"array([2.1321495 , 1.02947691])"
529,Sherobod,"array([2.08050825, 0.99038867])"
530,Termez,"array([2.02066896, 0.96854526])"
531,Jirgatal,"array([1.88924164, 0.91361715])"
532,Sary Tash,"array([1.85154552, 0.95782582])"
