index,_pos
237,"array([6.69863821, 3.64390501])"
238,"array([6.71314642, 3.6159787 ])"
239,"array([6.71220877, 3.56299558])"
240,"array([6.70267429, 3.55635576])"
241,"array([6.76354682, 3.72209455])"
242,"array([6.74986445, 3.68116703])"
243,"array([6.75062092, 3.66230119])"
244,"array([6.73543805, 3.61318808])"
245,"array([6.73756391, 3.55747122])"
246,"array([6.71645064, 3.54337978])"
247,"array([6.79950855, 3.70669433])"
248,"array([6.77544586, 3.68985546])"
249,"array([6.77402963, 3.60822694])"
250,"array([6.7525589 , 3.54919348])"
251,"array([6.80060603, 3.6860617 ])"
252,"array([6.79141428, 3.67117761])"
253,"array([6.8330115 , 3.69681438])"
254,"array([6.8024108 , 3.65017144])"
255,"array([6.79580773, 3.63165755])"
256,"array([6.78919401, 3.58671985])"
257,"array([6.77675772, 3.55918928])"
258,"array([6.84260911, 3.66645417])"
259,"array([6.82541383, 3.66069904])"
260,"array([6.81945081, 3.6276596 ])"
261,"array([6.80879728, 3.60002426])"
262,"array([6.87059698, 3.63524738])"
263,"array([6.84679374, 3.59934035])"
264,"array([6.81668581, 3.53600857])"
265,"array([5.59158645, 4.89377516])"
266,"array([5.58252638, 4.87104321])"
267,"array([5.57293866, 4.85703045])"
268,"array([5.60097963, 4.85096078])"
269,"array([5.57457307, 4.82841565])"
270,"array([5.62696817, 4.82210759])"
271,"array([5.59307116, 4.81094805])"
272,"array([5.57822043, 4.792638  ])"
273,"array([5.66943982, 4.78531459])"
274,"array([5.60661126, 4.76246715])"
275,"array([5.5836327 , 4.75632067])"
276,"array([5.54394278, 4.74525661])"
277,"array([5.68390803, 4.77073827])"
278,"array([5.61694663, 4.74214096])"
279,"array([5.58989449, 4.71962633])"
280,"array([5.55182934, 4.67752904])"
281,"array([5.52701853, 4.67284161])"
282,"array([5.72838674, 4.75784886])"
283,"array([5.70284063, 4.72791961])"
284,"array([5.69274811, 4.71024777])"
285,"array([5.62360617, 4.68036357])"
286,"array([5.58932665, 4.66621895])"
287,"array([5.55417601, 4.64205289])"
288,"array([5.73551775, 4.71760515])"
289,"array([5.72053215, 4.70761841])"
290,"array([5.68361922, 4.6952614 ])"
291,"array([5.62693465, 4.64771224])"
292,"array([5.59451565, 4.61502689])"
293,"array([5.57474524, 4.58866287])"
294,"array([5.77320312, 4.70375232])"
295,"array([5.71933507, 4.67240444])"
296,"array([5.70146255, 4.64814124])"
297,"array([5.65283785, 4.61700681])"
298,"array([5.61691619, 4.59628437])"
299,"array([5.59215006, 4.5548637 ])"
300,"array([5.7880572 , 4.67182498])"
301,"array([5.75709005, 4.62694717])"
302,"array([5.70719853, 4.6146903 ])"
303,"array([5.67086703, 4.58934753])"
304,"array([5.64348149, 4.55894453])"
305,"array([5.60877423, 4.5223618 ])"
306,"array([5.81354884, 4.62844293])"
307,"array([5.78509651, 4.60598083])"
308,"array([5.73848703, 4.56963478])"
309,"array([5.70544494, 4.55316693])"
310,"array([5.67881667, 4.52447756])"
311,"array([5.62594503, 4.48970025])"
312,"array([5.84093853, 4.59763011])"
313,"array([5.8128348 , 4.56430853])"
314,"array([5.76912564, 4.56069379])"
315,"array([5.7122109, 4.5029107])"
316,"array([5.69572257, 4.48521993])"
317,"array([5.66208272, 4.45000321])"
318,"array([5.90105996, 4.55769994])"
319,"array([5.88006245, 4.53598815])"
320,"array([5.7913872, 4.5057977])"
321,"array([5.77092654, 4.45544088])"
322,"array([5.71500368, 4.45097543])"
323,"array([5.68293107, 4.42719658])"
324,"array([5.93345729, 4.50841032])"
325,"array([5.90556813, 4.48778389])"
326,"array([5.87120909, 4.4611138 ])"
327,"array([5.79549074, 4.44438627])"
328,"array([5.74603787, 4.42335895])"
329,"array([5.70656772, 4.38934003])"
330,"array([5.96340298, 4.47930394])"
331,"array([5.92677138, 4.45560388])"
332,"array([5.89032967, 4.42934897])"
333,"array([5.86039333, 4.40597148])"
334,"array([5.75686408, 4.39078667])"
335,"array([5.75542153, 4.35701009])"
336,"array([5.98776286, 4.45110121])"
337,"array([5.95222663, 4.42813095])"
338,"array([5.92015806, 4.40440639])"
339,"array([5.88900331, 4.3747721 ])"
340,"array([5.85112864, 4.36117937])"
341,"array([5.7971106 , 4.31143469])"
342,"array([6.02403099, 4.42430222])"
343,"array([5.97773173, 4.40003407])"
344,"array([5.95331226, 4.37932236])"
345,"array([5.91391861, 4.35140144])"
346,"array([5.87411375, 4.31995626])"
347,"array([5.83094787, 4.28156316])"
348,"array([6.03958827, 4.4044888 ])"
349,"array([6.01336397, 4.36568183])"
350,"array([5.98357734, 4.34971492])"
351,"array([5.9583667 , 4.32238398])"
352,"array([5.92410501, 4.30829935])"
353,"array([5.86273036, 4.26536295])"
354,"array([6.08862592, 4.36370677])"
355,"array([6.05717759, 4.33425949])"
356,"array([6.02964714, 4.31235571])"
357,"array([6.0055528 , 4.27586806])"
358,"array([5.94110213, 4.24441964])"
359,"array([5.93405652, 4.20446031])"
360,"array([6.13853621, 4.32691085])"
361,"array([6.09678295, 4.28918424])"
362,"array([6.06816475, 4.27137669])"
363,"array([6.04784159, 4.24304614])"
364,"array([6.01890346, 4.20622471])"
365,"array([6.0161189 , 4.12597253])"
366,"array([6.17689366, 4.28508217])"
367,"array([6.16118482, 4.24860336])"
368,"array([6.15996111, 4.19726996])"
369,"array([6.11791149, 4.18413537])"
370,"array([6.07771002, 4.16518346])"
371,"array([6.0511422 , 4.10351145])"
372,"array([6.21265467, 4.25076744])"
373,"array([6.19003901, 4.21868627])"
374,"array([6.18461386, 4.18132516])"
375,"array([6.16297758, 4.1471391 ])"
376,"array([6.12565015, 4.1022022 ])"
377,"array([6.11855008, 4.07089981])"
378,"array([6.25008718, 4.21666915])"
379,"array([6.22188343, 4.19655219])"
380,"array([6.25075313, 4.15108749])"
381,"array([6.21669379, 4.13442423])"
382,"array([6.15318879, 4.10930601])"
383,"array([6.16479096, 4.0218002 ])"
384,"array([6.29737806, 4.18912   ])"
385,"array([6.28659478, 4.10830993])"
386,"array([6.26641978, 4.0864608 ])"
387,"array([6.2592389 , 4.06528194])"
388,"array([6.22436648, 4.06267954])"
389,"array([6.20934347, 3.99211685])"
390,"array([6.36119496, 4.12660201])"
391,"array([6.30388123, 4.09287974])"
392,"array([6.30070352, 4.06347452])"
393,"array([6.29068256, 4.03547745])"
394,"array([6.26784478, 4.02486048])"
395,"array([6.24446004, 3.97811021])"
396,"array([6.34619158, 4.10579707])"
397,"array([6.3190323, 4.0785631])"
398,"array([6.30795505, 4.03931552])"
399,"array([6.31477676, 4.02100128])"
400,"array([6.29620213, 3.99288073])"
401,"array([6.27586853, 3.95989889])"
402,"array([6.42701451, 4.07944463])"
403,"array([6.34121492, 4.05731801])"
404,"array([6.37636373, 4.02133423])"
405,"array([6.35426844, 4.00823224])"
406,"array([6.33259943, 3.97649915])"
407,"array([6.31201253, 3.94281488])"
408,"array([6.4530547 , 4.06971161])"
409,"array([6.44042874, 4.03255915])"
410,"array([6.42392694, 4.00721988])"
411,"array([6.40561687, 3.98775683])"
412,"array([6.3844372, 3.9712727])"
413,"array([6.37214155, 3.92522873])"
414,"array([6.4763825 , 4.05385994])"
415,"array([6.46820606, 4.02877275])"
416,"array([6.46251744, 4.00407018])"
417,"array([6.44124149, 3.97981012])"
418,"array([6.40116817, 3.94903739])"
419,"array([6.41541416, 3.92126582])"
420,"array([6.50028249, 4.03859246])"
421,"array([6.48812688, 3.99973238])"
422,"array([6.46926585, 3.98436639])"
423,"array([6.45947905, 3.96390938])"
424,"array([6.45509363, 3.9208853 ])"
425,"array([6.42119337, 3.88881019])"
426,"array([6.52583086, 4.04402999])"
427,"array([6.50843753, 4.0036113 ])"
428,"array([6.50241591, 3.97389621])"
429,"array([6.49796438, 3.94685714])"
430,"array([6.47746451, 3.89210529])"
431,"array([6.43993837, 3.89068171])"
432,"array([6.558933  , 4.01110032])"
433,"array([6.53260423, 3.99357995])"
434,"array([6.51970589, 3.96516258])"
435,"array([6.53106379, 3.94848945])"
436,"array([6.49999512, 3.91201604])"
437,"array([6.48900597, 3.87422955])"
438,"array([6.59443298, 4.00359021])"
439,"array([6.58479398, 3.97744297])"
440,"array([6.56415466, 3.96128976])"
441,"array([6.55116072, 3.94364627])"
442,"array([6.54482298, 3.89597104])"
443,"array([6.5258663 , 3.87576268])"
444,"array([6.61536785, 4.01301243])"
445,"array([6.61458912, 3.98602917])"
446,"array([6.57740228, 3.93064157])"
447,"array([6.56981619, 3.89583878])"
448,"array([6.59159563, 3.87268331])"
449,"array([6.57326556, 3.8448495 ])"
450,"array([6.66446365, 4.00548554])"
451,"array([6.63966935, 3.98011106])"
452,"array([6.62465226, 3.94477529])"
453,"array([6.64572742, 3.90794089])"
454,"array([6.60905033, 3.89262002])"
455,"array([6.59363858, 3.84610416])"
456,"array([6.69230736, 3.96772361])"
457,"array([6.67422772, 3.95376621])"
458,"array([6.66874171, 3.93315442])"
459,"array([6.66249355, 3.89714533])"
460,"array([6.64277268, 3.86383398])"
461,"array([6.64022402, 3.82962636])"
462,"array([6.70875748, 3.9503887 ])"
463,"array([6.69132241, 3.9451504 ])"
464,"array([6.69411481, 3.91030772])"
465,"array([6.68310779, 3.88434411])"
466,"array([6.67714393, 3.86553525])"
