trackName,artistName,TotalMinutes
Пожар,Krovostok,26.45
Детектор лжи,Oxxxymiron,24.43
Пролив Дрейка,Oxxxymiron,24.14
Спонтанное самовозгорание,Oxxxymiron,24.11
Забавы,Mumiy Troll,23.68
Цепи,Skryptonite,23.41
Вояджер-1,Noize MC,21.79
Reality,Oxxxymiron,21.34
Макдональдс,ПЕРЕУЧЕТ,21.03
Девочка Пиздец,Oxxxymiron,20.95
Башня из слоновой кости,Oxxxymiron,20.55
ПОЙДЕТ,MORGENSHTERN,20.05
"Ага, ну",Skryptonite,19.98
Всё сразу,ПЕРЕУЧЕТ,19.4
Танцуй!,Splean,19.32
Суп дня,ПЕРЕУЧЕТ,19.18
Сегодня не пойду,Папин Олимпос,18.36
XXX Shop,Oxxxymiron,18.35
Стилево,Max Korzh,18.35
Сохрани мою речь - из фильма «Сохрани мою речь навсегда»,Noize MC,17.87
Поэма о Родине,Husky,15.48
Ревность,Vlady,14.44
Пантеллерия,Oxxxymiron,12.53
Выходи гулять,Kasta,11.68
Ветер Перемен,Oxxxymiron,11.56
До зимы,Oxxxymiron,11.23
Моё море,Noize MC,10.84
Буцефал,PALC,10.43
МАМБЛ,GONE.Fludd,9.0
26.04,Noize MC,8.88
Интро,Oxxxymiron,8.75
1.Kla$,Oxxxymiron,8.39
Ругань из-за стены,Noize MC,8.09
СЕТИ,CAPTOWN,8.04
Vasco da Gama - Santo Remix,Schokk,7.81
+-0,Noize MC,7.57
Табак два,ПЕРЕУЧЕТ,6.61
Джанго,Endspiel,6.3
Бездыханным,Jacques Anthony,6.09
Make Some Noize,Noize MC,5.97
Малый повзрослел,Max Korzh,5.83
В Платье Белом,Lyapis Trubetskoy,5.77
Нежный омут,Triada,5.4
No Pasaran!!!,AK-47,5.38
Жду чуда,25/17,4.35
Ridicule,Околорэп,4.09
Дождь,Брутто,3.6
Хоттабыч,Boombox,3.33
жизни суета,Lizer,3.25
Горы по колено,Max Korzh,3.19
На Порядок Выше,Kasta,3.03
Воздуха!,43ai,3.02
B.I.D,Markul,2.97
Вселенная бесконечна?,Noize MC,2.93
Отрицание,Markul,2.87
Письмо,Splean,2.86
Ким ми були,Boombox,2.78
Бали,Triada,2.78
Черная Волга,Kaspiyskiy Gruz,2.77
Track 03,Husky,2.74
Годы неправды,Kasta,2.67
Широко,Tipsi Tip,2.67
Грабли,Noize MC,2.59
Stereocoma,Thomas Mraz,2.52
Lohkija-lohkija,N.R.M.,2.35
Быстро,MORGENSHTERN,2.28
Капитал,Lyapis Trubetskoy,2.26
Вне зоны доступа,Gorod 312,2.15
Твой танец,Triada,2.05
О любви,Husky,1.98
Времени нет,Triada,1.97
Creep,Radiohead,1.87
West side,Noggano,1.8
Аргумент,JILLZAY,1.79
Unknown Track,Unknown Artist,1.79
Биполярочка,Oxxxymiron,1.75
Крокодиловы слезы,Oxxxymiron,1.72
Капитал,Noize MC,1.7
4 высотки,Грязь,1.53
Вселенная,MUKKA,1.49
Депортация,Tony Raut,1.48
HELLA PLAYERS,OBLADAET,1.48
в ад только перед тобой в рай только после тебя,pyrokinesis,1.47
Ой на,АрХангел,1.44
Смыслы,Три дня дождя,1.44
ДСВ 2022,Tipsi Tip,1.4
Гвозди (feat. Noize MC),Atlantida Project,1.37
Выдыхай,Noize MC,1.37
Дядя Володя,Pornofilmy,1.34
Снайпер,Krovostok,1.34
Ветер перемен,ST1M,1.3
Ну что ты такой серьёзный,AP$ENT,1.27
Не дыши,ОУ74,1.27
Делирий,Proyekt Uvechye,1.27
Летом,Krovostok,1.23
Марабу,ATL,1.22
СПАСАТЕЛЬНЫЙ КРУГ,FACE,1.18
Моя Тень и Я,kizaru,1.17
Четыре унции,Misha Mavashi,1.14
Машина прогресса,Ка тет,1.11
Тепер я всюди,KRBK,1.1
Жизнь и свобода,Mnogotochie,1.1
Шаг вдох,Animal Jazz,1.03
Высоко,FEDUK,1.02
ЛУЧШЕ НИ С КЕМ,STED.D,0.99
Fata Morgana,Markul,0.98
Обоюдного счастья - Bonus Track,Kasta,0.98
Гонзо,Luperkal,0.96
Щемит в душе тоска...,Mnogotochie,0.93
Двадцатые годы,Noize MC,0.92
00:00,OBLADAET,0.92
Выхода нет,Splean,0.91
Моя крепость,25/17,0.91
Джеймесон,Noize MC,0.9
Улицы без фонарей,Max Korzh,0.89
Девятины,Mnogoznaal,0.88
Коза,Monetochka,0.88
Иуда,Husky,0.87
Z-PAM,Mnogoznaal,0.87
Всё как у людей (Bonus Track),Noize MC,0.85
"Кинотеатр ""Дружба""",Брутто,0.84
Кладбище имени меня,Jubilee,0.83
Сигаретка без кнопки,pyrokinesis,0.82
Владивосток 2000,Mumiy Troll,0.81
Пока Смеются Дети,Luperkal,0.78
Ды-Ды-Дым,Kasta,0.78
Тентакли,Oxxxymiron,0.78
Застрахуй,Noggano,0.77
СХИ,Папин Олимпос,0.76
Зарисовки краха,Proyekt Uvechye,0.76
Твои Глаза,Джизус,0.75
Биография,Krovostok,0.72
Тот день,Грязь,0.72
Cadillac,Брутто,0.71
Бежим,Три дня дождя,0.7
Цветы лучше пуль,43ai,0.69
На юг,Rem Digga,0.69
Фудзи,Luperkal,0.69
Дочь самурая,Splean,0.68
Пылинки,Tipsi Tip,0.67
Ствол дымится,N1NT3ND0,0.67
Прошел через,Kasta,0.67
На Марсе классно,Noize MC,0.66
Песня для тебя,Luperkal,0.65
Сочиняй Мечты,Vlady,0.65
Воины света,Lyapis Trubetskoy,0.64
Между нами,Proyekt Uvechye,0.63
1.Kla$ Pt. 2,Oxxxymiron,0.62
FLOW,Sимптом,0.62
Бесконечный магазин,Husky,0.62
Siri,Брутто,0.61
Принцесса,Lyapis Trubetskoy,0.6
Тебе лучше не знать,Tima Belorusskih,0.6
Остаться,25/17,0.59
Ау,Lyapis Trubetskoy,0.59
Джефри,Mnogoznaal,0.59
Вино,HLEB,0.59
Самый Счастливый Человек,Kasta,0.58
Бандит,Брутто,0.58
ФуФ,Loqiemean,0.58
Сводишь с ума,10AGE,0.57
Ничего нового (feat. Noize MC),Atlantida Project,0.57
Сделай это,Грязь,0.57
Расскажи мне о любви,Грязь,0.57
Вахтерам,Boombox,0.56
Та4то,Boombox,0.55
Волапюк,Oxxxymiron,0.55
ДОЛЖЕН,OBLADAET,0.54
Эконом такси,просто Лера,0.53
В темноте,Noize MC,0.53
От боли,LeTai,0.52
Дэнни трехо,Garry Topor,0.52
White Trash (feat. ЛАУД),Boulevard Depo,0.51
ЕБЕНЯ,SQWOZ BAB,0.51
На краю,YARMAK,0.5
У моей мечты,Proyekt Uvechye,0.5
Иду за тобой,Три дня дождя,0.49
Будьте счастливы,25/17,0.49
SHOW (ROCK REMIX),MORGENSHTERN,0.49
На краю - Последняя ария Тодда,Korol i Shut,0.49
Электричество,Lumen,0.48
Що ти зміг,Boombox,0.48
Любовь,Грибы,0.48
Он уходил,Тяга,0.47
Драма,MATRANG,0.46
По шаблону,BOOKER,0.45
Удобрением,ATL,0.44
Крылья,Nautilus Pompilius,0.44
Ultima Thule,Oxxxymiron,0.44
30 лет спустя,Triada,0.44
Дежавю,Triada,0.43
25,Markul,0.42
Не с начала,Oxxxymiron,0.42
Люди с автоматами,Swanky Tunes,0.42
Красивая,Рыночные Отношения,0.4
Здесь и сейчас,Кот Балу,0.4
я краснею при тебе как...,pyrokinesis,0.4
НЛО,Oxxxymiron,0.39
Ничего нового,Illumate,0.39
Vasco da Gama,Schokk,0.38
Не по пути,PHARAOH,0.38
Тралики,Max Korzh,0.38
Ненависть,Грязь,0.38
В диапазоне,Pornofilmy,0.38
Похуисты,Noize MC,0.38
Свет не горит,Triada,0.38
ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,0.37
Индиго,Garry Topor,0.37
Моя кровь на твоих вэнсах,BOOKER,0.37
Шаде,Брутто,0.37
Жилы,BOOKER,0.37
Любимый цвет,Noize MC,0.36
Век-волкодав (Трибьют Осипу Мандельштаму),Noize MC,0.36
Sid & Nancy,Lumen,0.36
Я никогда не видел моря,25/17,0.36
Darkside,Oxxxymiron,0.35
Грай,Lyapis Trubetskoy,0.35
Мир,My,0.35
Супер-пупер,Boombox,0.35
Сильная женщина,The Hatters,0.34
Завтрак,Tipsi Tip,0.34
Вечный сон,MORGENSHTERN,0.34
31-я весна,Nochnye Snaipery,0.33
Радиосигналы (feat. Влади),Kasta,0.33
Сердце,Чёрная экономика,0.33
Порно пати,Lida,0.33
Черно-белый - Extended,REDO,0.33
САЛАМ,FACE,0.33
ОЙДА,Oxxxymiron,0.33
НЕ УМИ РАЙ,BOOKER,0.33
"То густо, то пусто - Santo Remix",Schokk,0.33
Чебурашка,Krovostok,0.31
В бульбуляторе,Oxxxymiron,0.31
личка,кис-кис,0.31
745,Брутто,0.31
В поисках Андромеды,OM.,0.3
Сопротивление воздуха,Noize MC,0.3
Прекрасное далёко,Priklyucheniya Elektronikov,0.3
Занят,FACE,0.29
Орбит без сахара,Splean,0.29
Миражи,Luverance,0.29
Питерские крыши,Noize MC,0.29
Снадобье,Max Korzh,0.28
MAMI,WhyBaby?,0.28
Дыхание,Nautilus Pompilius,0.28
Голая,Gradusy,0.28
Завод Грёз,Mnogoznaal,0.28
Армия,Noggano,0.28
Какая жалость,Noize MC,0.28
Чёрный Русский,MORGENSHTERN,0.27
Песня предателя,Noize MC,0.27
Папиросы,Zanuda,0.27
98 Flow (feat. Хаски),Big Baby Tape,0.27
TIMELAPSE / MASK,OBLADAET,0.26
Сахарная вата,pyrokinesis,0.26
ЧАСЫ,ФОГЕЛЬ,0.26
Parik,Skif,0.26
Чувства,Animal Jazz,0.25
Начальник,Noggano,0.25
Фонари,Gorod 312,0.25
Ролексы,Noggano,0.25
Рапсодия Конца Света,GONE.Fludd,0.25
Новые люди,Splean,0.25
Million,Big Baby Tape,0.24
Колокола над кальянной,Kasta,0.24
Наодинці,Boombox,0.24
Певец и актриса,Noize MC,0.24
"Любите, девушки",Bravo,0.24
"Да, я такой",BOOKER,0.24
Пуля-дура,Husky,0.24
Чайлдфри,Noize MC,0.24
Горячее Время (feat. Хамиль & Шым),Vlady,0.23
Экофрендли,Metox,0.23
Иордан,Noize MC,0.23
Сгораю,Noize MC,0.23
zanovo,Onative,0.23
катастрофически,Nochnye Snaipery,0.23
Рапапам,9 Gramm,0.23
Зашей,GONE.Fludd,0.22
Мы так молоды,MORGENSHTERN,0.22
Пепел,Алекша Нович,0.22
Чистый - OST «Псих»,Skryptonite,0.22
Сочиняй мечты,Kasta,0.22
На один смысл меньше,Jubilee,0.22
Давай приколемся,Noize MC,0.21
Иордан (original atlantida version) [feat. noize mc],Atlantida Project,0.21
Я тебя никому не отдам (Gipsydance),1.Kla$,0.21
Badass,Yanix,0.21
Счастье? - Ария Тодда,Korol i Shut,0.21
Столетняя война,Noize MC,0.21
Квiти в волоссi,Boombox,0.21
КОНЧИТСЯ ЛЕТО,BOOKER,0.21
Москва любит...,Skryptonite,0.21
Пока смеются дети,Luperkal,0.2
Не кури марихуану,Noggano,0.2
Ускориться,Maksim Svoboda,0.2
Делают,Krovostok,0.2
Ultima Thule,Luperkal,0.2
Лучше бы ты просто умерла,Брутто,0.2
Кто тебе сказал,Хип-Хоп Одинокой Старухи,0.2
Я так соскучился,Pornofilmy,0.2
Давай завесим окна,Грязь,0.2
Копы,Грибы,0.19
Молодые ветра,7B,0.19
маятник,Lizer,0.19
Пацаны на айрмаксах,Брутто,0.19
Заметался пожар,43ai,0.19
Под твоими окнами,Gruppa Skryptonite,0.19
Голос & струны (Орфей),Noize MC,0.19
Афган,Max Korzh,0.19
Твоему новому парню,Anacondaz,0.19
Полёт нормальный,Markul,0.19
Выходи за пределы,RYBAKOV,0.19
Солнечная Сторона,Loqiemean,0.19
Тридцать две строчки,KRBK,0.19
Зубы мудрости,Noize MC,0.19
Friendly Fire - Prod. Avepack,Boulevard Depo,0.19
Тает лёд,Грибы,0.19
Возможно,My,0.19
Скотобойня,PALC,0.19
Номерок,Kasta,0.19
CCTV,Oxxxymiron,0.18
Судоми,OTOY,0.18
Время пришло,The Hatters,0.18
Танцуй сама,Skryptonite,0.18
В Прошлых Жизнях,PHARAOH,0.18
Пусть они умрут,Anacondaz,0.18
РЫТЬ,FACE,0.18
Судно (Борис Рижий),Molchat Doma,0.17
Взглянем В Глаза Правде,PHARAOH,0.17
STRUGGLES,PORCHY,0.17
Всем пиздец,Anacondaz,0.17
МЫ ДАВНО В АДУ,STED.D,0.17
Катафалк,Tony Raut,0.17
Русский Христос,Pornofilmy,0.17
Бурями,MUKKA,0.17
Задолбал меня игнорить,Дора,0.17
Волчонок,25/17,0.16
5 Nights Crazy,Big Baby Tape,0.16
Трата времени,Skryptonite,0.16
Короткий знак,KRBK,0.16
Клевер,KRBK,0.16
Бит шатает голову,25/17,0.16
Я ненавижу людей,Грязь,0.16
"Цветы, обменник, ломбард",Брутто,0.16
Marmalade,Miyagi & Andy Panda,0.16
Brooklyn,Miyagi & Andy Panda,0.16
SHOTGAME,STED.D,0.16
Экзистенциальная тоска,Proyekt Uvechye,0.16
Нож,KRBK,0.16
Стрела,KRBK,0.15
Курточка Stone Island,HLEB,0.15
Колхозница,ALON,0.15
Мистер 718,Skryptonite,0.15
На Титанике,INSTASAMKA,0.15
Вся моя жизнь,Luverance,0.15
Пачка сигарет,Lizer,0.15
Тень,Rickey F,0.15
МОЙ КАЛАШНИКОВ,FACE,0.15
Ламбада,T-Fest,0.15
Хлопушка,Zambezi,0.15
Ирландец Freestyle,Брутто,0.15
Мазафака,KRBK,0.15
УП,YourCoach,0.15
Дежавю,kizaru,0.15
Белый танец,Triada,0.15
Рычит мотор,Грязь,0.15
Достойным быть,KRBK,0.15
Привычка,Skryptonite,0.15
Улыбаюсь,Lizer,0.14
Сна,Tipsi Tip,0.14
Дима Дома,OM.,0.14
Оля Лукина,AK-47,0.14
Большая рыба,Thomas Mraz,0.14
Это был дождь,Noize MC,0.14
Положение,Skryptonite,0.14
Мертвые цветы,MUKKA,0.14
UNIVERSE,OBLADAET,0.14
Мёртвый,BOOKER,0.14
Несносный Дед (feat. Stevie Insane),Garry Topor,0.14
ПОЛВТОРОГО,KEER,0.14
"Бар ""2 лесбухи""",JILLZAY,0.13
Невидимка,Husky,0.13
Скучать,Lizer,0.13
Джунгли,ОУ74,0.13
не теряй меня никогда,Naitivihod,0.13
Королева,Loqiemean,0.13
Антигерой,Mnogoznaal,0.13
Доверял,Max Korzh,0.13
Больше бед,Markul,0.13
Стань,Max Korzh,0.13
23,Truwer,0.13
Табор уходит в небо,Kaspiyskiy Gruz,0.13
Стрижка,Proyekt Uvechye,0.13
В загородном доме,KRBK,0.13
Что стоит,Mnogotochie,0.13
ЧЕТВЁРТЫЙ ВСАДНИК,FACE,0.13
Крест,FACE,0.12
Атаман,Endspiel,0.12
Красота,Tipsi Tip,0.12
"Нет выбора - Из к/ф ""Конверт""",104,0.12
Татарин,AIGEL,0.12
Окей,Tima Belorusskih,0.12
Как дела,T-Fest,0.12
Твоя страна,FACE,0.12
Туда,Endspiel,0.12
4x4,Big Baby Tape,0.12
Чекаю на ніч,KRBK,0.12
Равнодушие,Malbec,0.12
Міраж,Krizz,0.12
что для тебя красота,maslo chernogo tmina,0.11
мечта,Lizer,0.11
брошен,pyrokinesis,0.11
"Чай, сахар",HLEB,0.11
Полина,Noggano,0.1
Букинг,CAPTOWN,0.1
Не забывай,T-Fest,0.1
ПММЛ,Tipsi Tip,0.1
Freeman,Miyagi & Andy Panda,0.1
Была не была,Kaspiyskiy Gruz,0.1
Ангел (Remastered),Animal Jazz,0.09
Любознательность,OG Buda,0.07
Миллион дел,CAPTOWN,0.07
В новых адиках,FACE,0.06
LOTUSES,Куок,0.06
Подводная лодка,V $ X V PRiNCE,0.06
Животные,Skryptonite,0.06
Dirty Bidness,Big Baby Tape,0.06
Поліна,Boombox,0.05
Спрячься,Амура,0.03
ПРЯМО ЗА ТОБОЙ,SALUKI,0.03
А пацан не спит,OM.,0.0
Где ты?,Gio Pika,0.0
Earth Burns,PORCHY,0.0
Хороший Мальчик,Loqiemean,0.0
ТОКИО ХОТЕЛ,BOOKER,0.0
Action,Брутто,0.0
ЧП,N1NT3ND0,0.0
Караван,Tony Raut,0.0
Балет,АлСми,0.0
План творца,CAPTOWN,0.0
Пальма,KRBK,0.0
Антидепрессанты,Malbec,0.0
Угол дома,KRBK,0.0
ариведерчи,Zemfira,0.0
Мир начнётся с меня,ГРОТ,0.0
Самовывоз,Loqiemean,0.0
Benzomageddon,Big Baby Tape,0.0
ХУДРИЧ,GONE.Fludd,0.0
Я понимаю,BOOKER,0.0
Жы Ши,ЛИТВИН,0.0
В холодном воздухе,ADRIAN HIS,0.0
Летний дождь,Boombox,0.0
Хаста ла виста,просто Лера,0.0
Серпантин,Markul,0.0
Марокканка,Kambulat,0.0
