artistName,Count,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
Męskie Granie Orkiestra,8,0.51,0.7,-7.29,0.08,0.11,0.58,0.39
girl in red,8,0.49,0.54,-9.7,0.05,0.35,0.14,0.4
alt-J,8,0.67,0.71,-6.09,0.04,0.31,0.14,0.51
Q,7,0.88,0.63,-8.3,0.1,0.04,0.14,0.56
Patrick the Pan,7,0.44,0.79,-8.51,0.06,0.02,0.07,0.67
Future,7,0.83,0.43,-8.8,0.43,0.01,0.16,0.28
Baby Keem,7,0.72,0.72,-6.37,0.08,0.18,0.12,0.46
Lesley Gore,7,0.47,0.43,-10.02,0.03,0.7,0.63,0.71
Fred again..,7,0.65,0.76,-6.75,0.09,0.41,0.25,0.33
Pépite,7,0.54,0.66,-7.87,0.03,0.06,0.18,0.46
Nina Simone,7,0.41,0.26,-12.3,0.04,0.88,0.15,0.28
Jimi Hendrix,7,0.46,0.75,-6.31,0.06,0.05,0.06,0.5
Artur Rojek,7,0.6,0.59,-7.18,0.03,0.37,0.1,0.3
Joey Bada$$,6,0.62,0.74,-4.52,0.3,0.22,0.24,0.72
Bitamina,6,0.54,0.5,-10.59,0.32,0.49,0.25,0.57
Deep Purple,6,0.58,0.56,-10.79,0.04,0.28,0.08,0.53
Paktofonika,6,0.68,0.67,-7.38,0.25,0.47,0.18,0.61
Beach House,6,0.43,0.73,-6.57,0.03,0.35,0.22,0.36
Marvin Gaye,6,0.65,0.53,-12.27,0.03,0.61,0.16,0.72
JAY-Z,6,0.58,0.89,-4.13,0.32,0.1,0.29,0.72
Vito Bambino,6,0.74,0.55,-9.64,0.13,0.27,0.16,0.4
KARAŚ/ROGUCKI,6,0.67,0.73,-7.52,0.05,0.09,0.14,0.63
Bill Withers,6,0.71,0.46,-10.75,0.06,0.28,0.1,0.73
Vacations,6,0.43,0.8,-4.4,0.04,0.05,0.16,0.45
Mild High Club,6,0.56,0.57,-8.95,0.03,0.11,0.18,0.38
Vansire,6,0.39,0.43,-10.28,0.05,0.53,0.22,0.1
A$AP Rocky,6,0.5,0.76,-5.83,0.12,0.24,0.19,0.65
Blood Orange,6,0.76,0.46,-7.76,0.05,0.12,0.11,0.6
WaluśKraksaKryzys,6,0.37,0.46,-9.9,0.02,0.39,0.19,0.31
Orion Sun,6,0.66,0.63,-7.03,0.13,0.52,0.12,0.46
Omar Apollo,6,0.68,0.47,-8.9,0.13,0.48,0.1,0.46
Cypress Hill,6,0.82,0.63,-10.74,0.21,0.06,0.14,0.6
Taco Hemingway,6,0.74,0.68,-7.03,0.2,0.49,0.25,0.68
Clairo,6,0.81,0.54,-7.83,0.04,0.52,0.1,0.51
Darius,6,0.76,0.59,-7.97,0.06,0.29,0.11,0.27
Empire of the Sun,6,0.77,0.74,-5.5,0.04,0.17,0.24,0.62
Labyrinth Ear,6,0.61,0.74,-8.84,0.13,0.04,0.13,0.53
Two Door Cinema Club,5,0.51,0.81,-4.66,0.08,0.0,0.08,0.67
Beach Fossils,5,0.56,0.75,-7.25,0.04,0.11,0.29,0.6
Mikromusic,5,0.73,0.5,-8.69,0.06,0.74,0.11,0.42
Travis Scott,5,0.54,0.77,-4.58,0.05,0.23,0.36,0.22
Szczyl,5,0.76,0.65,-6.77,0.12,0.31,0.12,0.68
Jungle,5,0.62,0.76,-7.28,0.18,0.21,0.27,0.19
schafter,5,0.72,0.51,-9.27,0.16,0.32,0.16,0.43
Her's,5,0.53,0.88,-4.37,0.03,0.17,0.22,0.44
Aaron May,5,0.87,0.5,-8.34,0.06,0.05,0.15,0.69
SZA,5,0.61,0.58,-8.36,0.08,0.13,0.13,0.41
Ludovico Einaudi,5,0.27,0.26,-15.83,0.04,0.95,0.08,0.05
The Game,5,0.8,0.78,-4.78,0.21,0.14,0.12,0.44
Yann Tiersen,5,0.56,0.34,-9.8,0.04,0.85,0.16,0.71
Brad stank,5,0.76,0.38,-11.41,0.07,0.36,0.25,0.42
Black Sabbath,5,0.45,0.35,-20.43,0.06,0.38,0.16,0.54
The Smiths,5,0.57,0.8,-7.02,0.04,0.0,0.15,0.73
LAUSSE THE CAT,5,0.72,0.35,-14.5,0.34,0.57,0.15,0.52
Jack Harlow,5,0.8,0.68,-5.73,0.19,0.06,0.15,0.75
The Mamas & The Papas,5,0.55,0.61,-9.79,0.03,0.35,0.05,0.64
Kora,5,0.78,0.84,-8.26,0.06,0.69,0.08,0.91
Kid Cudi,5,0.79,0.5,-6.73,0.06,0.29,0.32,0.51
WILLOW,5,0.49,0.68,-5.64,0.05,0.22,0.14,0.3
Fugees,4,0.76,0.29,-17.12,0.14,0.03,0.57,0.51
The Whitest Boy Alive,4,0.78,0.73,-7.03,0.04,0.4,0.13,0.9
Pale Jay,4,0.25,0.67,-6.93,0.03,0.22,0.1,0.44
Hozier,4,0.53,0.36,-7.67,0.06,0.75,0.11,0.26
Theophilus London,4,0.74,0.83,-4.95,0.07,0.13,0.09,0.46
daste.,4,0.0,0.54,-8.29,0.0,0.07,0.1,0.0
The Drums,4,0.6,0.82,-6.39,0.04,0.24,0.21,0.53
Queen,4,0.64,0.56,-7.44,0.04,0.36,0.09,0.52
ANOTR,4,0.77,0.59,-8.69,0.05,0.09,0.11,0.79
The Notorious B.I.G.,4,0.73,0.64,-8.66,0.29,0.3,0.14,0.79
Peggy Gou,4,0.74,0.88,-7.74,0.04,0.05,0.07,0.89
No Vacation,4,0.44,0.59,-9.0,0.03,0.32,0.11,0.08
Perfect,4,0.64,0.57,-8.57,0.04,0.1,0.31,0.74
The Clash,4,0.7,0.82,-6.9,0.08,0.1,0.23,0.8
The Police,4,0.72,0.6,-9.35,0.2,0.29,0.06,0.7
MATVEÏ,4,0.87,0.64,-8.83,0.39,0.22,0.13,0.42
Khruangbin,4,0.62,0.65,-12.42,0.06,0.05,0.25,0.88
Clio,4,0.78,0.55,-11.23,0.14,0.43,0.09,0.71
Blouse,4,0.61,0.59,-9.67,0.03,0.43,0.12,0.57
2Pac,4,0.73,0.68,-5.02,0.36,0.1,0.27,0.66
Birdy,4,0.46,0.46,-7.17,0.04,0.64,0.09,0.23
SAULT,4,0.71,0.68,-7.13,0.04,0.17,0.26,0.64
Billie Holiday,4,0.53,0.17,-12.63,0.05,0.87,0.13,0.36
Wallows,4,0.59,0.7,-6.17,0.03,0.08,0.53,0.57
Vundabar,4,0.47,0.76,-5.09,0.03,0.08,0.09,0.43
Videoclub,4,0.61,0.56,-8.87,0.03,0.38,0.19,0.22
Vestron Vulture,4,0.62,0.82,-7.78,0.07,0.0,0.1,0.71
Cigarettes After Sex,4,0.47,0.41,-10.76,0.03,0.32,0.11,0.14
Kaśka Sochacka,4,0.62,0.63,-8.0,0.03,0.58,0.11,0.36
Kazy Lambist,4,0.73,0.63,-8.94,0.06,0.34,0.4,0.35
Vampire Weekend,4,0.71,0.7,-5.09,0.05,0.21,0.15,0.89
Flavien Berger,4,0.72,0.41,-14.0,0.04,0.62,0.11,0.62
Ms. Lauryn Hill,4,0.68,0.63,-7.53,0.31,0.07,0.09,0.57
Jonathan Bree,4,0.69,0.54,-8.23,0.03,0.3,0.17,0.62
Metro Boomin,4,0.67,0.65,-5.74,0.05,0.26,0.12,0.19
Zbigniew Wodecki,4,0.47,0.39,-14.22,0.05,0.56,0.13,0.73
Jitwam,4,0.76,0.48,-9.17,0.08,0.59,0.16,0.56
Loyle Carner,3,0.67,0.8,-5.96,0.31,0.37,0.21,0.52
Lor,3,0.67,0.47,-8.83,0.03,0.77,0.1,0.35
Nicki Minaj,3,0.68,0.39,-10.84,0.16,0.6,0.15,0.24
Sir Chloe,3,0.44,0.57,-5.47,0.04,0.21,0.16,0.47
Iliona,3,0.53,0.4,-15.08,0.04,0.79,0.11,0.29
Lewis OfMan,3,0.66,0.56,-9.09,0.04,0.42,0.11,0.32
Macabre Plaza,3,0.56,0.73,-10.03,0.05,0.02,0.1,0.82
Saba,3,0.84,0.36,-13.57,0.06,0.07,0.17,0.28
Lana Del Rey,3,0.42,0.51,-9.33,0.07,0.48,0.17,0.2
Patti Smith,3,0.47,0.76,-7.75,0.04,0.05,0.12,0.47
Frédéric Chopin,3,0.38,0.03,-28.67,0.05,0.99,0.09,0.08
Lady Pank,3,0.59,0.72,-7.76,0.03,0.32,0.09,0.76
Odezenne,3,0.59,0.64,-8.59,0.04,0.36,0.14,0.27
Tally Hall,3,0.52,0.24,-13.77,0.09,0.74,0.11,0.14
Johann Sebastian Bach,3,0.28,0.16,-22.98,0.05,0.92,0.1,0.23
Kortez,3,0.53,0.53,-11.13,0.04,0.78,0.1,0.84
Joji,3,0.71,0.4,-8.13,0.18,0.61,0.14,0.56
The Doors,3,0.49,0.67,-8.49,0.04,0.13,0.11,0.88
Hiatus Kaiyote,3,0.69,0.36,-9.78,0.05,0.63,0.12,0.45
Strawberry Guy,3,0.47,0.63,-7.41,0.03,0.16,0.37,0.37
Masayoshi Takanaka,3,0.54,0.73,-10.9,0.04,0.55,0.28,0.67
Oscar Anton,3,0.71,0.46,-11.79,0.08,0.71,0.11,0.29
Kacperczyk,3,0.65,0.59,-7.85,0.11,0.43,0.11,0.4
Katie Melua,3,0.91,0.3,-14.74,0.05,0.68,0.11,0.47
Kayah,3,0.56,0.55,-8.02,0.03,0.43,0.08,0.65
Jack Stauber,3,0.68,0.45,-10.85,0.07,0.45,0.43,0.6
24kGoldn,3,0.64,0.69,-5.64,0.05,0.17,0.14,0.46
Bemibem,3,0.56,0.47,-10.62,0.03,0.47,0.12,0.7
Camp Claude,3,0.61,0.52,-7.61,0.03,0.11,0.12,0.22
Automatic,3,0.56,0.66,-7.04,0.04,0.12,0.14,0.25
XXXTENTACION,3,0.65,0.54,-8.88,0.24,0.02,0.17,0.24
Duskus,3,0.79,0.56,-11.31,0.12,0.31,0.2,0.4
Blondie,3,0.62,0.7,-10.65,0.03,0.01,0.08,0.81
Westside Gunn,3,0.4,0.71,-5.99,0.19,0.31,0.13,0.39
Bakar,3,0.58,0.68,-4.31,0.57,0.31,0.11,0.72
Dział Zagraniczny,3,0.63,0.79,-8.29,0.21,0.29,0.2,0.59
berlioz,3,0.57,0.42,-11.9,0.05,0.97,0.1,0.27
Zalia,3,0.74,0.52,-8.43,0.04,0.14,0.13,0.47
Bee Gees,3,0.63,0.68,-6.43,0.04,0.16,0.85,0.7
Arcade Fire,3,0.62,0.68,-6.15,0.03,0.06,0.34,0.53
Amy Winehouse,3,0.69,0.55,-7.5,0.05,0.43,0.1,0.64
David Bowie,3,0.49,0.6,-8.39,0.03,0.08,0.32,0.49
Elton John,3,0.63,0.63,-6.75,0.06,0.26,0.28,0.55
Cage The Elephant,3,0.51,0.71,-5.86,0.03,0.2,0.08,0.51
Czułe punkty,3,0.84,0.59,-5.76,0.08,0.11,0.15,0.49
warner case,3,0.78,0.75,-8.5,0.09,0.32,0.29,0.77
Black Marble,3,0.54,0.68,-10.0,0.03,0.34,0.11,0.59
redveil,3,0.28,0.89,-4.7,0.06,0.02,0.41,0.52
Discovery Zone,3,0.58,0.73,-10.08,0.04,0.35,0.09,0.54
Dire Straits,3,0.8,0.65,-10.4,0.04,0.07,0.2,0.9
The Pharcyde,3,0.76,0.77,-8.16,0.22,0.06,0.29,0.72
A Tribe Called Quest,3,0.86,0.6,-7.87,0.25,0.18,0.11,0.79
Coals,3,0.18,0.32,-11.03,0.03,0.43,0.32,0.42
Yves Tumor,3,0.58,0.7,-7.23,0.08,0.02,0.54,0.65
Santana,2,0.7,0.53,-13.38,0.04,0.22,0.14,0.73
Yot Club,2,0.51,0.62,-7.76,0.03,0.52,0.34,0.42
Magda Kluz,2,0.71,0.45,-11.55,0.13,0.7,0.14,0.5
MGMT,2,0.64,0.94,-4.56,0.04,0.09,0.16,0.5
MAVI,2,0.37,0.66,-9.9,0.08,0.05,0.17,0.86
Yiruma,2,0.32,0.22,-21.34,0.05,0.99,0.08,0.12
Black Pumas,2,0.39,0.69,-6.54,0.05,0.09,0.19,0.56
SKUBAS,2,0.63,0.47,-11.06,0.05,0.52,0.24,0.31
Maanam,2,0.33,0.9,-4.54,0.13,0.1,0.14,0.86
Xinobi,2,0.57,0.83,-9.75,0.04,0.17,0.17,0.16
ScHoolboy Q,2,0.62,0.56,-7.16,0.08,0.33,0.14,0.35
Wczasy,2,0.61,0.72,-6.83,0.05,0.04,0.08,0.78
Bobby Womack,2,0.47,0.38,-13.16,0.03,0.77,0.18,0.69
Cass Elliot,2,0.53,0.56,-13.02,0.04,0.61,0.26,0.7
Kasia Lins,2,0.63,0.51,-7.94,0.03,0.1,0.1,0.55
Claude Debussy,2,0.32,0.01,-31.8,0.04,0.99,0.07,0.05
Classik,2,0.79,0.73,-8.21,0.28,0.18,0.11,0.85
Sports,2,0.64,0.66,-8.54,0.03,0.23,0.42,0.65
Key Glock,2,0.91,0.46,-12.33,0.28,0.16,0.14,0.63
Chet Baker,2,0.55,0.21,-13.55,0.05,0.86,0.08,0.47
Cerrone,2,0.71,0.91,-6.7,0.06,0.14,0.13,0.89
King Krule,2,0.6,0.48,-8.64,0.07,0.68,0.09,0.29
Kylie Minogue,2,0.76,0.59,-7.72,0.14,0.12,0.11,0.83
Sharon Jones & The Dap-Kings,2,0.76,0.38,-11.09,0.05,0.59,0.09,0.72
CHATON,2,0.78,0.44,-13.95,0.16,0.94,0.25,0.55
LF SYSTEM,2,0.58,0.91,-3.93,0.11,0.02,0.27,0.68
Snoh Aalegra,2,0.67,0.47,-7.62,0.07,0.18,0.09,0.34
Sneaks,2,0.85,0.39,-16.46,0.15,0.71,0.11,0.97
The Marías,2,0.68,0.23,-13.25,0.03,0.86,0.14,0.39
Yung Adisz,2,0.7,0.83,-4.25,0.24,0.13,0.15,0.56
Lil Wayne,2,0.67,0.63,-6.48,0.03,0.01,0.09,0.5
Boldy James,2,0.5,0.47,-11.02,0.52,0.7,0.17,0.72
Maria Peszek,2,0.51,0.45,-7.44,0.04,0.32,0.18,0.18
Fabrizio Paterlini,2,0.38,0.03,-24.7,0.04,0.99,0.11,0.12
Matt Maltese,2,0.68,0.32,-13.01,0.03,0.83,0.1,0.37
Purple Disco Machine,2,0.71,0.88,-5.55,0.04,0.01,0.27,0.78
Ralph Kaminski,2,0.61,0.31,-12.23,0.04,0.83,0.14,0.18
Nation of Language,2,0.68,0.57,-6.69,0.04,0.36,0.13,0.4
Nelly Furtado,2,0.73,0.71,-6.24,0.04,0.14,0.12,0.59
R.E.M.,2,0.67,0.86,-5.05,0.03,0.18,0.1,0.8
Andrzej Zaucha,2,0.51,0.39,-12.82,0.07,0.48,0.1,0.62
Nosowska,2,0.6,0.54,-7.07,0.04,0.2,0.12,0.42
America,2,0.65,0.51,-17.18,0.05,0.69,0.16,0.83
Obywatel G.C.,2,0.6,0.92,-6.07,0.09,0.06,0.36,0.59
Provoker,2,0.57,0.9,-6.28,0.04,0.13,0.16,0.84
Rhye,2,0.75,0.55,-11.74,0.04,0.61,0.24,0.71
Otha,2,0.7,0.49,-12.7,0.05,0.22,0.1,0.52
Albo Inaczej,2,0.62,0.53,-8.13,0.03,0.03,0.11,0.07
Papooz,2,0.88,0.16,-9.38,0.05,0.91,0.13,0.7
Pitbull,2,0.85,0.63,-8.38,0.18,0.01,0.07,0.79
Part Time,2,0.68,0.7,-8.07,0.03,0.0,0.09,0.47
Aaron Frazer,2,0.81,0.55,-6.51,0.04,0.43,0.05,0.89
Piotr Rubik,2,0.45,0.75,-7.27,0.04,0.05,0.86,0.4
Ólafur Arnalds,2,0.28,0.08,-21.73,0.04,0.99,0.11,0.08
Nancy Wilson,2,0.36,0.15,-15.29,0.03,0.91,0.16,0.2
Ramones,2,0.43,0.8,-7.69,0.13,0.0,0.13,0.78
NEIL FRANCES,2,0.9,0.62,-7.97,0.05,0.22,0.07,0.8
Måneskin,2,0.61,0.87,-3.48,0.11,0.02,0.08,0.78
Reymour,2,0.6,0.71,-7.66,0.03,0.44,0.34,0.77
Mereba,2,0.59,0.45,-11.5,0.05,0.79,0.09,0.55
ZZ Top,2,0.64,0.63,-7.73,0.08,0.07,0.15,0.82
Karolina Sobańska,2,0.24,0.39,-10.87,0.04,0.8,0.38,0.08
Mezo,2,0.56,0.72,-4.93,0.07,0.26,0.26,0.41
Michael Kiwanuka,2,0.75,0.88,-4.25,0.04,0.01,0.3,0.66
Renata Lewandowska,2,0.48,0.48,-11.52,0.1,0.07,0.07,0.72
Barry Can't Swim,2,0.69,0.69,-8.05,0.03,0.02,0.1,0.52
Rejjie Snow,2,0.65,0.61,-7.62,0.29,0.26,0.09,0.72
Red Hot Chili Peppers,2,0.63,0.63,-5.02,0.03,0.06,0.11,0.6
Mira Kubasinska,2,0.58,0.27,-16.58,0.08,0.66,0.13,0.35
Baasch,2,0.66,0.59,-9.73,0.03,0.07,0.08,0.56
Miuosh,2,0.58,0.47,-11.07,0.05,0.53,0.09,0.15
Moi Je,2,0.75,0.64,-6.74,0.04,0.19,0.12,0.6
Mos Def,2,0.78,0.59,-4.83,0.19,0.15,0.16,0.87
BADBADNOTGOOD,2,0.54,0.45,-8.39,0.04,0.47,0.1,0.37
anything goes with emma chamberlain,2,0.56,0.26,-22.05,0.06,0.97,0.11,0.39
Kasia Cerekwicka,2,0.56,0.72,-4.15,0.08,0.12,0.06,0.83
Sly & The Family Stone,2,0.84,0.48,-11.57,0.05,0.28,0.11,0.76
GEN.KLOUD,2,0.82,0.76,-5.27,0.06,0.01,0.09,0.41
G-Eazy,2,0.49,0.37,-9.76,0.26,0.1,0.13,0.35
Jakob,2,0.67,0.42,-10.52,0.08,0.75,0.1,0.51
Daria Zawiałow,2,0.76,0.82,-6.59,0.03,0.08,0.29,0.91
Gunna,2,0.85,0.62,-6.75,0.09,0.12,0.28,0.22
The Cassino,2,0.54,0.83,-7.65,0.04,0.0,0.19,0.44
The Silhouettes Project,2,0.7,0.53,-10.58,0.24,0.46,0.13,0.42
French 79,2,0.0,0.61,-8.74,0.0,0.14,0.08,0.0
Dusty Springfield,2,0.68,0.71,-6.85,0.03,0.52,0.18,0.97
Deluxe,2,0.82,0.55,-8.48,0.1,0.34,0.16,0.27
Darondo,2,0.46,0.38,-11.68,0.03,0.9,0.11,0.64
Eminem,2,0.91,0.67,-5.24,0.19,0.04,0.07,0.79
Still Woozy,2,0.74,0.52,-12.3,0.15,0.82,0.23,0.62
TRENTE,2,0.51,0.29,-11.5,0.04,0.93,0.13,0.38
Declan McKenna,2,0.65,0.78,-3.96,0.05,0.06,0.07,0.64
Erykah Badu,2,0.76,0.44,-10.09,0.14,0.26,0.27,0.58
Dawid Tyszkowski,2,0.64,0.47,-9.54,0.05,0.26,0.27,0.45
Death Grips,2,0.57,0.99,-3.76,0.34,0.01,0.09,0.4
Jack Stauber's Micropop,2,0.69,0.32,-13.91,0.19,0.94,0.12,0.43
TOPS,2,0.8,0.54,-8.06,0.03,0.54,0.12,0.7
Edyta Bartosiewicz,2,0.63,0.46,-8.24,0.03,0.19,0.14,0.31
Gazzelle,2,0.78,0.73,-5.05,0.1,0.03,0.05,0.58
Eartha Kitt,2,0.59,0.12,-12.04,0.04,0.87,0.22,0.42
Gerry Rafferty,2,0.78,0.32,-15.09,0.03,0.21,0.11,0.77
Dzamble,2,0.47,0.63,-8.71,0.03,0.28,0.1,0.5
Gibran Alcocer,2,0.34,0.24,-20.45,0.04,0.98,0.1,0.71
The Valdons,2,0.56,0.5,-10.13,0.03,0.72,0.12,0.77
Jan Blomqvist,2,0.69,0.58,-11.03,0.03,0.11,0.12,0.22
J. Cole,2,0.66,0.57,-7.51,0.23,0.06,0.21,0.38
John Coltrane,2,0.41,0.15,-15.97,0.04,0.9,0.08,0.32
Tilt,2,0.6,0.54,-9.71,0.05,0.15,0.08,0.52
The Animals,2,0.3,0.58,-6.7,0.03,0.0,0.1,0.23
Hibou,2,0.34,0.93,-4.66,0.12,0.0,0.18,0.53
Faux Real,2,0.67,0.39,-10.4,0.03,0.5,0.1,0.58
Coolio,2,0.65,0.51,-10.05,0.06,0.07,0.4,0.39
Courrier Sud,2,0.75,0.38,-12.78,0.14,0.66,0.08,0.46
KIWI,2,0.55,0.39,-15.46,0.04,0.53,0.1,0.25
Fellini Félin,2,0.5,0.77,-6.67,0.03,0.01,0.06,0.4
Djo,2,0.6,0.44,-10.46,0.03,0.27,0.18,0.51
The Alan Parsons Project,2,0.62,0.4,-15.41,0.03,0.06,0.11,0.04
Fabich,2,0.69,0.7,-11.28,0.07,0.21,0.14,0.51
Il Pagante,2,0.7,0.9,-1.64,0.09,0.08,0.21,0.55
Tyla,2,0.67,0.72,-3.5,0.08,0.09,0.14,0.52
John Williams,2,0.17,0.12,-22.95,0.04,0.89,0.11,0.07
The Alchemist,2,0.6,0.58,-10.23,0.35,0.82,0.49,0.65
The Daughters Of Eve,2,0.48,0.48,-11.45,0.04,0.25,0.34,0.68
Julie London,2,0.44,0.11,-15.12,0.04,0.93,0.15,0.12
DJ Khaled,2,0.4,0.63,-4.16,0.04,0.2,0.16,0.04
Devendra Banhart,2,0.71,0.37,-14.4,0.09,0.66,0.23,0.37
Jorja Smith,2,0.67,0.72,-6.64,0.13,0.34,0.2,0.56
The Beatles,2,0.67,0.31,-9.93,0.04,0.79,0.19,0.72
DRAMA,2,0.78,0.66,-9.01,0.04,0.64,0.33,0.39
bambi,1,0.68,0.72,-7.16,0.09,0.03,0.1,0.44
The Cult,1,0.55,0.76,-8.68,0.03,0.0,0.13,0.42
The Walters,1,0.57,0.65,-4.89,0.04,0.58,0.12,0.47
banał,1,0.55,0.33,-12.86,0.03,0.81,0.12,0.38
The Who,1,0.39,0.62,-8.26,0.03,0.21,0.09,0.34
Pink Freud,1,0.56,0.2,-14.38,0.21,0.88,0.17,0.15
Zimmer,1,0.73,0.54,-7.85,0.05,0.35,0.18,0.26
Terrace Martin,1,0.77,0.58,-10.11,0.09,0.3,0.06,0.56
