trackName,artistName,TotalMinutes
I’m Just Ken - Purple Disco Machine Remix,Ryan Gosling,0.74
CAN'T SAY,Travis Scott,0.73
Here With Me,d4vd,0.68
Return of the Mack,Mark Morrison,0.67
favorite crime,Olivia Rodrigo,0.65
Comatose,jxdn,0.65
Wasting All These Tears,Cassadee Pope,0.64
Dilemma,Lil Flop,0.63
Seryjny morderca z metra | 290.,Kryminatorium,0.6
Fourth of July,Sufjan Stevens,0.6
Explosion,Kalwi & Remi,0.57
ZACZAROWANY BURDEL,ANATHEMIA,0.55
Sarà perché ti amo,Ricchi E Poveri,0.55
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,0.54
Higher Love,Kygo,0.53
9 to 5,Dolly Parton,0.53
Where's My Love,Rodnell Hairston,0.52
"jealousy, jealousy",Olivia Rodrigo,0.52
Where Do Broken Hearts Go,One Direction,0.52
Barcelona,Andra,0.51
Bongos (feat. Megan Thee Stallion),Cardi B,0.51
Stumblin' In,CYRIL,0.5
Kukła w środku lasu? Koszmarne grzybobranie | Strach Story S01E01,Strach Story ,0.5
Leave The Door Open,Bruno Mars,0.49
Nie Ma Nie Ma Ciebie,Kayah,0.48
Call Me Maybe,Carly Rae Jepsen,0.48
LANCEY OR LANCEY,Lancey Foux,0.47
Captain Hook,Megan Thee Stallion,0.47
Baby Rap,kingpuntocom beats,0.46
Big Energy,Latto,0.46
I Know You Want Me (Calle Ocho),Pitbull,0.46
get him back!,Olivia Rodrigo,0.46
Back On 74,Jungle,0.46
Bet On It,Troy,0.45
Young And Beautiful,Lana Del Rey,0.45
Little Black Dress,One Direction,0.43
FPS,Bedoes 2115,0.43
3 w nocy w Międzyzdrojach,SB Maffija,0.42
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.42
Under The Mistletoe,Kelly Clarkson,0.41
Does He Know?,One Direction,0.4
vampire heart,Isak Roen,0.4
deja vu,Olivia Rodrigo,0.4
Dangerous Woman,Ariana Grande,0.39
Careless Whisper,George Michael,0.38
What Makes You Beautiful,One Direction,0.37
Half a Heart,One Direction,0.37
Pepas,Farruko,0.37
that way,Tate McRae,0.36
Party In The U.S.A.,Miley Cyrus,0.35
Maps,Maroon 5,0.35
Chłopcy radarowcy,Andrzej Koziński,0.35
Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,0.34
Bécane - A COLORS SHOW,Yamê,0.34
JACKIE BROWN,Brent Faiyaz,0.34
traitor,Olivia Rodrigo,0.34
Timber (feat. Ke$ha),Pitbull,0.33
You & I,One Direction,0.33
Gorgeous,Taylor Swift,0.33
Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith,0.32
Prywatny bal,Cyrko,0.32
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,0.32
Padam Padam,Kylie Minogue,0.32
Paparazzi,Lady Gaga,0.32
Maroon,Taylor Swift,0.31
What Time Is It,Zac Efron,0.31
Power Over Me,Dermot Kennedy,0.31
Nonsense,Sabrina Carpenter,0.31
E.T.,Katy Perry,0.29
"Money, Money, Money",ABBA,0.29
Pony,Ginuwine,0.29
Temporary Fix,One Direction,0.28
Water,Tyla,0.28
IRL,bambi,0.28
5% TINT,Travis Scott,0.26
BLICKY,Beteo,0.25
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,0.25
parents,YUNGBLUD,0.25
KETCHUP,2115,0.25
She Makes Me Wanna (feat. Dev),JLS,0.25
Gangsta's Paradise,Coolio,0.24
Lawenda,SB Maffija,0.24
my boy,Billie Eilish,0.24
It's the Most Wonderful Time of the Year,Andy Williams,0.24
Billy Kid,ReTo,0.24
O Holy Night,Mariah Carey,0.23
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,0.23
Tell Me a Lie,One Direction,0.23
My Love (feat. T.I.),Justin Timberlake,0.23
happier,Olivia Rodrigo,0.23
TiK ToK,Kesha,0.23
Change Your Ticket,One Direction,0.22
Boy's a liar Pt. 2,PinkPantheress,0.22
Kiss You,One Direction,0.22
drivers license,Olivia Rodrigo,0.22
cut my hair,Tate McRae,0.22
Scenariusz dla moich sąsiadów,Myslovitz,0.21
Daylight,David Kushner,0.21
Sucker,Jonas Brothers,0.21
Stick to the Status Quo,High School Musical Cast,0.21
Calm Down (with Selena Gomez),Rema,0.2
As It Was,Harry Styles,0.2
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.2
Jolie Jolie,Blacha 2115,0.2
Too Many Nights (with JC Stewart),220 KID,0.2
Promiscuous,Nelly Furtado,0.2
Forever21,MaRina,0.2
TURYSTA,2115,0.2
Wildest Dreams (Taylor's Version),Taylor Swift,0.2
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,0.2
Perfect,One Direction,0.19
Moonlight,Kali Uchis,0.19
Mefedron Party - Biggy See Remix,Biggy See,0.19
All I Want (For Christmas),Liam Payne,0.19
London Boy,Taylor Swift,0.19
brutal,Olivia Rodrigo,0.19
Bejeweled,Taylor Swift,0.19
In The City,Charli XCX,0.18
DRESSCODE,2115,0.18
Long Way Down,One Direction,0.18
Right Now,One Direction,0.18
In Da Club,50 Cent,0.18
Genesis,Grimes,0.18
Wind Song,Jacob Terris,0.18
The Man,Taylor Swift,0.18
BMA,Vizza,0.18
Livin' la Vida Loca,Ricky Martin,0.18
"Ech, poleczko",Guzowianki,0.18
Violent,carolesdaughter,0.17
Angels Like You,Miley Cyrus,0.17
Mr. Brightside,The Killers,0.17
Pasek Gucci - La La La - Majki Remix,Majki,0.17
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,0.17
tolerate it,Taylor Swift,0.17
Clouds,One Direction,0.17
A.M.,One Direction,0.17
#297: oddech jako narzędzie do lepszego życia,Karolina Sobańska,0.17
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.17
Drinking About You,Ryan Oakes,0.17
Cringowy Lovesong,Young Leosia,0.16
Nobody's Business,Rihanna,0.16
Enchanted,Taylor Swift,0.16
Used To Be Young,Miley Cyrus,0.16
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,0.16
You’re Losing Me (From The Vault),Taylor Swift,0.16
Locked Away (feat. Adam Levine),R. City,0.16
Been You,Justin Bieber,0.16
Outta Love,Andye,0.16
Mirándote,Rvfv,0.15
Papi,Jennifer Lopez,0.15
mama's house,push baby,0.15
Life Is Worth Living,Justin Bieber,0.15
They Don't Know About Us,One Direction,0.15
Formidable,Stromae,0.15
bando - sped up + reverb,bbygirl,0.15
Harleys In Hawaii,Katy Perry,0.15
Cornelia Street,Taylor Swift,0.15
hurt my feelings,Tate McRae,0.15
The City's Yours,Jamie Foxx,0.15
Lay Low,Tiësto,0.14
In The Stars,Benson Boone,0.14
Lil Boo Thang,Paul Russell,0.14
Love Me Harder,Ariana Grande,0.14
New Romantics (Taylor's Version),Taylor Swift,0.14
Makeba - Ian Asher Remix,Jain,0.14
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,0.14
Problems,DeathbyRomy,0.14
Levitating (feat. DaBaby),Dua Lipa,0.14
Na serio,Białas,0.14
Idę Na Plażę,Video,0.14
Afraid,The Neighbourhood,0.14
greedy sped up,Tate McRae,0.14
SPRZEDAŁEM SIĘ,Oki,0.14
cardigan,Taylor Swift,0.13
she's all i wanna be,Tate McRae,0.13
Say Yes To Heaven,Lana Del Rey,0.13
I Gotta Feeling,Black Eyed Peas,0.13
Мой мармеладный (Speed Up),Katya Lel,0.13
Czerwone jagody,Guzowianki,0.13
LoveGame,Lady Gaga,0.13
Change My Mind,One Direction,0.13
The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,0.13
Fluid,ReTo,0.13
Umbrella,Rihanna,0.13
Easier,5 Seconds of Summer,0.13
Never Enough,One Direction,0.13
Beautiful Now,Zedd,0.13
Where's My Love,SYML,0.12
Just Dance,Lady Gaga,0.12
Bungee,SB Maffija,0.12
Don't Start Now,Dua Lipa,0.12
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,0.12
We R Who We R,Kesha,0.12
Sun of Jamaica,Goombay Dance Band,0.12
GLOW UP,2115,0.12
Lavender Haze,Taylor Swift,0.12
Happy Man,Jungle,0.12
She Wolf,Shakira,0.12
Aion,Trevor Stanley,0.12
Elastic Heart,Sia,0.12
Te Boté - Remix,Nio Garcia,0.12
we wish you a merry christmas,blondette,0.11
Every Ending Is a New Beginning,Samuel Bawo,0.11
MONTAGEM - PR FUNK,S3BZS,0.11
Gold,Loi,0.11
Midnight Sky,Miley Cyrus,0.11
Back For You,One Direction,0.11
Atlantis,Seafret,0.11
Error,Natalia Nykiel,0.11
Love Is A Long Road,Tom Petty,0.11
Running Up That Hill (A Deal With God),Kate Bush,0.11
Time of Our Lives,Pitbull,0.11
Plastic Hearts,Miley Cyrus,0.11
Otwieram wino (feat. Pezet),Sidney Polak,0.1
34+35,Ariana Grande,0.1
"1 step forward, 3 steps back",Olivia Rodrigo,0.1
Heat Waves,Glass Animals,0.1
HIPNOZA,NIKOŚ,0.1
Bonus - Favorite Song (feat. Future) [Toxic Version],Toosii,0.1
Deli,Ice Spice,0.1
if u think i'm pretty,Artemas,0.1
Blow Your Mind (Mwah),Dua Lipa,0.1
Boyfriend,Dove Cameron,0.1
Once in a Lifetime,One Direction,0.1
Talk Dirty (feat. 2 Chainz),Jason Derulo,0.1
Have Yourself a Merry Little Christmas,Christina Aguilera,0.1
I'm So Excited,The Pointer Sisters,0.1
Mwaki,Zerb,0.1
Darkest Hour,Andrea Russett,0.1
IDGAF,Dua Lipa,0.1
Delicate,Taylor Swift,0.09
Unsteady,X Ambassadors,0.09
Superman,Eminem,0.09
Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,0.09
Lighters,Bad Meets Evil,0.09
Burning Desire,Lana Del Rey,0.09
What It Is (Solo Version),Doechii,0.08
(It Goes Like) Nanana - Edit,Peggy Gou,0.08
Parado no Bailão,MC L da Vinte,0.08
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.08
Escapism.,RAYE,0.08
Crazy Girls,TOOPOOR,0.08
I Love It (feat. Charli XCX),Icona Pop,0.08
Cold Heart - PNAU Remix,Elton John,0.08
Lover,Taylor Swift,0.08
Freaky Like Me,Madcon,0.08
Kiss Me More (feat. SZA),Doja Cat,0.08
New Rules,Dua Lipa,0.08
Step Into Christmas - Remastered 1995,Elton John,0.07
Hey Angel,One Direction,0.07
august,Taylor Swift,0.07
I’m Just Ken (From Barbie The Album),Ryan Gosling,0.07
Hundred Miles,Yall,0.07
Disney,Kizo,0.07
Wildest Dreams,Taylor Swift,0.07
I'll Show You,Justin Bieber,0.07
Ne Rozumiju,Vixen,0.07
something to remember,Matt Hansen,0.07
Same Mistakes,One Direction,0.06
Break the Rules,Charli XCX,0.06
If I Could Fly,One Direction,0.06
Malibu Barbie,club2020,0.06
Last Kiss (Taylor's Version),Taylor Swift,0.06
Pozdro (feat. Sapi Tha King & Żabson),Kubi Producent,0.06
mad woman,Taylor Swift,0.06
Prom Queen,Beach Bunny,0.05
I Wish,One Direction,0.05
Małolatki,MiłyPan,0.05
Za Oknem Deszcz - Tahiti Remix,Tahiti,0.04
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,0.04
Temperature,Sean Paul,0.04
Hits Different,Taylor Swift,0.04
Fearless (Taylor’s Version),Taylor Swift,0.04
You Need To Calm Down,Taylor Swift,0.04
My Słowianie,Donatan,0.04
teenage dream,Olivia Rodrigo,0.04
Truly Madly Deeply,One Direction,0.04
Agora Hills,Doja Cat,0.04
Heart Attack,Demi Lovato,0.03
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,0.03
Taken,One Direction,0.03
Home,One Direction,0.03
Dancing With Our Hands Tied,Taylor Swift,0.03
KARATE KID,bambi,0.02
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,0.02
