artistName,Count,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
The Pointer Sisters,1,0.59,0.87,-5.83,0.05,0.1,0.44,0.8
Ricky Martin,1,0.42,0.95,-3.76,0.05,0.0,0.06,0.93
USHER,1,0.66,0.86,-3.4,0.11,0.03,0.08,0.65
Tiësto,1,0.53,0.86,-4.92,0.18,0.06,0.35,0.42
Tom Odell,1,0.48,0.2,-12.4,0.03,0.93,0.1,0.2
Tom Petty,1,0.64,0.62,-10.85,0.03,0.03,0.09,0.5
Tony Bennett,1,0.45,0.45,-9.35,0.04,0.87,0.22,0.59
Toosii,1,0.82,0.39,-8.46,0.05,0.34,0.1,0.41
Bad Meets Evil,1,0.68,0.7,-8.33,0.24,0.35,0.12,0.14
Azealia Banks,1,0.69,0.91,-6.81,0.18,0.02,0.27,0.57
Artemas,1,0.54,0.58,-6.09,0.05,0.53,0.56,0.4
Armaan Malik,1,0.46,0.46,-6.7,0.04,0.78,0.54,0.59
Andye,1,0.62,0.84,-5.32,0.06,0.04,0.12,0.28
Brent Faiyaz,1,0.73,0.35,-10.27,0.1,0.65,0.22,0.5
Career Contessa,1,0.84,0.42,-8.36,0.08,0.36,0.59,0.43
Rich Gang,1,0.74,0.55,-6.54,0.13,0.05,0.11,0.31
Donny Hathaway,1,0.63,0.64,-9.2,0.04,0.29,0.25,0.68
Justin Timberlake,1,0.77,0.68,-5.88,0.22,0.28,0.68,0.81
Kali Uchis,1,0.64,0.72,-6.46,0.05,0.51,0.17,0.88
Kalwi & Remi,1,0.64,0.74,-5.54,0.03,0.04,0.2,0.63
Drunk Urameshi,1,0.53,0.15,-18.46,0.04,0.37,0.12,0.12
Kate Bush,1,0.63,0.55,-13.12,0.05,0.72,0.06,0.19
Dreamfield,1,0.7,0.7,-5.67,0.02,0.14,0.12,0.28
Katya Lel,1,0.7,0.77,-4.21,0.04,0.02,0.1,0.96
Kayah,1,0.59,0.53,-9.66,0.04,0.27,0.28,0.31
Kaz Bałagane,1,0.63,0.64,-7.67,0.07,0.13,0.14,0.16
Dove Cameron,1,0.34,0.61,-6.54,0.06,0.23,0.19,0.23
Donatan,1,0.68,0.85,-4.87,0.1,0.26,0.38,0.68
Ricchi E Poveri,1,0.83,0.68,-9.2,0.03,0.09,0.2,0.96
Dolly Parton,1,0.55,0.78,-5.85,0.05,0.42,0.63,0.81
Kubi Producent,1,0.64,0.79,-7.6,0.41,0.22,0.12,0.23
Kygo,1,0.69,0.68,-7.16,0.03,0.02,0.1,0.4
Doechii,1,0.74,0.76,-5.85,0.09,0.06,0.1,0.76
Labrinth,1,0.57,0.66,-6.07,0.04,0.04,0.15,0.23
Lady A,1,0.59,0.62,-5.54,0.03,0.09,0.2,0.23
DeathbyRomy,1,0.76,0.55,-4.58,0.04,0.23,0.18,0.38
Lancey Foux,1,0.46,0.57,-4.43,0.18,0.04,0.15,0.12
Latto,1,0.94,0.81,-3.84,0.11,0.05,0.35,0.81
Liam Payne,1,0.58,0.26,-10.08,0.04,0.81,0.51,0.3
Ed Sheeran,1,0.53,0.33,-9.86,0.05,0.69,0.11,0.11
Jung Kook,1,0.85,0.82,-3.29,0.1,0.03,0.09,0.89
Ellie Goulding,1,0.48,0.59,-5.28,0.03,0.56,0.28,0.31
Jordan Smith,1,0.33,0.22,-8.98,0.03,0.93,0.19,0.17
Future,1,0.78,0.49,-6.5,0.05,0.05,0.1,0.09
Glass Animals,1,0.76,0.52,-6.9,0.09,0.44,0.09,0.53
Goombay Dance Band,1,0.63,0.82,-10.36,0.03,0.1,0.74,0.86
Grimes,1,0.61,0.68,-6.74,0.03,0.08,0.24,0.23
Ground Zero Academy Orchestra,1,0.08,0.36,-8.63,0.04,0.53,0.35,0.19
Formula Speed,1,0.6,0.57,-7.16,0.03,0.82,0.18,0.61
Ice Spice,1,0.79,0.76,-6.17,0.2,0.12,0.13,0.27
Icona Pop,1,0.71,0.91,-2.67,0.03,0.01,0.15,0.82
Flo Rida,1,0.62,0.87,-3.91,0.03,0.03,0.06,0.47
Isak Roen,1,0.32,0.74,-5.82,0.04,0.0,0.1,0.21
Iyaz,1,0.71,0.75,-6.32,0.07,0.17,0.17,0.2
Farruko,1,0.76,0.77,-3.96,0.03,0.01,0.13,0.44
Eminem,1,0.8,0.76,-3.14,0.06,0.02,0.3,0.58
Jacob Terris,1,0.28,0.03,-33.98,0.04,0.97,0.11,0.38
Jain,1,0.65,0.94,-4.08,0.05,0.24,0.12,0.67
James Hype,1,0.85,0.69,-7.88,0.05,0.01,0.05,0.69
James Newton Howard,1,0.21,0.07,-18.07,0.04,0.34,0.21,0.14
Jamie Foxx,1,0.53,0.81,-4.28,0.05,0.08,0.12,0.34
Jan-Rapowanie,1,0.8,0.72,-9.81,0.3,0.28,0.07,0.61
Jennifer Lopez,1,0.7,0.8,-4.89,0.06,0.13,0.37,0.89
John Lennon,1,0.32,0.64,-10.02,0.03,0.28,0.72,0.41
Lil Flop,1,0.65,0.77,-6.66,0.09,0.17,0.12,0.62
Lil Uzi Vert,1,0.73,0.6,-5.01,0.19,0.07,0.18,0.41
Dave,1,0.95,0.37,-9.55,0.29,0.34,0.1,0.37
Naeleck,1,0.62,0.77,-3.14,0.03,0.0,0.34,0.23
Nelly Furtado,1,0.81,0.97,-6.1,0.05,0.06,0.15,0.87
Niall Horan,1,0.59,0.87,-4.05,0.06,0.01,0.36,0.76
Nick Phoenix,1,0.47,0.91,-4.72,0.03,0.0,0.18,0.46
Nicky Youre,1,0.77,0.71,-5.11,0.04,0.35,0.15,0.84
Nio Garcia,1,0.9,0.68,-3.44,0.21,0.54,0.06,0.44
Cassadee Pope,1,0.46,0.77,-3.93,0.04,0.1,0.17,0.26
Olly Murs,1,0.76,0.86,-3.69,0.06,0.02,0.12,0.96
George Michael,1,0.57,0.63,-8.82,0.04,0.13,0.27,0.8
Otaku,1,0.81,0.32,-15.29,0.04,0.22,0.11,0.52
Otis Redding,1,0.71,0.29,-14.13,0.03,0.35,0.13,0.86
CYRIL,1,0.88,0.52,-8.39,0.06,0.06,0.12,0.37
Paul Russell,1,0.85,0.7,-3.29,0.08,0.15,0.32,0.92
Peggy Gou,1,0.67,0.88,-5.68,0.04,0.12,0.08,0.96
Perry Como,1,0.72,0.28,-12.25,0.06,0.76,0.12,0.72
PinkPantheress,1,0.7,0.81,-8.25,0.05,0.25,0.25,0.86
Bruno Mars,1,0.59,0.62,-7.96,0.03,0.18,0.09,0.72
Bruce Springsteen,1,0.36,0.67,-8.44,0.05,0.36,0.73,0.41
Queen,1,0.3,0.42,-8.88,0.03,0.22,0.23,0.33
R. City,1,0.51,0.67,-5.71,0.07,0.3,0.05,0.55
Rasa Vitkauskaite,1,0.31,0.06,-22.77,0.04,0.99,0.11,0.05
Rema,1,0.8,0.81,-5.21,0.04,0.38,0.11,0.8
Natalia Nykiel,1,0.55,0.96,-3.14,0.27,0.15,0.44,0.67
NLE Choppa,1,0.88,0.88,-1.87,0.18,0.08,0.33,0.76
Loi,1,0.61,0.94,-2.65,0.04,0.03,0.18,0.86
NIKOŚ,1,0.74,0.51,-9.92,0.33,0.23,0.1,0.8
Danzel,1,0.8,0.93,-6.19,0.06,0.07,0.93,0.86
MC L da Vinte,1,0.83,0.6,-1.62,0.15,0.38,0.08,0.48
MaRina,1,0.75,0.71,-6.66,0.14,0.2,0.2,0.28
Machine Gun Kelly,1,0.56,0.89,-4.0,0.04,0.01,0.48,0.63
Macklemore & Ryan Lewis,1,0.64,0.92,-4.46,0.08,0.03,0.09,0.85
Madcon,1,0.6,0.75,-4.48,0.06,0.01,0.16,0.56
Majki,1,0.86,0.74,-4.78,0.1,0.03,0.11,0.73
Marconi Union,1,0.08,0.21,-20.61,0.03,0.86,0.18,0.08
MargoFitz,1,0.44,0.41,-9.84,0.04,0.27,0.1,0.38
Mark Morrison,1,0.72,0.83,-5.38,0.11,0.01,0.16,0.61
Céline Dion,1,0.35,0.6,-5.25,0.03,0.45,0.28,0.16
Matt Hansen,1,0.66,0.72,-6.9,0.03,0.38,0.12,0.49
Megan Thee Stallion,1,0.86,0.63,-5.0,0.29,0.01,0.28,0.55
Meghan Trainor,1,0.56,0.37,-7.74,0.03,0.27,0.1,0.3
Coldplay,1,0.32,0.42,-9.15,0.03,0.13,0.08,0.24
Michael Wilbur,1,0.65,0.53,-8.66,0.18,0.05,0.16,0.84
Michele Morrone,1,0.45,0.29,-11.76,0.04,0.81,0.1,0.16
Cigarettes After Sex,1,0.45,0.29,-11.2,0.03,0.78,0.13,0.05
Chuck Berry,1,0.68,0.72,-10.61,0.09,0.81,0.08,0.96
MiłyPan,1,0.71,0.92,-4.32,0.06,0.07,0.36,0.96
Mud,1,0.55,0.32,-13.51,0.03,0.81,0.12,0.5
Lizzo,1,0.84,0.74,-6.3,0.07,0.1,0.34,0.72
