endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
2023-12-26 13:01:00,Troye Sivan,Rush,0,0.743,0.837,5,-7.634,0,0.0633,0.00288,2.86e-05,0.104,0.378,126.023,4ZnkygoWLzcGbQYCm3lkae,156391,"australian pop, pop, viral pop"
2023-12-26 13:01:00,Natalia Kukulska,Wierność jest nudna,227213,0.539,0.649,6,-8.302,0,0.052,0.254,0.0,0.119,0.589,159.985,3ZCeZfeh8ejSrn4zlPkeKQ,226183,polish pop
2023-12-26 13:04:00,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",1803,0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,7CyPwkp0oE8Ro9Dd5CUDjW,244685,"canadian contemporary r&b, canadian pop, pop, k-pop, pop"
2023-12-26 13:04:00,Taylor Swift,Cruel Summer,178426,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,1BxfuPKGuaTgP7aM0Bbdwr,178427,pop
2023-12-27 10:28:00,Taylor Swift,"You're On Your Own, Kid",8043,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,4D7BCuvgdJlYvlX5WlN54t,194207,pop
2023-12-27 10:28:00,Taylor Swift,...Ready For It?,208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
2023-12-27 10:32:00,Natalia Kukulska,Wierność jest nudna,227213,0.539,0.649,6,-8.302,0,0.052,0.254,0.0,0.119,0.589,159.985,3ZCeZfeh8ejSrn4zlPkeKQ,226183,polish pop
2023-12-27 10:33:00,Troye Sivan,Rush,89466,0.743,0.837,5,-7.634,0,0.0633,0.00288,2.86e-05,0.104,0.378,126.023,4ZnkygoWLzcGbQYCm3lkae,156391,"australian pop, pop, viral pop"
2023-12-27 10:33:00,Taylor Swift,...Ready For It?,1170,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
2023-12-27 10:37:00,Troye Sivan,Rush,4046,0.743,0.837,5,-7.634,0,0.0633,0.00288,2.86e-05,0.104,0.378,126.023,4ZnkygoWLzcGbQYCm3lkae,156391,"australian pop, pop, viral pop"
2023-12-27 10:37:00,Natalia Kukulska,Wierność jest nudna,227213,0.539,0.649,6,-8.302,0,0.052,0.254,0.0,0.119,0.589,159.985,3ZCeZfeh8ejSrn4zlPkeKQ,226183,polish pop
2023-12-27 10:40:00,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),520,0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,4NioO5R9sHEZh4cGzMHyNt,279833,pop
2023-12-27 10:40:00,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),148240,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,55n9yjI6qqXh5F2mYvUc2y,247160,"pop, uk pop, pop"
