endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
2024-01-04 11:43:00,Oxxxymiron,Прекрасное Далёко,204714,0.694,0.794,11,-6.526,0,0.128,0.193,0.0,0.286,0.401,145.957,36IkbFaCpRF8tO29rQJuJa,204715,"russian grime, russian hip hop, russian trap, russian gangster rap"
2024-01-04 11:45:00,Oxxxymiron,Больше Бена,136000,0.635,0.805,3,-6.161,0,0.372,0.0415,0.0,0.0606,0.886,88.763,3zpcgoZOwtvgoGpc3nxd24,136000,"russian grime, russian hip hop, russian trap"
2024-01-04 11:47:00,BOOKER,Быть артистом,112285,0.707,0.668,2,-6.301,1,0.324,0.186,2.79e-05,0.116,0.625,163.988,2trVJALaTJmDOStgd9WJOW,112286,"russian grime, russian trap"
2024-01-04 11:50:00,Schokk,Буккаке,198974,0.735,0.855,1,-4.644,1,0.376,0.209,0.0,0.0879,0.677,94.11,6zFKh9YZxQsIhtcoOgCtml,198975,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
2024-01-04 11:53:00,PORCHY,Flashback,178329,0.404,0.979,2,-3.041,1,0.459,0.0725,0.0,0.323,0.396,81.33,6ZVwcPblngaIBM5XwArp6u,178329,"russian grime, russian grime, russian hip hop, russian trap"
2024-01-04 11:55:00,Husky,Черным-черно,93019,0.702,0.695,8,-8.882,1,0.191,0.1,0.0,0.637,0.724,115.014,6wFWsmyG4D2Mte0iWbqiYr,189913,"russian hip hop, russian trap"
2024-01-04 11:55:00,Брутто,Siri,1221,0.827,0.364,11,-9.997,0,0.0838,0.569,0.0372,0.105,0.599,81.032,6bmGFfQvU9jCn6kIPixjgj,149074,russian gangster rap
2024-01-04 11:57:00,Noize MC,Моё море,127,0.771,0.665,9,-6.267,0,0.0424,0.634,0.0,0.11,0.479,95.013,0XW0ikPlJsHJldNnPs8xh3,146640,"russian hip hop, russian reggae, russian rock"
2024-01-04 11:57:00,FEDUK,Высоко,6114,0.0,0.594,10,-10.355,1,0.0,0.0638,0.0,0.243,0.0,0.0,16XXKAbjYYfR79gDmikKso,60848,"russian hip hop, russian trap"
2024-01-04 11:57:00,Oxxxymiron,Песенка Гремлина,665,0.656,0.834,4,-3.686,0,0.377,0.058,0.0,0.619,0.529,86.7,3IULpYrTrkUCwVL7GKpmiG,203500,"russian grime, russian hip hop, russian trap"
2024-01-04 11:57:00,Bi-2,Пора возвращаться домой,826,0.541,0.929,11,-4.903,0,0.339,0.0222,0.0,0.144,0.374,160.065,5zAil5YxCXhU1cwyqq1Wjp,288927,"belarusian pop, belarusian rock, classic russian rock, russian alternative rock, russian punk, russian rock, russian grime, russian hip hop, russian trap"
2024-01-04 11:57:00,Oxxxymiron,Лига Опасного Интернета,140134,0.848,0.677,10,-5.386,0,0.108,0.155,0.000543,0.161,0.732,129.988,7B4napIhOn1s4qnwgcXBCl,140135,"russian grime, russian hip hop, russian trap"
2024-01-04 11:57:00,BOOKER,НЕ УМИ РАЙ,868,0.304,0.858,4,-3.026,0,0.169,0.00849,0.0,0.3,0.372,164.438,6SkZSYLCSoCEiNIlhvcNyL,117802,"russian grime, russian trap, russian drain, russian rave"
2024-01-04 11:57:00,Schokk,Мысли пачкают мозги,3732,0.572,0.913,7,-3.915,0,0.413,0.0972,0.0,0.142,0.581,150.087,0FK6SNxnZoaPpx3fculDL5,192328,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
2024-01-04 11:58:00,Noize MC,Моё море,13169,0.771,0.665,9,-6.267,0,0.0424,0.634,0.0,0.11,0.479,95.013,0XW0ikPlJsHJldNnPs8xh3,146640,"russian hip hop, russian reggae, russian rock"
2024-01-04 11:58:00,Noize MC,Страна дождей,3623,0.398,0.759,11,-6.273,0,0.333,0.127,0.0,0.262,0.4,170.114,6RdIfGSeUtXA68K9CmTnPu,138353,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:01:00,Noize MC,Миокард,182794,0.732,0.873,7,-5.087,1,0.131,0.444,0.0,0.141,0.712,130.16,62HBALekVIyB0qU3Rf70EW,182795,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:03:00,Noize MC,Моё море,1130,0.771,0.665,9,-6.267,0,0.0424,0.634,0.0,0.11,0.479,95.013,0XW0ikPlJsHJldNnPs8xh3,146640,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:03:00,Noize MC,Страна дождей,871,0.398,0.759,11,-6.273,0,0.333,0.127,0.0,0.262,0.4,170.114,6RdIfGSeUtXA68K9CmTnPu,138353,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:03:00,Noize MC,Бассейн,162475,0.474,0.958,6,-2.462,0,0.19,0.185,0.0,0.147,0.867,94.53,1tVFbLFWtrGQ0w9Xmok1Zc,216720,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:04:00,Noize MC,+-0,45400,0.605,0.869,8,-4.606,1,0.354,0.334,0.0,0.161,0.674,174.351,5EG0N8sFCaTtTO5NT1kbM6,175080,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:04:00,Noize MC,Питерские крыши,1720,0.617,0.578,11,-8.049,0,0.229,0.505,0.0,0.107,0.318,84.956,5Ksa7bxh0Q2WIFKEPl15us,214588,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:04:00,Noize MC,Это был дождь,857,0.627,0.859,11,-6.411,0,0.0481,0.0147,0.0,0.377,0.549,104.951,5GunJnXE0NCGizjqjj2jox,262827,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Жвачка - (Video Edit),1990,0.625,0.839,4,-5.882,1,0.0427,0.00572,0.00045,0.11,0.489,127.02,6MhJHGqWsMUO61CgGlQZbT,183960,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Atlantida Project,Иордан (original atlantida version) [feat. noize mc],1278,0.567,0.944,8,-3.761,1,0.0545,0.000184,4.31e-06,0.112,0.353,119.935,1VMnptOA4XAiZQwiuSCHUO,217148,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Иордан,1383,0.63,0.98,5,-4.161,0,0.0925,0.00284,0.0,0.319,0.502,119.978,3IkfGuitetzrJWUiBj0V7s,221741,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Вселенная бесконечна?,1141,0.545,0.901,0,-2.996,1,0.0933,0.0107,0.00288,0.274,0.465,116.777,5bkfPKnHLi6AUP3fJA5Xf5,260560,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Песня предателя,1606,0.731,0.758,6,-3.881,0,0.0617,0.605,0.0,0.284,0.882,119.964,480o4ALgBgyYgtOZ5uRtuG,237024,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,В темноте,3155,0.745,0.643,6,-8.527,0,0.2,0.381,0.0,0.116,0.635,130.093,6m94o59cu7Go6di5zjWUzy,206766,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Сгораю,1382,0.513,0.821,2,-4.402,1,0.0776,0.0545,0.0,0.472,0.433,87.125,4SM09LrWZwiEEI6p0Xpmfq,235133,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Сохрани мою речь - из фильма «Сохрани мою речь навсегда»,107239,0.527,0.848,1,-4.532,0,0.201,0.64,0.0,0.408,0.7,92.761,2OuhPMsbi2OfxzAo7xM3Vy,249547,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Голос & струны (Орфей),1146,0.763,0.853,0,-5.656,1,0.375,0.32,0.0,0.221,0.558,100.507,5PEA1NzxtDHg1ROQMUUPRM,183000,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Atlantida Project,Ничего нового (feat. Noize MC),1376,0.589,0.946,11,-3.092,0,0.108,0.00927,0.0,0.782,0.388,92.943,43Rzbk5OKE1fKRRLFCKCH0,271290,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Давай приколемся,1281,0.659,0.817,1,-6.486,1,0.302,0.243,0.0,0.194,0.894,96.986,0FrdnGwpqF5LNSFkmbGIOU,209093,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Век-волкодав (Трибьют Осипу Мандельштаму),2157,0.566,0.636,11,-7.183,0,0.13,0.0505,0.0045,0.341,0.241,80.074,4MLzVOKW9qcT6cm3pVTbKD,178019,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Сопротивление воздуха,1819,0.56,0.865,7,-5.926,1,0.379,0.553,0.0,0.0674,0.766,150.17,4ZjMUBWDrdDR313TEnOdRN,176454,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Грабли,0,0.556,0.543,1,-8.68,0,0.0397,0.0916,0.00213,0.206,0.0536,127.996,1U5qB87uilRJgwkE9q9SUh,277500,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,Столетняя война,1263,0.587,0.977,11,-4.811,0,0.124,0.00469,0.0,0.37,0.856,104.844,2KhID3ZVR1ZiMXg3pqN1Tj,193840,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:06:00,Noize MC,На Марсе классно,1215,0.631,0.71,2,-6.748,1,0.181,0.361,6.57e-05,0.364,0.408,90.89,2ilGexePNeROyMYXVlkIvJ,254000,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Noize MC,Какая жалость,1666,0.703,0.724,2,-6.547,1,0.169,0.266,0.0,0.14,0.596,92.982,2qsOvr3WfVLPve61Hf07Z5,154840,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Anacondaz,Пусть они умрут,1065,0.769,0.737,1,-6.047,1,0.121,0.0225,0.0163,0.399,0.543,129.987,2QV1DjTBy79iciYQ7jOSYo,385653,"russian hip hop, russian rock, russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Noize MC,Выдыхай,1319,0.426,0.917,4,-4.911,0,0.187,0.273,0.0,0.639,0.3,99.437,6XDIIRSC7oDLhfI9PPdmJc,188093,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Swanky Tunes,Люди с автоматами,1110,0.482,0.924,7,-4.058,1,0.259,0.0784,0.0,0.682,0.709,120.058,6v4sXroNQORvqqytJzGm7M,192491,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house, russian edm, russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Noize MC,Похуисты,1165,0.64,0.828,7,-3.951,1,0.225,0.106,0.0,0.0682,0.951,86.985,23Gj4tmv97dxgtDJextkWw,278760,"russian hip hop, russian reggae, russian rock, russian hip hop, russian rock"
2024-01-04 12:10:00,Noize MC,Певец и актриса,1435,0.718,0.679,8,-5.831,1,0.237,0.166,0.000298,0.0935,0.737,85.289,2S25wKEvb1wcmhDVbKumdU,263547,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Noize MC,Чайлдфри,1415,0.674,0.94,4,-4.685,0,0.0473,0.009,0.0,0.201,0.814,130.066,6yoBux5PLsS92F1AgX6IoN,243692,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Noize MC,Почитай старших,201800,0.705,0.847,1,-5.236,1,0.274,0.168,0.0,0.0885,0.476,150.12,1AkqFfIsNYqJEpxkAKa5Yt,201800,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:10:00,Noize MC,Yes Future!,1064,0.506,0.944,9,-3.067,1,0.317,0.115,0.0,0.167,0.734,129.993,7KLFIro2lZ9VWrsOe89zBL,189173,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:13:00,Noize MC,Кооператив «Лебединое озеро»,188247,0.566,0.911,9,-5.846,1,0.0538,0.108,0.0,0.0826,0.549,148.106,5aakS9qBPHmz0dwAfWaVCs,188248,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:14:00,Noize MC,Зубы мудрости,1137,0.73,0.698,9,-5.39,1,0.195,0.187,2.67e-05,0.184,0.628,77.065,1dj0aK5z1RrIvXyVfHidh4,188132,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:14:00,Noize MC,26.04,52125,0.685,0.766,7,-6.441,1,0.277,0.203,0.0,0.13,0.631,162.946,6cIKQv95CJ4EFh45fZKezO,229693,"russian hip hop, russian reggae, russian rock"
2024-01-04 12:18:00,Monetochka,Коза,5285,0.739,0.651,7,-7.721,1,0.29,0.444,0.0,0.0769,0.659,157.989,1RmvD0Sphxt5cATa5wO5di,205711,"russian alt pop, russian electronic, russian pop, russian hip hop, russian reggae, russian rock"
