# source, target, tau, severity, weight, color, gender, patients_norm, RRI^F, patients, tau_norm, RRI^M
21,17,0.16,Major,3.05714285714,#fcbba1,Female,1.06066574749,1.32816321277,23,3.05714285714,0.752919513495
21,28,0.24,Moderate,4.08571428571,#fcb195,Female,1.04136300965,1.55837816965,16,4.08571428571,0.641692767183
22,7,0.03,Moderate,1.38571428571,#bc141a,Female,1.0,126.09,1,1.38571428571,0.0
22,28,0.26,Moderate,4.34285714286,#c6171c,Female,1.97616702777,4.75828907531,355,4.34285714286,0.210159572942
23,14,0.22,Moderate,3.82857142857,#fdc6b0,Female,1.07445341737,1.09472846628,28,3.82857142857,0.913468527402
23,61,0.42,Moderate,6.4,#808080,Male,1.00275753398,0.708353713477,2,6.4,1.4117240878
23,20,0.6,Moderate,8.71428571429,#808080,Male,2.05889304708,0.609115753618,385,8.71428571429,1.64172407964
23,65,0.43,Moderate,6.52857142857,#fcb499,Female,1.28126846563,1.50256848313,103,6.52857142857,0.665527069964
24,2,0.43,Moderate,6.52857142857,#808080,Male,1.00551506795,0.0,3,6.52857142857,126.09
24,27,0.43,Minor,6.52857142857,#bc141a,Female,1.00551506795,126.09,3,6.52857142857,0.0
25,4,0.16,Moderate,3.05714285714,#e02c26,Female,1.18751231042,4.17928690951,69,3.05714285714,0.239275269119
25,65,0.27,Moderate,4.47142857143,#ce1b1e,Female,1.78038211542,4.5856582504,284,4.47142857143,0.218071200555
25,59,0.2,Moderate,3.57142857143,#bc141a,Female,1.01654520386,126.09,7,3.57142857143,0.0
25,27,0.35,Moderate,5.5,#bc141a,Female,1.17096710656,21.604788261,63,5.5,0.0462860356657
25,53,0.14,Moderate,2.8,#bc141a,Female,1.31711640733,6.1390655168,116,2.8,0.1628912409
27,21,0.3,Moderate,4.85714285714,#bc141a,Female,1.0,126.09,1,4.85714285714,0.0
27,62,0.33,Moderate,5.24285714286,#bd151a,Female,1.01930273784,4.95847599434,8,5.24285714286,0.201674869686
27,28,0.56,Major,8.2,#bc141a,Female,1.03309040772,8.50024456172,13,8.2,0.117643673984
28,19,0.47,Major,7.04285714286,#fc9a7b,Female,1.06066574749,2.00700218818,23,7.04285714286,0.498255560401
29,10,0.14,Major,2.8,#bc141a,Female,1.03309040772,126.09,13,2.8,0.0
29,26,0.09,Moderate,2.15714285714,#bc141a,Female,1.22887532007,58.7933582186,84,2.15714285714,0.0170087239494
29,66,0.09,None,2.15714285714,#bc141a,Female,1.07996848533,126.09,30,2.15714285714,0.0
29,59,0.19,Moderate,3.44285714286,#bc141a,Female,1.0716958834,126.09,27,3.44285714286,0.0
29,18,0.17,Moderate,3.18571428571,#bc141a,Female,1.01103013591,126.09,5,3.18571428571,0.0
29,6,0.32,Moderate,5.11428571429,#bc141a,Female,1.00551506795,126.09,3,5.11428571429,0.0
29,0,0.2,Major,3.57142857143,#bc141a,Female,1.00551506795,126.09,3,3.57142857143,0.0
29,2,0.49,Major,7.3,#bc141a,Female,1.0,126.09,1,7.3,0.0
30,1,0.03,Moderate,1.38571428571,#fcbba1,Female,1.15717943668,1.34587205561,58,1.38571428571,0.743012677791
30,67,0.36,None,5.62857142857,#808080,Male,2.3649793185,0.780389684339,496,5.62857142857,1.28141109508
30,18,0.04,Moderate,1.51428571429,#fb6c4c,Female,1.0827260193,2.95147380615,31,1.51428571429,0.338813781073
30,26,0.19,Moderate,3.44285714286,#808080,Male,2.67658065787,0.938163124337,609,3.44285714286,1.06591271183
31,17,0.16,None,3.05714285714,#f5533b,Female,2.72621626945,3.4040331231,627,3.05714285714,0.293769174341
31,69,0.26,Moderate,4.34285714286,#fc8d6d,Female,15.0,2.27920455649,5078,4.34285714286,0.43874956162
32,2,0.16,Moderate,3.05714285714,#808080,Male,1.01654520386,0.944471617969,7,3.05714285714,1.05879306585
34,3,0.07,Moderate,1.9,#fcc3ab,Female,1.04136300965,1.18058952246,16,1.9,0.847034452682
35,28,0.33,Moderate,5.24285714286,#fca689,Female,1.05515067954,1.77088428369,21,5.24285714286,0.564689635121
37,19,0.34,Moderate,5.37142857143,#fcb398,Female,1.17096710656,1.52296048397,63,5.37142857143,0.656615854792
40,28,0.23,Minor,3.95714285714,#dd2924,Female,1.01654520386,4.25012228086,7,3.95714285714,0.235287347967
42,11,0.21,Moderate,3.7,#e22e27,Female,1.11030135907,4.13206332861,41,3.7,0.242009843623
45,0,0.21,Moderate,3.7,#fb7252,Female,1.01103013591,2.83341485391,5,3.7,0.352931021951
45,2,0.29,Moderate,4.72857142857,#fcb89d,Female,1.02206027181,1.41670742695,9,4.72857142857,0.705862043902
46,21,0.7,Moderate,10.0,#808080,Male,2.44219026984,0.617279664601,524,10.0,1.6200112483
47,2,0.06,Moderate,1.77142857143,#bc141a,Female,1.0,126.09,1,1.77142857143,0.0
47,0,0.18,Moderate,3.31428571429,#bc141a,Female,1.00551506795,126.09,3,3.31428571429,0.0
47,18,0.14,Moderate,2.8,#bc141a,Female,1.00827260193,126.09,4,2.8,0.0
47,26,0.2,Moderate,3.57142857143,#bc141a,Female,1.05790821351,126.09,22,3.57142857143,0.0
48,20,0.08,Major,2.02857142857,#fb694a,Female,1.05515067954,3.01050328228,21,2.02857142857,0.332170373601
49,20,0.12,Major,2.54285714286,#808080,Male,1.0358479417,0.708353713477,14,2.54285714286,1.4117240878
50,24,0.11,Moderate,2.41428571429,#bc141a,Female,1.02206027181,5.66682970781,9,2.41428571429,0.176465510975
51,74,0.35,Moderate,5.5,#808080,Male,1.1544219027,0.733652060387,57,5.5,1.36304394684
51,30,0.6,Moderate,8.71428571429,#808080,Male,4.44140240299,0.891526554394,1249,8.71428571429,1.12167158126
51,28,0.57,Moderate,8.32857142857,#fcae93,Female,1.25920819382,1.61211534791,95,8.32857142857,0.620303008277
51,13,0.58,Moderate,8.45714285714,#fcc1a9,Female,2.47252314359,1.21534799571,535,8.45714285714,0.822809601471
52,23,0.55,Minor,8.07142857143,#808080,Male,1.7472917077,0.584748367501,272,8.07142857143,1.71013730962
53,6,0.15,Moderate,2.92857142857,#bc141a,Female,1.02757533977,7.08353713477,11,2.92857142857,0.14117240878
54,29,0.09,Moderate,2.15714285714,#bc141a,Female,1.49084104786,126.086960999,179,2.15714285714,0.00793103420114
54,59,0.21,Moderate,3.7,#808080,Male,1.0358479417,0.531265285107,14,3.7,1.88229878374
55,18,0.06,Moderate,1.77142857143,#bc141a,Female,1.00275753398,126.09,2,1.77142857143,0.0
55,26,0.07,Moderate,1.9,#bc141a,Female,1.0716958834,126.09,27,1.9,0.0
55,2,0.24,Moderate,4.08571428571,#bc141a,Female,1.00275753398,126.09,2,4.08571428571,0.0
55,0,0.2,Moderate,3.57142857143,#bc141a,Female,1.00275753398,126.09,2,3.57142857143,0.0
56,23,0.46,Moderate,6.91428571429,#808080,Male,1.3198739413,0.949193976059,117,6.91428571429,1.05352543866
57,7,0.04,Major,1.51428571429,#fb7252,Female,1.02481780579,2.83341485391,10,1.51428571429,0.352931021951
57,17,0.2,Major,3.57142857143,#fb7c5c,Female,3.45696277329,2.63477598187,892,3.57142857143,0.379538908385
57,19,0.55,Major,8.07142857143,#fcbfa6,Female,2.2932834351,1.2733501278,470,8.07142857143,0.785329956129
58,2,0.35,Moderate,5.5,#808080,Male,1.01103013591,0.177088428369,5,5.5,5.64689635121
58,23,0.49,Major,7.3,#808080,Male,1.14063423281,0.561797772757,52,7.3,1.7799999368
58,19,0.56,Major,8.2,#fcc0a7,Female,1.06618081544,1.25929549063,25,8.2,0.794094799389
59,0,0.08,Moderate,2.02857142857,#bc141a,Female,1.00275753398,126.09,2,2.02857142857,0.0
59,66,0.14,None,2.8,#808080,Male,1.00827260193,0.708353713477,4,2.8,1.4117240878
60,17,0.15,Moderate,2.92857142857,#bc141a,Female,1.1544219027,7.36687862016,57,2.92857142857,0.13574270075
60,62,0.16,Moderate,3.05714285714,#f85f43,Female,1.118573961,3.18759171064,44,3.05714285714,0.313716463956
60,22,0.42,Major,6.4,#fa6647,Female,1.70592869805,3.08429012743,257,6.4,0.324223713945
62,28,0.2,Major,3.57142857143,#bc141a,Female,1.0827260193,6.61130132578,31,3.57142857143,0.151256152265
63,0,0.2,Major,3.57142857143,#bc141a,Female,1.00275753398,126.09,2,3.57142857143,0.0
64,17,0.2,Moderate,3.57142857143,#bc141a,Female,1.06893834942,5.43071180332,26,3.57142857143,0.184137924496
64,62,0.24,Moderate,4.08571428571,#fca98d,Female,1.04412054363,1.70004891234,17,4.08571428571,0.588218369918
64,22,0.33,Major,5.24285714286,#fb7959,Female,1.42190269844,2.70059853263,154,5.24285714286,0.370288285325
67,28,0.3,None,4.85714285714,#fc997a,Female,1.0716958834,2.02386775279,27,4.85714285714,0.494103430731
68,23,0.12,Moderate,2.54285714286,#bc141a,Female,1.00551506795,126.09,3,2.54285714286,0.0
68,13,0.26,Major,4.34285714286,#808080,Male,1.00827260193,0.0,4,4.34285714286,126.09
68,28,0.42,Major,6.4,#808080,Male,1.00275753398,0.708353713477,2,6.4,1.4117240878
69,14,0.27,Moderate,4.47142857143,#fcc2aa,Female,3.7520189088,1.20938438886,999,4.47142857143,0.826866965713
70,17,0.19,Moderate,3.44285714286,#dd2924,Female,1.67283829033,4.25012228086,245,3.44285714286,0.235287347967
70,62,0.22,Moderate,3.82857142857,#fb7252,Female,1.42466023242,2.83341485391,155,3.82857142857,0.352931021951
70,10,0.49,Moderate,7.3,#aa9992,Male,1.62044514477,0.994709469988,226,7.3,1.00531866859
70,22,0.45,Major,6.78571428571,#f34b36,Female,4.27870789837,3.5489236554,1190,6.78571428571,0.281775573977
71,0,0.05,Moderate,1.64285714286,#fdc6b0,Female,1.09651368919,1.11312726403,36,1.64285714286,0.898369874057
71,30,0.12,Moderate,2.54285714286,#fcbda4,Female,3.07090801655,1.30176701307,752,2.54285714286,0.76818661862
73,0,0.31,Moderate,4.98571428571,#bc141a,Female,1.01103013591,126.09,5,4.98571428571,0.0
73,2,0.53,Moderate,7.81428571429,#bc141a,Female,1.00275753398,126.09,2,7.81428571429,0.0
74,22,0.23,Moderate,3.95714285714,#fcb499,Female,1.28126846563,1.50256848313,103,3.95714285714,0.665527069964
74,15,0.16,Moderate,3.05714285714,#808080,Male,1.33641914516,0.875782773026,123,3.05714285714,1.14183565925
74,23,0.41,Moderate,6.27142857143,#808080,Male,1.474295844,0.529476513104,173,6.27142857143,1.88865790125
74,67,0.42,None,6.4,#808080,Male,1.10478629112,0.672936027803,39,6.4,1.48602535558
