;documentType;title;acquisitionTime
71;Android Apps;com.ezinterweb.weseewe;2016-02-12T13:38:16.097Z
72;Android Apps;Facebook;2015-12-19T12:24:12.482Z
73;Android Apps;Hill Climb Racing;2016-02-01T09:16:59.678Z
74;Android Apps;Fitatu Licznik Kalorii i Dieta;2015-12-02T19:56:03.761Z
75;Android Apps;com.fliptus.ETCLiteAll;2016-05-09T14:16:48.096Z
76;Android Apps;Color Switch;2016-03-10T16:10:50.655Z
77;Android Apps;Vovu;2016-08-13T14:57:28.430Z
78;Android Apps;Colorfy: Coloring Book Games;2016-01-04T15:31:36.668Z
79;Android Apps;com.furylion.colorsunited;2016-04-06T18:17:48.504Z
80;Android Apps;UNO ™ & Friends;2016-03-16T17:27:22.932Z
81;Android Apps;Fill - one-line puzzle game;2016-09-20T17:17:46.475Z
82;Android Apps;10000! - puzzle (Big Maker);2016-01-03T17:42:53.532Z
83;Android Apps;Książki Google Play;2015-12-02T21:09:05.696Z
84;Android Apps;Google Home;2016-06-21T14:31:18.333Z
85;Android Apps;Dokumenty Google;2015-12-02T21:06:26.464Z
86;Android Apps;Google Allo;2016-10-14T09:58:14.140Z
87;Android Apps;Wiadomości i pogoda Google;2016-04-21T03:23:17.584Z
88;Android Apps;Pismo odręczne Google;2016-02-28T15:52:13.089Z
89;Android Apps;Wiadomości Google;2015-12-17T17:37:04.128Z
90;Android Apps;Mapy Google;2015-12-12T19:10:46.623Z
91;Android Apps;Currents;2015-12-02T21:10:23.905Z
92;Android Apps;Gmail;2015-12-02T21:07:14.713Z
93;Android Apps;Usługi Exchange;2016-05-11T20:57:30.236Z
94;Android Apps;Google;2015-12-12T19:10:08.359Z
95;Android Apps;Google Keep – notatki i listy;2015-12-15T21:08:06.203Z
96;Android Apps;Ułatwienia dostępu na Androida;2015-12-12T19:13:01.812Z
97;Android Apps;Gry Google Play;2015-12-12T02:09:43.907Z
98;Android Apps;Google Street View;2017-01-05T16:04:43.606Z
99;Android Apps;Hangouts;2015-12-02T21:11:31.117Z
100;Android Apps;Speech Recognition & Synthesis;2016-02-18T17:57:28.553Z
101;Android Apps;Android System WebView;2016-01-15T21:36:16.673Z
102;Android Apps;YouTube;2015-12-12T19:11:43.324Z
103;Android Apps;Cardboard;2016-02-09T09:36:26.056Z
104;Android Apps;Aparat Cardboard;2016-09-07T14:31:54.263Z
105;Android Apps;VidTrim - Video Editor;2017-01-08T13:24:01.356Z
106;Android Apps;Merged!;2016-03-05T19:39:23.018Z
107;Android Apps;1010! Block Puzzle Game;2015-12-04T17:54:47.971Z
108;Android Apps;Fruit Ninja®;2016-10-14T10:00:00.983Z
109;Android Apps;Jetpack Joyride;2016-02-10T16:50:23.801Z
110;Android Apps;Background Eraser;2016-04-18T05:43:55.247Z
111;Android Apps;com.hansip87.smallapp.viewer;2016-01-07T20:10:10.424Z
112;Android Apps;com.huacraft.wafflerun;2016-08-20T08:56:36.860Z
113;Android Apps;Ślimak Bob 2 (Snail Bob 2);2016-06-13T16:38:17.642Z
114;Android Apps;com.ignatius.www;2016-08-18T08:32:20.359Z
115;Android Apps;Temple Run 2;2016-04-18T06:45:30.642Z
116;Android Apps;Stereotypo;2016-10-30T20:21:19.024Z
117;Android Apps;CamScanner - PDF Scanner App;2016-10-20T16:56:49.811Z
118;Android Apps;com.jtl.bluetooth;2016-10-09T16:25:24.069Z
119;Android Apps;com.ketchapp.balljump;2016-05-09T14:26:22.131Z
120;Android Apps;com.ketchapp.blockit;2016-06-15T16:34:52.225Z
121;Android Apps;com.ketchapp.bounce;2015-12-21T18:30:09.153Z
122;Android Apps;Cube Jump;2016-05-09T14:26:06.672Z
123;Android Apps;Don't Touch The Spikes;2016-01-27T18:32:11.491Z
124;Android Apps;Floors;2016-04-01T13:57:02.396Z
125;Android Apps;com.ketchapp.gravityswitch;2016-05-12T14:08:39.541Z
126;Android Apps;Hop Hop Hop;2016-04-20T08:24:36.893Z
127;Android Apps;com.ketchapp.jellyjump;2016-01-05T16:47:26.063Z
128;Android Apps;com.ketchapp.jump;2015-12-19T21:31:09.991Z
129;Android Apps;Ketchapp Basketball;2016-06-14T17:16:09.729Z
130;Android Apps;Pineapple Pen;2016-10-14T09:54:53.589Z
131;Android Apps;com.ketchapp.protecttheplanet;2016-03-16T17:23:45.093Z
132;Android Apps;com.ketchapp.sky;2016-05-02T09:39:00.410Z
133;Android Apps;Skyward;2015-12-19T21:30:59.904Z
134;Android Apps;Stack;2016-03-10T16:10:41.881Z
135;Android Apps;Stick Hero;2016-08-19T09:05:02.799Z
136;Android Apps;The Pit;2016-03-15T19:40:42.358Z
137;Android Apps;The Walking Pet;2016-05-09T14:25:56.975Z
138;Android Apps;com.ketchapp.tower;2016-02-08T20:47:15.139Z
139;Android Apps;KFC Polska;2017-02-09T16:06:58.317Z
140;Android Apps;Subway Surfers;2016-02-07T15:07:07.110Z
141;Android Apps;Little Things® Forever;2015-12-23T18:58:56.846Z
142;Android Apps;Linki puzzlerama, kropki, rury;2016-11-22T17:08:05.603Z
143;Android Apps;LW-720P FPV;2016-09-10T12:15:01.506Z
144;Android Apps;com.lge.lgsmartshare;2016-06-21T13:55:22.873Z
145;Android Apps;com.lge.tv.remoteapps;2015-12-21T20:33:43.356Z
146;Android Apps;Doodle Jump;2016-01-09T17:34:41.423Z
147;Android Apps;Lonely One : Hole-in-one;2016-05-14T10:39:36.513Z
148;Android Apps;Waldo & Friends;2016-03-17T18:01:02.597Z
149;Android Apps;Mr. Square - Create and solve ;2016-05-14T10:29:35.003Z
150;Android Apps;MalMath: Step by step solver;2016-05-15T10:38:00.126Z
151;Android Apps;com.mamau.problems;2015-12-21T18:30:00.237Z
152;Android Apps;com.mandarinagames.chunkycat;2016-08-13T14:45:44.989Z
153;Android Apps;Mekorama;2016-06-03T16:02:39.313Z
154;Android Apps;Miracast Screen Sharing/Mirror;2016-06-21T14:32:58.105Z
155;Android Apps;Smash Hit;2016-02-02T18:58:39.512Z
156;Android Apps;Ekspres Dzwonek & Mp3 Nóż;2017-01-08T13:19:11.172Z
157;Android Apps;Memorado – Gry umysłowe;2016-03-16T17:40:25.020Z
158;Android Apps;Memrise: Poznaj nowy język;2016-06-17T14:51:31.858Z
159;Android Apps;com.metroxylon.Bottle.Flip;2016-10-04T17:46:58.141Z
160;Android Apps;Photomath;2016-05-15T10:27:58.585Z
161;Android Apps;Microsoft Excel: Spreadsheets;2016-02-21T18:40:02.147Z
162;Android Apps;Microsoft PowerPoint;2016-02-21T17:38:38.206Z
163;Android Apps;Microsoft Word: Edit Documents;2016-01-04T15:31:48.013Z
164;Android Apps;How to Make Origami;2016-11-05T16:57:51.767Z
165;Android Apps;File Commander Manager & Vault;2015-12-02T21:08:29.517Z
166;Android Apps;OfficeSuite: Word, Sheets, PDF;2016-01-04T15:21:20.823Z
167;Android Apps;360 Degree;2016-03-28T18:18:48.576Z
168;Android Apps;Flippy Bottle Extreme!;2016-10-14T10:02:34.790Z
169;Android Apps;com.mrbean.around;2016-08-27T19:50:10.946Z
170;Android Apps;PAC-MAN;2016-01-18T16:50:41.082Z
171;Android Apps;Nawigacja Orange;2017-01-05T16:21:59.929Z
172;Android Apps;com.navigatoottlerock;2016-06-08T15:21:32.369Z
173;Android Apps;Netflix;2017-01-21T17:22:57.925Z
174;Android Apps;Beneath The Lighthouse;2016-03-17T17:44:27.396Z
175;Android Apps;Silly Sausage in Meat Land;2016-02-09T19:24:06.498Z
176;Android Apps;com.nitrome.sillysausagedoggydessert;2016-12-26T21:48:36.872Z
177;Android Apps;Alto's Adventure;2016-03-11T17:38:36.434Z
178;Android Apps;Happy Jump;2016-01-31T16:31:12.415Z
179;Android Apps;com.noodlecake.tryharder.free;2016-09-10T13:29:34.134Z
180;Android Apps;Przypomnienie wypij wodę;2016-03-16T17:38:01.760Z
181;Android Apps;NFC Pass;2017-01-05T16:10:15.447Z
182;Android Apps;A to B - Don’t Touch Anything;2016-04-15T15:07:57.602Z
183;Android Apps;Owl Can't Sleep!;2016-05-14T10:54:08.309Z
184;Android Apps;com.orangenose.trick;2016-09-12T19:20:37.891Z
185;Android Apps;Brain It On! - Physics Puzzles;2016-03-16T17:12:15.434Z
186;Android Apps;Picsart AI Photo Editor;2016-04-18T05:56:31.876Z
187;Android Apps;Pinterest;2016-11-13T14:47:32.632Z
188;Android Apps;LIMBO demo;2016-01-22T18:58:06.804Z
189;Android Apps;com.playmous.godoflight;2016-02-19T18:27:46.866Z
190;Android Apps;Run Sackboy! Run!;2016-02-10T21:30:21.604Z
191;Android Apps;Tłumacz PONS;2016-08-02T17:30:30.582Z
192;Android Apps;Dumb Ways to Die;2016-11-12T20:15:33.788Z
193;Android Apps;30 Dni Wyzwania Fitness;2017-01-21T17:25:09.715Z
194;Android Apps;Land Sliders;2015-12-15T16:37:36.392Z
195;Android Apps;Criminal Case;2015-12-31T20:25:25.542Z
196;Android Apps;GyroSphere Trials;2016-04-20T08:20:11.076Z
197;Android Apps;Cute Note DDay Todo;2016-10-01T19:14:24.611Z
198;Android Apps;QuizUp;2016-03-27T19:20:18.450Z
199;Android Apps;com.rainbowshell.bitebite.android;2016-12-18T17:03:25.471Z
200;Android Apps;com.rcplatform.filtergrid;2016-04-19T10:07:56.737Z
201;Android Apps;Text Fairy (OCR Text Scanner);2016-05-31T18:24:56.975Z
202;Android Apps;Jungle Adventures;2015-12-02T19:14:35.031Z
203;Android Apps;com.replayy.ytplayer;2016-12-23T21:47:18.850Z
204;Android Apps;com.rio2016.aventurasdetom;2016-08-08T17:31:49.576Z
205;Android Apps;Theme 7.X Nougat;2016-08-30T17:38:56.749Z
206;Android Apps;com.ropam.ropam_droid;2016-02-11T21:17:15.405Z
207;Android Apps;Bad Piggies;2016-02-02T19:23:25.560Z
208;Android Apps;Angry Birds Classic;2016-10-22T11:15:47.879Z
209;Android Apps;Angry Birds Rio;2015-12-04T16:25:16.559Z
210;Android Apps;AVG Protection;2016-06-21T10:58:51.378Z
211;Android Apps;AVG Cleaner Lite;2016-06-23T13:36:58.500Z
212;Android Apps;Samsung Push Service;2017-01-05T16:25:57.670Z
213;Android Apps;Tap Tap Dash;2016-02-10T17:10:33.942Z
214;Android Apps;Seen;2017-02-20T19:18:09.706Z
215;Android Apps;illi Free;2016-08-18T10:39:06.018Z
216;Android Apps;Tapety na telefon HD - Walli;2016-12-26T21:45:01.197Z
217;Android Apps;Tapet Wallpapers Generator;2016-08-01T09:50:03.984Z
218;Android Apps;Co to za piosenka ? Quiz z pio;2017-02-21T20:54:16.440Z
219;Android Apps;Logo Quiz PL;2017-01-29T07:39:37.999Z
220;Android Apps;Czółko - gra imprezowa;2016-05-05T17:52:57.257Z
221;Android Apps;com.simplicity.emoji_quiz_pl;2016-04-19T10:02:49.058Z
222;Android Apps;Zgadnij co to? gry łamigłówki;2016-02-21T15:43:50.007Z
223;Android Apps;Zgadnij co to 2 :gry word quiz;2016-05-26T06:03:19.618Z
224;Android Apps;Atomas;2016-01-04T13:52:42.673Z
225;Android Apps;Manic Market;2016-09-01T16:44:09.136Z
226;Android Apps;Skype;2015-12-12T16:36:34.508Z
227;Android Apps;Microtrip;2016-02-13T10:49:36.028Z
228;Android Apps;com.sm.popTheLock;2015-12-04T16:25:59.329Z
229;Android Apps;One More Dash;2015-12-30T14:12:56.611Z
230;Android Apps;One More Line;2016-04-20T10:28:04Z
231;Android Apps;Motion Shot;2016-04-03T14:55:39.857Z
232;Android Apps;Wiadomości od Sony：News Suite;2015-12-17T17:35:17.143Z
233;Android Apps;com.sony.smallapp.unit;2016-02-17T17:44:43.032Z
234;Android Apps;Account Manager;2016-04-21T03:20:00.603Z
235;Android Apps;Album;2016-02-06T08:02:00.036Z
236;Android Apps;Smart Connect;2016-02-10T22:26:07.353Z
237;Android Apps;Muzyka;2015-12-02T21:07:45.796Z
238;Android Apps;Klawiatura Xperia™;2016-01-15T21:33:10.662Z
239;Android Apps;TrackID™ — rozpoznaj muzykę;2016-05-08T08:26:54.977Z
240;Android Apps;Xperia Lounge;2015-12-17T17:41:18.889Z
241;Android Apps;Stylowy portret;2016-06-19T20:06:56.453Z
242;Android Apps;Timeshift burst;2016-08-01T08:30:49.730Z
243;Android Apps;Efekt AR;2015-12-02T21:12:36.322Z
244;Android Apps;Rzeczywistość rozsz. — humor;2016-02-05T21:36:33.306Z
245;Android Apps;Kreator naklejek;2015-12-12T10:04:51.748Z
246;Android Apps;Rekwizyty;2015-12-02T20:51:15.930Z
247;Android Apps;Bokeh (Rozmycie tła);2015-12-12T10:04:26.283Z
248;Android Apps;Kalendarz Xperia™;2016-08-01T18:46:59.843Z
249;Android Apps;Live on YouTube – by Xperia™;2016-08-01T08:30:37.509Z
250;Android Apps;Wskazówki Xperia™;2016-12-08T20:32:51.675Z
251;Android Apps;Xperia™ Tips;2016-12-08T20:31:53.579Z
252;Android Apps;Lifelog;2015-12-02T21:08:08.945Z
253;Android Apps;Movie Creator;2015-12-17T17:34:18.181Z
254;Android Apps;Szkic;2015-12-02T21:09:35.368Z
255;Android Apps;com.sonymobile.styleportrait.addon.cute;2016-06-19T20:05:55.563Z
256;Android Apps;com.sonymobile.styleportrait.addon.glitter;2016-09-03T14:27:00.961Z
257;Android Apps;XPERIA™ Frozen Dancing Theme;2015-12-20T20:02:51.234Z
258;Android Apps;XPERIA™ Maison Kitsune Theme;2016-02-05T10:50:08.934Z
259;Android Apps;XPERIA™ Mickey Holidays Theme;2016-02-05T10:45:07.897Z
260;Android Apps;XPERIA™ Summer Theme;2016-06-24T19:08:03.083Z
261;Android Apps;Pass;2015-12-12T19:12:16.099Z
262;Android Apps;(stara wersja) XTM;2016-08-01T08:16:26.914Z
263;Android Apps;Pogoda;2016-04-05T14:21:16.864Z
264;Android Apps;com.sonythememakernew6;2016-06-24T19:08:54.164Z
265;Android Apps;Frizzle Fraz;2016-06-15T16:05:56.872Z
266;Android Apps;BiDot;2016-04-14T16:05:12.947Z
267;Android Apps;Theme - Forest Patrol;2016-08-27T19:15:34.814Z
268;Android Apps;com.stone.mobile.timetable;2016-10-20T16:53:42.378Z
269;Android Apps;Klawiatura emotikonami Fleksy;2016-03-17T17:56:04.968Z
270;Android Apps;Good Pizza, Great Pizza;2016-05-26T05:39:55.280Z
271;Android Apps;com.teensystudios.dropletjourney;2016-03-26T16:29:22.242Z
272;Android Apps;Dropple;2016-06-19T14:54:44.853Z
273;Android Apps;Mazik;2016-06-23T14:51:10.291Z
274;Android Apps;Swiperoo;2016-06-19T16:43:49.135Z
275;Android Apps;Tumblr — fandom, sztuka, chaos;2016-09-08T16:05:07.689Z
276;Android Apps;com.turbochilli.rollingsky;2016-03-15T17:46:24.670Z
277;Android Apps;Sleep as Android: Cykl snu;2016-06-19T15:00:01.158Z
278;Android Apps;Super Phantom Cat;2016-06-25T17:38:17.548Z
279;Android Apps;Vyomy 3D Hologram Projector;2016-02-27T18:03:23.348Z
280;Android Apps;Vyomy 3D Hologram Earth & Moon;2016-02-27T18:25:33.968Z
281;Android Apps;Vyomy 3D Hologram Electrified;2016-02-27T18:52:37.171Z
282;Android Apps;SUPERIDOL;2016-06-11T05:08:45.774Z
283;Android Apps;Dots & Co: A Puzzle Adventure;2016-08-11T13:12:01.963Z
284;Android Apps;WhatsApp Messenger;2016-03-03T16:58:24Z
285;Android Apps;com.yellowmonkeystudios.socioball;2015-12-04T17:55:11.375Z
286;Android Apps;Crossy Road;2016-01-27T17:13:49.776Z
287;Android Apps;Cut the Rope;2015-12-28T15:28:28.163Z
288;Android Apps;Cut the Rope 2;2016-06-23T14:56:01.940Z
289;Android Apps;Cut the Rope: Experiments;2015-12-30T15:58:52.032Z
290;Android Apps;Cut the Rope: Magic;2015-12-20T20:06:45.995Z
291;Android Apps;Pudding Monsters;2016-02-19T18:28:33.325Z
292;Android Apps;King of Thieves;2016-05-26T06:11:39.162Z
293;Android Apps;Meme Generator;2016-04-10T17:08:11.838Z
294;Android Apps;Looney Tunes Dash!;2016-05-14T16:24:52.093Z
295;Android Apps;coolcherrytrees.games.reactor;2015-12-31T19:06:10.401Z
296;Android Apps;de.blackpants.blownaway;2016-05-09T14:39:11.951Z
297;Android Apps;Okay?;2015-12-29T13:53:35.021Z
298;Android Apps;Wystarczy DIY;2016-08-18T14:16:18.006Z
299;Android Apps;The Silent Age;2016-01-22T18:59:06.685Z
300;Android Apps;Stars Path;2016-01-04T13:49:12.726Z
301;Android Apps;Twins;2016-04-09T16:20:03.613Z
302;Android Apps;Food Quiz;2016-04-03T15:36:58.160Z
303;Android Apps;gabumba.tupsu.android;2016-01-23T17:47:38.387Z
304;Android Apps;2048;2015-12-04T17:46:23.086Z
305;Android Apps;Memory Card Preview;2016-12-17T15:54:11.671Z
306;Android Apps;Brain Dots;2015-12-04T17:54:58.706Z
307;Android Apps;Pixel Rooms -room escape game-;2016-12-10T14:14:47.734Z
308;Android Apps;LINE Camera - Photo editor;2016-03-27T19:19:30.819Z
309;Android Apps;TransPlan;2016-03-16T17:19:41.145Z
310;Android Apps;JellyKing : Rule The World;2016-07-31T19:31:21.135Z
311;Android Apps;Kątomierz : Smart Protractor;2016-03-02T05:35:09.846Z
312;Android Apps;Logo Quiz;2015-12-12T15:08:05.066Z
313;Android Apps;Pou;2016-12-29T18:13:10.227Z
314;Android Apps;QRbot: czytnik kodów QR;2016-09-10T12:14:17.574Z
315;Android Apps;no.statnett.balanse;2016-09-16T15:45:26.349Z
316;Android Apps;Kalkulator równań;2016-05-15T10:34:05.256Z
317;Android Apps;Firefox prywatna przeglądarka;2016-02-10T09:06:21.310Z
318;Android Apps;Quiz & Go;2016-12-31T15:54:40.654Z
319;Android Apps;Allegro: zakupy online;2016-10-10T17:55:49.948Z
320;Android Apps;pl.damianpiwowarski.navbarapps;2017-01-22T14:14:10.945Z
321;Android Apps;e-Dziennik & Synergia;2016-09-01T12:11:47.507Z
322;Android Apps;Darmowa Bramka SMS;2015-12-30T11:11:23.070Z
323;Android Apps;sameQuizy;2016-03-11T17:51:25.325Z
324;Android Apps;MULTIteka GWO;2016-09-02T13:51:12.345Z
325;Android Apps;Dla Szpanu;2016-07-28T19:33:54.179Z
326;Android Apps;Milionerzy po polsku;2017-02-20T19:15:04.800Z
327;Android Apps;Librus;2016-10-10T17:51:44.895Z
328;Android Apps;TVP Stream;2016-06-30T19:13:10.533Z
329;Android Apps;pl.macaque.Missiles;2016-06-24T16:36:54.409Z
330;Android Apps;Hungry Bunny;2016-11-27T20:15:11.952Z
331;Android Apps;Wisielec;2015-12-31T19:09:05.925Z
332;Android Apps;moBILET;2015-12-21T19:58:25.772Z
333;Android Apps;Poziomica Galaxy;2017-02-11T17:20:47.624Z
334;Android Apps;Yanosik: antyradar i nawigacja;2016-06-30T02:26:35.561Z
335;Android Apps;Muzyka Tu i Tam;2017-01-05T16:17:19.723Z
336;Android Apps;pl.paliwko;2015-12-31T14:12:51.394Z
337;Android Apps;PAYBACK PL Orange;2017-01-05T16:18:54.143Z
338;Android Apps;Pola. Zabierz ją na zakupy;2016-04-18T09:46:25.700Z
339;Android Apps;Słowotok;2016-10-20T17:08:41.885Z
340;Android Apps;GYRO;2016-04-14T16:33:43.170Z
341;Android Apps;McDonald’s Polska;2016-01-28T19:08:38.661Z
342;Android Apps;Klub Virgin Mobile;2016-02-07T18:55:34.220Z
343;Android Apps;pl.wyznajemy;2017-02-01T14:20:55.832Z
344;Android Apps;ZSZYWKA;2016-05-07T09:02:37.543Z
345;Android Apps;Natural Scientific Calculator;2016-05-05T17:51:09.915Z
346;Android Apps;That level again 2;2015-12-16T15:23:34.644Z
347;Android Apps;That Level Again 3;2016-06-07T13:57:17.835Z
348;Android Apps;LG webOS Connect;2016-06-21T14:33:55.767Z
349;Android Apps;XPERIA™ Triflat Theme;2016-04-05T14:22:37.264Z
350;Android Apps;WordBrain;2015-12-12T13:52:00.620Z
351;Android Apps;QR Code Reader;2016-10-09T16:23:01.991Z
352;Android Apps;universal.extended.remote.tv;2015-12-05T19:47:48.399Z
353;Android Apps;Bank Millennium;2015-12-27T11:41:06.711Z
354;Newpaper Issue;Antyweb;2015-12-19T13:30:55.554Z
355;Newpaper Issue;500px;2015-12-19T13:30:54.668Z
356;Newpaper Issue;Kozaczek.pl;2015-12-19T13:30:52.310Z
357;Newpaper Issue;Spider's Web;2015-12-19T13:30:51.381Z
358;Newpaper Issue;Cosmopolitan.pl;2015-12-19T13:30:56.475Z
359;Newpaper Issue;Wprost.pl;2015-12-19T13:30:54.146Z
360;Newpaper Issue;GazetaPrawna.pl;2015-12-19T13:30:53.518Z
361;Android Apps;Time-Lapse Creator;2017-03-18T12:23:21.701Z
362;Android Apps;Camera MX - Photo&Video Camera;2017-03-18T12:32:40.703Z
363;Android Apps;Tricky Test: Get smart;2017-03-22T20:15:56.162Z
364;Android Apps;Instant Apps;2017-03-31T18:48:17.405Z
365;Android Apps;pl.operon.gramizdam.gimnazjum;2017-04-03T19:30:34.727Z
366;Android Apps;Wickr Me – Private Messenger;2017-04-12T14:42:32.406Z
367;Android Apps;TikTok;2017-04-12T17:04:01.993Z
368;Android Apps;Apple Music;2017-04-13T13:01:12.930Z
369;Android Apps;8Bit Photo Lab, Retro Effects;2017-05-13T06:40:30.791Z
370;Android Apps;Znam znaki drogowe;2017-06-11T16:41:31.573Z
371;Android Apps;Rage Faces for Messenger;2017-06-27T17:18:00.900Z
372;Android Apps;Disney Gif;2017-06-29T22:39:13.384Z
373;Android Apps;GIF Keyboard by Tenor;2017-06-29T23:16:28.721Z
374;Android Apps;GIF Maker  - GIF Editor;2017-06-30T19:07:12.716Z
375;Android Apps;5050 Split Up!;2017-07-09T20:11:15.254Z
376;Android Apps;9GAG: Funny GIF, Meme & Video;2017-07-09T20:12:52.341Z
377;Android Apps;Spot it - A card game to chall;2017-07-10T15:24:11.442Z
378;Android Apps;hk.com.holatech.saltysalt;2017-07-11T09:57:05.307Z
379;Android Apps;USB type C Simulator;2017-07-11T09:58:01.619Z
380;Android Apps;I Know that Song;2017-07-12T17:08:47.585Z
381;Android Apps;Snake VS Block;2017-07-13T08:12:20.701Z
382;Android Apps;The Floor Is Lava;2017-07-13T08:13:21.907Z
383;Android Apps;Aquavias – Water Flow Puzzle;2017-07-13T09:40:25.346Z
384;Android Apps;com.nanovationlabs.colortrailandroid;2017-07-13T09:40:58.951Z
385;Android Apps;Gry dla 2 graczy;2017-07-13T09:42:00.003Z
