;documentType;title;firstInstallationTime;lastUpdateTime;model;carrier;manufacturer;deviceDisplayName
118;Android Apps;ANT Radio Service;2021-03-31T18:37:11.988537Z;2021-04-01T13:29:55.470023Z;;;;
119;Android Apps;ANT Radio Service;2020-03-01T08:25:16.753Z;2020-08-17T19:41:44.445Z;;;;
120;Android Apps;ANT Radio Service;2019-07-22T19:18:40.875Z;2020-07-30T07:59:40.930Z;;;;
121;Android Apps;ANT Radio Service;2019-07-20T11:28:24.484Z;2019-07-20T11:28:24.681855Z;;;;
122;Android Apps;Ucz się języków z Duolingo;2023-11-08T03:33:04.489790Z;2023-12-16T19:50:40.188670Z;RMX3081;No carrier;realme;realme RMX3081
123;Android Apps;SimCity BuildIt;2020-03-01T08:25:16.753Z;2020-09-15T10:10:11.224455Z;;;;
124;Android Apps;Nonogram.com - Łamigłówki;2021-03-31T20:14:58.156772Z;2021-04-12T17:12:37.805179Z;;;;
125;Android Apps;Nonogram.com - Łamigłówki;2020-11-22T12:23:53.223267Z;2021-03-24T15:34:17.017613Z;;;;
126;Android Apps;eBay – kupuj i oszczędzaj;2021-04-13T10:07:36.588590Z;2023-12-16T19:46:51.423886Z;RMX3081;No carrier;realme;realme RMX3081
127;Android Apps;eBay – kupuj i oszczędzaj;2021-03-31T20:17:05.469622Z;2021-04-08T14:17:40.485301Z;;;;
128;Android Apps;eBay – kupuj i oszczędzaj;2020-10-29T20:56:15.647642Z;2021-03-30T12:20:02.235592Z;;;;
129;Android Apps;Edifier Connect;2023-08-31T10:32:22.411394Z;2023-09-23T20:11:32.048922Z;RMX3081;No carrier;realme;realme RMX3081
130;Android Apps;Temu: Shop Like a Billionaire;2023-08-29T09:24:29.825703Z;2023-12-12T22:15:37.821634Z;RMX3081;No carrier;realme;realme RMX3081
131;Android Apps;SchemataCAD viewer DWG/DXF;2021-03-31T20:37:47.974381Z;2021-03-31T20:37:47.974381Z;;;;
132;Android Apps;SchemataCAD viewer DWG/DXF;2019-08-18T17:37:29.563Z;2020-09-06T17:53:04.335738Z;;;;
133;Android Apps;Empik - udane zakupy;2021-04-13T10:07:36.588590Z;2023-11-26T19:35:26.997868Z;RMX3081;No carrier;realme;realme RMX3081
134;Android Apps;Empik - udane zakupy;2023-09-20T10:57:24.438788Z;2023-10-24T07:12:27.237805Z;SM-T733;No carrier;samsung;samsung SM-T733
135;Android Apps;Empik - udane zakupy;2021-03-31T20:31:13.827249Z;2021-04-04T18:10:25.042825Z;;;;
136;Android Apps;Empik - udane zakupy;2019-07-24T08:01:05.004Z;2021-03-30T12:51:53.803403Z;;;;
137;Android Apps;Empik Go - audiobooki i ebooki;2021-03-31T20:20:14.182889Z;2021-04-02T20:13:25.453180Z;;;;
138;Android Apps;Empik Go - audiobooki i ebooki;2020-04-13T10:43:00.854Z;2021-03-29T12:11:29.774738Z;;;;
139;Android Apps;Empik Go - audiobooki i ebooki;2020-04-13T18:02:32.328Z;2020-10-26T13:23:21.594844Z;;;;
140;Android Apps;Epson Print Enabler;2019-08-29T07:57:32.629Z;2021-03-04T21:42:10.883771Z;;;;
141;Android Apps;Delikatesy Centrum;2021-03-31T20:26:47.698748Z;2021-03-31T20:26:47.698748Z;;;;
142;Android Apps;Delikatesy Centrum;2021-02-06T16:49:24.849271Z;2021-03-18T15:50:16.314782Z;;;;
143;Android Apps;Facebook;2023-11-04T10:52:59.196496Z;2023-12-17T13:46:33.562974Z;RMX3081;No carrier;realme;realme RMX3081
144;Android Apps;Facebook;2021-03-31T18:37:11.988537Z;2021-04-09T12:33:06.457920Z;;;;
145;Android Apps;Facebook;2019-07-22T19:18:40.875Z;2021-03-27T17:31:34.446057Z;;;;
146;Android Apps;Facebook;2020-03-01T08:25:16.753Z;2020-10-26T13:24:06.983332Z;;;;
147;Android Apps;Facebook;2019-07-20T11:28:24.484Z;2019-07-20T11:28:24.681855Z;;;;
148;Android Apps;Messenger;2021-04-13T10:07:36.588590Z;2023-12-09T09:15:10.738480Z;RMX3081;No carrier;realme;realme RMX3081
149;Android Apps;Messenger;2023-08-03T05:36:11.126386Z;2023-12-07T07:34:33.603803Z;SM-T733;No carrier;samsung;samsung SM-T733
150;Android Apps;Messenger;2022-03-04T20:35:27.487900Z;2023-08-05T01:17:05.736587Z;;;;
151;Android Apps;Messenger;2021-03-31T20:36:35.338418Z;2021-04-11T12:19:08.599657Z;;;;
152;Android Apps;Messenger;2021-03-01T12:52:38.781739Z;2021-03-27T18:33:26.906210Z;;;;
153;Android Apps;Messenger;2020-03-01T08:25:16.753Z;2020-09-25T21:43:01.099217Z;;;;
154;Android Apps;Namioty i drzewa – łamigłówki;2021-04-13T10:07:36.588590Z;2023-12-16T19:48:15.028259Z;RMX3081;No carrier;realme;realme RMX3081
155;Android Apps;Namioty i drzewa – łamigłówki;2021-03-31T20:18:22.834759Z;2021-03-31T20:18:22.834759Z;;;;
156;Android Apps;Namioty i drzewa – łamigłówki;2019-07-24T11:21:55.676Z;2021-03-07T22:20:15.314808Z;;;;
157;Android Apps;Words Of Wonders: Połącz Słowa;2021-03-31T20:25:23.126464Z;2021-04-04T18:04:59.936276Z;;;;
158;Android Apps;Words Of Wonders: Połącz Słowa;2019-07-25T07:22:40.989Z;2021-03-27T17:18:24.513634Z;;;;
159;Android Apps;Wiejskie Życie;2020-03-01T08:25:16.753Z;2020-10-26T13:32:18.632856Z;;;;
160;Android Apps;Mystery Manor: hidden objects;2021-03-31T20:13:39.715749Z;2021-04-03T21:07:02.618288Z;;;;
161;Android Apps;Mystery Manor: hidden objects;2019-12-21T07:15:51.034Z;2021-03-30T12:12:06.862929Z;;;;
162;Android Apps;Perfect Piano;2021-03-31T20:22:09.154649Z;2021-04-09T19:19:51.644296Z;;;;
163;Android Apps;Perfect Piano;2020-12-29T18:56:02.445345Z;2020-12-29T18:56:02.445345Z;;;;
164;Android Apps;Mahjong Club – gra logiczna;2023-07-02T07:06:05.561908Z;2023-11-24T23:02:48.909053Z;RMX3081;No carrier;realme;realme RMX3081
165;Android Apps;Blix - Gazetki Promocyjne;2021-03-31T20:24:04.235763Z;2021-04-07T20:08:01.610793Z;;;;
166;Android Apps;Blix - Gazetki Promocyjne;2020-10-25T17:42:48.042412Z;2021-03-27T17:38:01.386224Z;;;;
167;Android Apps;Flagi;2020-03-01T08:25:16.753Z;2020-08-17T19:18:58.686Z;;;;
168;Android Apps;GIF Maker - GIF Editor;2021-03-31T20:26:47.698748Z;2021-03-31T20:26:47.698748Z;;;;
169;Android Apps;GIF Maker - GIF Editor;2020-04-17T21:03:50.889Z;2020-11-10T10:45:47.675953Z;;;;
170;Android Apps;GitHub;2021-04-13T10:07:36.588590Z;2023-12-17T19:33:41.359125Z;RMX3081;No carrier;realme;realme RMX3081
171;Android Apps;GitHub;2021-03-31T20:26:47.698748Z;2021-04-04T15:29:24.751364Z;;;;
172;Android Apps;GitHub;2020-10-08T08:02:17.496958Z;2021-03-21T12:49:21.982352Z;;;;
173;Android Apps;Glovo－dostawa jedzenie i inne;2021-04-13T10:07:36.588590Z;2023-12-16T10:39:09.062884Z;RMX3081;No carrier;realme;realme RMX3081
174;Android Apps;Glovo－dostawa jedzenie i inne;2021-03-31T20:30:01.803074Z;2021-04-09T19:42:20.772160Z;;;;
175;Android Apps;Glovo－dostawa jedzenie i inne;2020-04-13T09:41:55.047Z;2021-03-27T18:36:28.527309Z;;;;
176;Android Apps;Wzmacniacz dźwięku;2021-04-13T09:06:34.949584Z;2023-08-30T20:45:32.438404Z;RMX3081;No carrier;realme;realme RMX3081
177;Android Apps;Google Wi-Fi Provisioner;2023-08-02T05:38:05.073916Z;2023-09-25T06:42:30.612375Z;SM-T733;No carrier;samsung;samsung SM-T733
178;Android Apps;Google Wi-Fi Provisioner;2022-02-25T17:34:03.844894Z;2023-07-19T20:55:17.362349Z;;;;
179;Android Apps;Google Home;2022-12-22T16:33:40.565963Z;2023-12-09T13:07:30.578745Z;RMX3081;No carrier;realme;realme RMX3081
180;Android Apps;Google Classroom;2021-03-31T20:30:38.321587Z;2021-04-04T18:09:30.793736Z;;;;
181;Android Apps;Google Classroom;2020-03-17T09:26:09.633Z;2021-03-06T09:08:11.976044Z;;;;
182;Android Apps;Google Classroom;2020-03-27T11:03:47.308Z;2020-09-12T20:46:39.311158Z;;;;
183;Android Apps;Dysk Google;2023-08-02T05:38:05.073916Z;2023-12-11T14:22:31.083993Z;SM-T733;No carrier;samsung;samsung SM-T733
184;Android Apps;Dysk Google;2021-04-13T09:07:51.717267Z;2023-12-10T20:27:39.374636Z;RMX3081;No carrier;realme;realme RMX3081
185;Android Apps;Dysk Google;2022-02-25T17:35:25.606581Z;2023-08-05T01:18:52.186113Z;;;;
186;Android Apps;Dysk Google;2021-03-31T18:37:11.988537Z;2021-04-06T08:27:22.483388Z;;;;
187;Android Apps;Dysk Google;2019-07-22T19:18:40.875Z;2021-03-26T14:51:07.760858Z;;;;
188;Android Apps;Dysk Google;2020-03-01T08:25:16.753Z;2020-09-26T20:13:04.466173Z;;;;
189;Android Apps;Dysk Google;2019-07-20T11:28:24.484Z;2019-07-20T11:28:24.681855Z;;;;
190;Android Apps;Dokumenty Google;2022-09-15T11:41:35.097090Z;2023-12-18T19:42:51.596366Z;RMX3081;No carrier;realme;realme RMX3081
191;Android Apps;Dokumenty Google;2023-08-03T05:40:12.793652Z;2023-12-11T14:22:31.083993Z;SM-T733;No carrier;samsung;samsung SM-T733
192;Android Apps;Dokumenty Google;2022-10-06T14:26:50.469413Z;2023-07-19T20:55:17.362349Z;;;;
193;Android Apps;Dokumenty Google;2020-03-01T08:25:16.753Z;2020-10-07T10:49:16.965860Z;;;;
194;Android Apps;Arkusze Google;2021-04-13T10:07:36.588590Z;2023-11-30T19:21:49.506505Z;RMX3081;No carrier;realme;realme RMX3081
195;Android Apps;Arkusze Google;2023-08-03T05:40:12.793652Z;2023-09-15T09:14:56.082632Z;SM-T733;No carrier;samsung;samsung SM-T733
196;Android Apps;Arkusze Google;2022-10-04T09:03:13.436681Z;2023-07-19T20:55:17.362349Z;;;;
197;Android Apps;Arkusze Google;2021-03-31T20:38:26.926406Z;2021-04-06T08:32:57.232082Z;;;;
198;Android Apps;Arkusze Google;2019-09-17T16:50:30.922Z;2021-03-27T08:30:55.698949Z;;;;
199;Android Apps;Asystent Google;2021-04-13T09:06:34.949584Z;2023-12-07T21:42:31.435609Z;RMX3081;No carrier;realme;realme RMX3081
200;Android Apps;Jamboard;2023-08-03T05:40:12.793652Z;2023-12-11T14:20:56.866983Z;SM-T733;No carrier;samsung;samsung SM-T733
201;Android Apps;Jamboard;2022-11-29T07:46:39.735049Z;2023-07-19T20:55:17.362349Z;;;;
202;Android Apps;Wiadomości Google;2021-04-13T09:07:51.717267Z;2023-12-09T12:42:13.521851Z;RMX3081;No carrier;realme;realme RMX3081
203;Android Apps;Mapy Google;2021-04-13T09:06:34.949584Z;2023-12-17T12:35:20.690412Z;RMX3081;No carrier;realme;realme RMX3081
204;Android Apps;Mapy Google;2023-08-02T05:38:05.073916Z;2023-11-23T01:08:41.306117Z;SM-T733;No carrier;samsung;samsung SM-T733
205;Android Apps;Mapy Google;2022-02-25T17:34:03.844894Z;2023-08-04T19:12:41.259889Z;;;;
206;Android Apps;Mapy Google;2021-03-31T18:37:11.988537Z;2021-04-07T19:54:44.278361Z;;;;
207;Android Apps;Mapy Google;2020-05-21T14:01:24.935Z;2021-03-26T10:45:57.701380Z;;;;
208;Android Apps;Mapy Google;2020-03-01T08:25:16.753Z;2020-09-25T21:33:57.755909Z;;;;
209;Android Apps;Mapy Google;2019-07-20T11:28:24.484Z;2019-07-20T11:28:24.681855Z;;;;
210;Android Apps;Google Meet (original);2021-04-13T10:07:36.588590Z;2023-12-08T20:38:17.658058Z;RMX3081;No carrier;realme;realme RMX3081
211;Android Apps;Google Meet (original);2021-03-31T20:26:06.449352Z;2021-04-08T14:19:37.781785Z;;;;
212;Android Apps;Google Meet (original);2020-04-24T07:15:05.598Z;2021-03-18T13:05:15.187766Z;;;;
