# index, name, nodeLabel, nodeLat, nodeLong, _pos
203,hammersmith(h&cline),hammersmith(h&cline),51.493483379174,-0.22462575515926,"array([1.6562362, 7.4498119])"
204,shepherdsbushmarket,shepherdsbushmarket,51.505880735504,-0.22738608723774,"array([1.68386799, 7.42003465])"
205,goodgestreet,goodgestreet,51.520613125487,-0.13479327927061,"array([1.76470165, 7.16885393])"
206,tottenhamcourtroad,tottenhamcourtroad,51.51621088565,-0.13109602942553,"array([1.77764393, 7.15275691])"
207,gospeloak,gospeloak,51.555405311264,-0.15128661069808,"array([1.64707036, 7.21852735])"
208,kentishtownwest,kentishtownwest,51.546547987029,-0.14674199079293,"array([1.64352202, 7.19437006])"
209,upperholloway,upperholloway,51.563623319983,-0.12909493917319,"array([1.61690708, 7.19668679])"
210,grangehill,grangehill,51.613480413753,0.092286969949084,"array([1.51132312, 6.69235012])"
211,greenford,greenford,51.541980112836,-0.34586432267848,"array([2.14179628, 7.34618084])"
212,perivale,perivale,51.536341860358,-0.32305600630537,"array([2.11474403, 7.34447217])"
213,piccadillycircus,piccadillycircus,51.509696764476,-0.13369718974012,"array([1.80813778, 7.15284948])"
214,westminster,westminster,51.501401606172,-0.12498767440679,"array([1.83141676, 7.11282267])"
215,gunnersbury,gunnersbury,51.491863444709,-0.27514973411264,"array([1.97916911, 7.3756946 ])"
216,southacton,southacton,51.499685861011,-0.27020080333496,"array([1.95106522, 7.36313905])"
217,homerton,homerton,51.546595450822,-0.038497927971748,"array([1.64829233, 6.95928328])"
218,hackneywick,hackneywick,51.543558409072,-0.025245084630728,"array([1.65609994, 6.92351123])"
219,stratford,stratford,51.541692579295,-0.0037372234417709,"array([1.66879828, 6.8875987 ])"
220,hoxton,hoxton,51.531391621283,-0.075571232880956,"array([1.69506987, 7.00647786])"
221,hammersmith(dist&piccline),hammersmith(dist&piccline),51.491819802914,-0.22284652701972,"array([1.99693723, 7.33310128])"
222,hangerlane,hangerlane,51.530072069094,-0.29298173181915,"array([2.08555663, 7.34320356])"
223,northacton,northacton,51.523432458806,-0.25971511616691,"array([2.05330943, 7.34324497])"
224,harlesden,harlesden,51.536258358843,-0.25748125850322,"array([1.88942417, 7.35667157])"
225,stonebridgepark,stonebridgepark,51.54398658738,-0.27538602336732,"array([1.88318608, 7.38232272])"
226,southtottenham,southtottenham,51.580402594532,-0.071841526783666,"array([1.55806719, 7.11234535])"
227,harrow&wealdstone,harrow&wealdstone,51.592594673236,-0.33423825163137,"array([1.82681025, 7.48521684])"
228,headstonelane,headstonelane,51.602499669538,-0.35689307782418,"array([1.80713233, 7.50821969])"
229,kenton,kenton,51.581496322037,-0.31520243664979,"array([1.8420107 , 7.46817617])"
230,harrow-on-the-hill,harrow-on-the-hill,51.579388159582,-0.33698708805734,"array([1.84039293, 7.50220968])"
231,northwickpark,northwickpark,51.5785087266,-0.31818496289702,"array([1.81846208, 7.45676324])"
232,westharrow,westharrow,51.578924280955,-0.35383226807134,"array([1.87120912, 7.52251005])"
233,hatchend,hatchend,51.609828548789,-0.36916434211502,"array([1.78939165, 7.52952694])"
234,hattoncross,hattoncross,51.466685355642,-0.42336616986103,"array([2.22222318, 7.54260779])"
235,heathrowterminal4,heathrowterminal4,51.45978048411,-0.44771519861354,"array([2.22774067, 7.55887572])"
236,hounslowwest,hounslowwest,51.473105762632,-0.38569323300198,"array([2.20351818, 7.52830641])"
237,heathrowterminals123,heathrowterminals123,51.47128945567,-0.45239283063262,"array([2.2410996 , 7.55143201])"
238,heathrowterminal5,heathrowterminal5,51.470025485584,-0.49063310869077,"array([2.25828218, 7.55847189])"
