"date","suma_kumulacyjna","typ","app","person"
2017-10-17,200402,"wszystkie","mg","a"
2017-10-18,200641,"wszystkie","mg","a"
2017-10-19,200743,"wszystkie","mg","a"
2017-10-20,200759,"wszystkie","mg","a"
2017-10-21,200862,"wszystkie","mg","a"
2017-10-22,200995,"wszystkie","mg","a"
2017-10-23,201136,"wszystkie","mg","a"
2017-10-24,201232,"wszystkie","mg","a"
2017-10-25,201456,"wszystkie","mg","a"
2017-10-26,201950,"wszystkie","mg","a"
2017-10-27,202320,"wszystkie","mg","a"
2017-10-28,202838,"wszystkie","mg","a"
2017-10-29,203266,"wszystkie","mg","a"
2017-10-30,203544,"wszystkie","mg","a"
2017-10-31,203666,"wszystkie","mg","a"
2017-11-01,203833,"wszystkie","mg","a"
2017-11-02,204561,"wszystkie","mg","a"
2017-11-03,204772,"wszystkie","mg","a"
2017-11-04,204809,"wszystkie","mg","a"
2017-11-05,204977,"wszystkie","mg","a"
2017-11-06,205112,"wszystkie","mg","a"
2017-11-07,205186,"wszystkie","mg","a"
2017-11-08,205303,"wszystkie","mg","a"
2017-11-09,205343,"wszystkie","mg","a"
2017-11-10,205403,"wszystkie","mg","a"
2017-11-11,205438,"wszystkie","mg","a"
2017-11-12,205633,"wszystkie","mg","a"
2017-11-13,205768,"wszystkie","mg","a"
2017-11-14,205953,"wszystkie","mg","a"
2017-11-15,206052,"wszystkie","mg","a"
2017-11-16,206181,"wszystkie","mg","a"
2017-11-17,206246,"wszystkie","mg","a"
2017-11-18,206392,"wszystkie","mg","a"
2017-11-19,206656,"wszystkie","mg","a"
2017-11-20,207107,"wszystkie","mg","a"
2017-11-21,207311,"wszystkie","mg","a"
2017-11-22,207390,"wszystkie","mg","a"
2017-11-23,207614,"wszystkie","mg","a"
2017-11-24,207708,"wszystkie","mg","a"
2017-11-25,207866,"wszystkie","mg","a"
2017-11-26,208050,"wszystkie","mg","a"
2017-11-27,208376,"wszystkie","mg","a"
2017-11-28,208573,"wszystkie","mg","a"
2017-11-29,208629,"wszystkie","mg","a"
2017-11-30,208712,"wszystkie","mg","a"
2017-12-01,208762,"wszystkie","mg","a"
2017-12-02,209034,"wszystkie","mg","a"
2017-12-03,209445,"wszystkie","mg","a"
2017-12-04,209757,"wszystkie","mg","a"
2017-12-05,210199,"wszystkie","mg","a"
2017-12-06,210307,"wszystkie","mg","a"
2017-12-07,210521,"wszystkie","mg","a"
2017-12-08,210729,"wszystkie","mg","a"
2017-12-09,210836,"wszystkie","mg","a"
2017-12-10,210899,"wszystkie","mg","a"
2017-12-11,211103,"wszystkie","mg","a"
2017-12-12,211459,"wszystkie","mg","a"
2017-12-13,211950,"wszystkie","mg","a"
2017-12-14,212341,"wszystkie","mg","a"
2017-12-15,212475,"wszystkie","mg","a"
2017-12-16,212527,"wszystkie","mg","a"
2017-12-17,212694,"wszystkie","mg","a"
2017-12-18,213126,"wszystkie","mg","a"
2017-12-19,213370,"wszystkie","mg","a"
2017-12-20,213619,"wszystkie","mg","a"
2017-12-21,213787,"wszystkie","mg","a"
2017-12-22,213930,"wszystkie","mg","a"
2017-12-23,214018,"wszystkie","mg","a"
2017-12-24,214147,"wszystkie","mg","a"
2017-12-25,214232,"wszystkie","mg","a"
2017-12-26,214599,"wszystkie","mg","a"
2017-12-27,214610,"wszystkie","mg","a"
2017-12-28,214693,"wszystkie","mg","a"
2017-12-29,214715,"wszystkie","mg","a"
2017-12-30,214736,"wszystkie","mg","a"
2017-12-31,214803,"wszystkie","mg","a"
2018-01-01,215216,"wszystkie","mg","a"
2018-01-02,215352,"wszystkie","mg","a"
2018-01-03,215714,"wszystkie","mg","a"
2018-01-04,216035,"wszystkie","mg","a"
2018-01-05,216233,"wszystkie","mg","a"
2018-01-06,216267,"wszystkie","mg","a"
2018-01-07,216515,"wszystkie","mg","a"
2018-01-08,216846,"wszystkie","mg","a"
2018-01-09,217089,"wszystkie","mg","a"
2018-01-10,217622,"wszystkie","mg","a"
2018-01-11,217805,"wszystkie","mg","a"
2018-01-12,217947,"wszystkie","mg","a"
2018-01-13,218123,"wszystkie","mg","a"
2018-01-14,218178,"wszystkie","mg","a"
2018-01-15,218194,"wszystkie","mg","a"
2018-01-16,218348,"wszystkie","mg","a"
2018-01-17,218388,"wszystkie","mg","a"
2018-01-18,218435,"wszystkie","mg","a"
2018-01-19,218685,"wszystkie","mg","a"
2018-01-20,218763,"wszystkie","mg","a"
2018-01-21,218970,"wszystkie","mg","a"
2018-01-22,219098,"wszystkie","mg","a"
2018-01-23,219192,"wszystkie","mg","a"
2018-01-24,219529,"wszystkie","mg","a"
2018-01-25,219562,"wszystkie","mg","a"
2018-01-26,219639,"wszystkie","mg","a"
2018-01-27,219929,"wszystkie","mg","a"
2018-01-28,220279,"wszystkie","mg","a"
2018-01-29,220362,"wszystkie","mg","a"
2018-01-30,220752,"wszystkie","mg","a"
2018-01-31,221021,"wszystkie","mg","a"
2018-02-01,221539,"wszystkie","mg","a"
2018-02-02,221621,"wszystkie","mg","a"
2018-02-03,221634,"wszystkie","mg","a"
2018-02-04,221780,"wszystkie","mg","a"
2018-02-05,222029,"wszystkie","mg","a"
2018-02-06,222081,"wszystkie","mg","a"
2018-02-07,222608,"wszystkie","mg","a"
2018-02-08,222814,"wszystkie","mg","a"
2018-02-09,222869,"wszystkie","mg","a"
2018-02-10,223062,"wszystkie","mg","a"
2018-02-11,223173,"wszystkie","mg","a"
2018-02-12,223229,"wszystkie","mg","a"
2018-02-13,223282,"wszystkie","mg","a"
2018-02-14,223446,"wszystkie","mg","a"
2018-02-15,223591,"wszystkie","mg","a"
2018-02-16,223673,"wszystkie","mg","a"
2018-02-17,223796,"wszystkie","mg","a"
2018-02-18,223850,"wszystkie","mg","a"
2018-02-19,223871,"wszystkie","mg","a"
2018-02-20,224080,"wszystkie","mg","a"
2018-02-21,224264,"wszystkie","mg","a"
2018-02-22,224418,"wszystkie","mg","a"
2018-02-23,224595,"wszystkie","mg","a"
2018-02-24,224635,"wszystkie","mg","a"
2018-02-25,224895,"wszystkie","mg","a"
2018-02-26,225009,"wszystkie","mg","a"
2018-02-27,225064,"wszystkie","mg","a"
2018-02-28,225114,"wszystkie","mg","a"
2018-03-01,225145,"wszystkie","mg","a"
2018-03-02,225157,"wszystkie","mg","a"
2018-03-03,225299,"wszystkie","mg","a"
2018-03-04,225339,"wszystkie","mg","a"
2018-03-05,225378,"wszystkie","mg","a"
2018-03-06,225428,"wszystkie","mg","a"
2018-03-07,225437,"wszystkie","mg","a"
2018-03-08,225572,"wszystkie","mg","a"
2018-03-09,225703,"wszystkie","mg","a"
2018-03-10,225823,"wszystkie","mg","a"
2018-03-11,225940,"wszystkie","mg","a"
2018-03-12,225962,"wszystkie","mg","a"
2018-03-13,225980,"wszystkie","mg","a"
2018-03-14,226003,"wszystkie","mg","a"
2018-03-15,226039,"wszystkie","mg","a"
2018-03-16,226090,"wszystkie","mg","a"
2018-03-17,226132,"wszystkie","mg","a"
2018-03-18,226205,"wszystkie","mg","a"
2018-03-19,226260,"wszystkie","mg","a"
2018-03-20,226353,"wszystkie","mg","a"
2018-03-21,226430,"wszystkie","mg","a"
2018-03-22,226641,"wszystkie","mg","a"
2018-03-23,226827,"wszystkie","mg","a"
2018-03-24,226909,"wszystkie","mg","a"
2018-03-25,227419,"wszystkie","mg","a"
