Country Name;Country Code;Indicator Name;Indicator Code;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Armenia;ARM;GDP per capita (current US$);NY.GDP.PCAP.CD;1608.16340888544;2109.5263849698;3064.27996076935;3908.94905676792;2917.36624501531;3143.02948216523;3462.6817742332;3643.71540446926;3833.15707143416;4017.22991251531;3666.14182536082;3679.95234910427;4041.99507231389;4391.92327364082;4828.50488860645;4505.86774552638;4966.51347122366;7014.20659172274
American Samoa;ASM;GDP per capita (current US$);NY.GDP.PCAP.CD;8733.01428721137;8673.92719531291;9187.16634446553;10019.502245442;12191.5977314597;10446.8632062572;10495.3047320935;11920.0610903131;12038.8715916596;12313.9973571825;13101.5418159165;13300.8246114811;12372.8847825647;13195.9358995539;13672.576657298;15501.5263374397;15743.3107582991;
Antigua and Barbuda;ATG;GDP per capita (current US$);NY.GDP.PCAP.CD;12808.0101536637;14310.6862347854;16006.1361107498;16457.1040632589;14530.5986896353;13404.5160161036;13117.1469408968;13686.4765853976;13350.149136673;14004.8112122163;14861.8827074704;15862.6516627488;16110.31239978;17514.3558637327;18187.7797117112;15284.7723835378;16740.3481963818;18745.1735087796
Australia;AUS;GDP per capita (current US$);NY.GDP.PCAP.CD;34460.5429970479;36570.7630699009;41023.7548562293;49681.2190739771;42810.4658391817;52132.469607935;62598.6866176979;68047.3781775015;68156.3861047269;62515.3148315008;56708.96119674;49876.7123761245;53934.1543741253;57206.9906696898;54941.0657202842;51722.0690001531;60444.5023551978;64491.4298860631
Austria;AUT;GDP per capita (current US$);NY.GDP.PCAP.CD;38417.4577857677;40669.3269586152;46915.3374004507;51919.9835754226;48153.3240199631;46903.7615854354;51442.2762464411;48564.9173350875;50731.1272541851;51786.3771747897;44195.8175947748;45307.5878620442;47429.1584564391;51466.5565633624;50070.4033482892;48809.2268762235;53637.7057109897;52131.4466586387
Azerbaijan;AZE;GDP per capita (current US$);NY.GDP.PCAP.CD;1578.36733030667;2472.95725732287;3851.33101236931;5574.47096169468;4950.39743713656;5843.5337683582;7189.81515142228;7495.86194235033;7875.3446110554;7890.83525042681;5500.50462041954;3880.68626683773;4147.19861886412;4739.79524170312;4805.75371765917;4229.91064904503;5408.04535175023;7736.70123206975
Burundi;BDI;GDP per capita (current US$);NY.GDP.PCAP.CD;151.188541052498;166.276245228761;170.706876423534;194.710634589705;204.544755650643;222.660583148072;236.451347423735;238.205945258781;241.547665658082;257.818557465694;289.359627144769;242.539527360495;244.145422138192;232.060616581243;216.972970864849;216.827417445762;221.15780340632;238.44187565548
Belgium;BEL;GDP per capita (current US$);NY.GDP.PCAP.CD;36809.7013403619;38705.1067959147;44319.165448813;48303.397956286;44760.2912443709;44184.946353965;47410.5669277467;44670.5606845101;46757.9518559601;47764.0715120825;41008.296719472;42012.6227191027;44198.4823908695;47544.9811472749;46641.7116578097;45517.9038182019;51268.3880373598;49582.8253649187
Benin;BEN;GDP per capita (current US$);NY.GDP.PCAP.CD;805.904685812985;837.132002619121;944.643171187138;1098.94667760499;1061.71835877641;1009.48949432994;1099.41431139182;1112.56953520697;1214.29556576578;1251.50476542685;1041.65252315982;1049.82030349922;1095.27445905127;1194.43821427137;1170.96553298105;1237.9492953503;1361.10074905831;1303.22201358944
Burkina Faso;BFA;GDP per capita (current US$);NY.GDP.PCAP.CD;442.944430923244;457.342074945007;516.75032795654;621.890271194649;603.877545123116;627.270395424425;727.612474945609;733.972878936782;762.303780331201;767.371344245295;632.126685840944;665.786328528158;711.184543938412;779.202768060739;772.166877547544;833.244336106076;893.077195986297;832.884265674075
Bangladesh;BGD;GDP per capita (current US$);NY.GDP.PCAP.CD;492.808648889577;503.538332188534;552.338934530705;630.108979202923;698.520941599792;776.859576940281;856.381886818701;876.818006772634;973.773900233539;1108.51495720707;1236.00439770048;1659.96248898672;1815.61019133661;1963.41270740562;2122.0783861524;2233.30589251829;2457.92404902236;2688.30395035828
Bulgaria;BGR;GDP per capita (current US$);NY.GDP.PCAP.CD;3899.82513751438;4523.14752481934;5888.77685220636;7271.30520126259;6988.2748189241;6862.75768747522;7856.9859584228;7431.01404543523;7686.62922249699;7912.52053999441;7081.10233572915;7574.19126408348;8386.58920224077;9451.850869564;9878.76887237072;10153.4766003869;12222.235645941;13772.476794451
Bahrain;BHR;GDP per capita (current US$);NY.GDP.PCAP.CD;17705.235163895;19057.7989047138;20883.5480311994;23155.821449155;19448.1832553789;21186.8143292279;23741.5574626702;25102.726348527;25790.7303121382;25464.760097715;22795.4488576612;22867.1811196134;24349.9098701325;25415.8466249472;25869.1129129041;23433.1872362574;26860.0725018105;30152.0346838601
Bahamas, The;BHS;GDP per capita (current US$);NY.GDP.PCAP.CD;28280.870835298;28829.8493750425;29687.865215033;29013.6302870767;27120.6905452145;27046.6576651879;26644.9265775896;28059.6553953426;27389.6019706988;28720.6621934516;29724.9533355233;29675.5358910641;30708.9870181946;31483.9788408235;32279.0113630465;23998.2680191207;28260.4325506367;31458.300811739
Bosnia and Herzegovina;BIH;GDP per capita (current US$);NY.GDP.PCAP.CD;2741.08014066368;3170.17487272165;3936.93245931229;4846.79210102833;4542.31090426632;4506.93366912263;4980.90615523376;4688.34590186606;5025.24065229631;5196.96942563586;4654.60955224718;4917.26369838618;5327.39318443711;6024.49154590957;6094.72321376258;6095.10247869327;7230.19816280366;7585.37500171521
Belarus;BLR;GDP per capita (current US$);NY.GDP.PCAP.CD;3126.07176665248;3848.21602630083;4735.48475318433;6376.18315298455;5352.48959072155;6034.67885177216;6527.65496891514;6953.21730687953;7998.07795284714;8341.28810376533;5967.0691848005;5039.77603167897;5785.53497525452;6360.05206042843;6837.76723174438;6542.8645398436;7489.71894713888;7904.85624285517
Belize;BLZ;GDP per capita (current US$);NY.GDP.PCAP.CD;5212.66161390994;5475.72290971811;5707.11336494231;5656.40836062302;5348.9978387566;5397.29157482319;5521.36627642336;5645.89582239311;5887.93343545467;6068.08860885237;6142.47883269283;6148.70696109313;6100.99468097883;6059.16255306675;6210.56554311929;5266.87616004213;6228.26730928353;6968.36158480889
Bermuda;BMU;GDP per capita (current US$);NY.GDP.PCAP.CD;75882.0338560339;95221.8588720301;104287.387498459;106935.486341979;101407.764031934;101875.28407346;97774.1620717428;98431.8651810241;99471.6388978631;98467.683993982;102005.62564189;106885.878489327;111820.581466347;113050.73688163;116153.166121638;107791.886435134;111774.669092278;118845.621104325
Bolivia;BOL;GDP per capita (current US$);NY.GDP.PCAP.CD;1018.31366190632;1200.06809196654;1351.03515410788;1687.57856734657;1725.14628617645;1922.05866181583;2304.98229547312;2562.46678423329;2853.79716191598;3022.46288443562;2975.64881143063;3013.50270721666;3280.0082139387;3471.0069506501;3472.38083136442;3068.81255516456;3345.19658838387;3523.27373305196
Brazil;BRA;GDP per capita (current US$);NY.GDP.PCAP.CD;4773.26848028038;5866.02431314405;7323.19034003928;8801.75947547502;8569.90180523381;11249.2937410718;13200.5581661879;12327.5155558345;12258.5648491717;12071.4046547485;8783.21441310718;8680.73542054827;9896.7175109967;9121.02009249958;8845.3239312417;6923.70019715065;7696.78553127562;8917.67389796927
Barbados;BRB;GDP per capita (current US$);NY.GDP.PCAP.CD;14173.7513776686;15595.6394564112;17219.0486803908;17550.6633410971;16310.4605337648;16489.7958217909;16907.2092592727;16691.3326357636;16893.6062702039;16924.1903399365;16990.2194668498;17343.7254395315;17843.1979282703;18224.8905923744;19002.9623813263;16643.8065787177;17225.4623044097;20018.5151513054
Brunei Darussalam;BRN;GDP per capita (current US$);NY.GDP.PCAP.CD;25991.2062011563;30767.7473785142;32337.2815244065;37427.5488606831;27497.5417023649;34609.6999594925;46139.1068369475;46844.1967205228;43950.0570624107;41035.7731365374;30681.4374376753;26762.0374289176;28186.9833864683;31241.0239732766;30748.3201899098;27179.3444218249;31448.9136078023;37152.4662378669
Bhutan;BTN;GDP per capita (current US$);NY.GDP.PCAP.CD;1201.43364840454;1299.63124894385;1714.03107153767;1780.11221819632;1768.74595673512;2194.12587023264;2491.27345640704;2470.0721358991;2409.43998870348;2589.89914074134;2695.63690417126;2879.54657217991;3240.70632594822;3210.70781406979;3303.96230868215;3009.92551590976;3266.36277371286;
Botswana;BWA;GDP per capita (current US$);NY.GDP.PCAP.CD;5240.316159068;5142.91383354359;5372.34073174354;5345.84849075332;4938.25013589692;6041.73205119653;7080.77829746932;6392.98734736839;6436.60306321162;6844.03299550537;5869.73777207249;6411.55166554553;6705.34106167973;6947.81784114167;6691.16105117407;5875.07060571282;7238.79609591086;7737.65468112589
Central African Republic;CAF;GDP per capita (current US$);NY.GDP.PCAP.CD;317.877678147081;340.414517167645;388.477771292739;446.228769926266;452.922236140724;459.776981626072;515.209503796684;525.867503569855;352.226854976587;394.856933074796;351.879754779905;372.135456053456;414.740322572797;435.93229629544;426.408752988942;435.469248170025;461.137510928519;427.058096252078
Canada;CAN;GDP per capita (current US$);NY.GDP.PCAP.CD;36382.5079164537;40504.0607253203;44659.8951408034;46710.5055759013;40876.3101540295;47562.0834253057;52223.696112356;52669.0899632316;52635.1749580433;50955.9983232404;43596.1355365546;42315.6037056806;45129.4292980922;46547.7951820036;46374.1527517191;43349.677855557;52358.6216405155;54966.4888361088
Central Europe and the Baltics;CEB;GDP per capita (current US$);NY.GDP.PCAP.CD;8355.86458655579;9469.08131854717;12008.2924036188;14576.2638774666;12306.2596698502;12606.5911566259;13962.7710889562;13074.2382432056;13665.7265983293;14141.1006164469;12525.6327000489;12782.2222396049;14222.4542912046;16077.0239465209;16349.0053581845;16298.2670593913;18790.4181600999;19337.8890310738
Switzerland;CHE;GDP per capita (current US$);NY.GDP.PCAP.CD;56243.947298687;59008.993014024;64991.005147337;74175.8776377701;71565.569975492;76531.3729407691;90476.7589651577;85836.2076767359;87304.3305813557;88724.9909402638;83806.4476003837;82153.0745447889;82254.3769269767;85216.6429514169;84121.9310304414;85656.322666307;91991.6004583563;92101.4697414382
Channel Islands;CHI;GDP per capita (current US$);NY.GDP.PCAP.CD;58550.6571723349;63665.3153474479;75148.3494360381;;;;;;;;;58093.9960625367;57683.8938973128;62316.2199488315;61281.3272247009;57339.5268713567;67960.7269955768;
Chile;CHL;GDP per capita (current US$);NY.GDP.PCAP.CD;7561.8305480446;9418.0627175215;10461.3660887507;10783.1708210632;10182.8605646819;12767.7820406263;14628.5724573037;15406.4928361503;15833.2759194461;14666.3431168586;13569.9481274733;13785.6875977318;15045.5278507601;15795.7081412484;14627.14501648;13165.3863429858;16247.4010150765;15355.5064965406
China;CHN;GDP per capita (current US$);NY.GDP.PCAP.CD;1753.41426293188;2099.21934229104;2693.95855454419;3468.32706307504;3832.2274278698;4550.47392427081;5614.38573851229;6300.58235236313;7020.38568208449;7636.07422276004;8016.44601585644;8094.39037512163;8817.04549566316;9905.4061175104;10143.8602060373;10408.7191247747;12617.5049863004;12720.2156397612
Cote d'Ivoire;CIV;GDP per capita (current US$);NY.GDP.PCAP.CD;1267.08731131078;1303.56496674484;1451.23253073094;1683.33750452715;1638.80468423899;1654.17795875222;1701.70464076523;1649.30161477828;1903.0542292873;2124.01943006075;1941.5818977126;1999.19537158364;2113.34152529371;2295.5403346362;2290.78737894782;2349.06988200032;2613.37889305378;2486.41219393777
Cameroon;CMR;GDP per capita (current US$);NY.GDP.PCAP.CD;1129.35797968829;1177.96860540961;1311.00296320709;1476.00907753289;1445.86024801265;1383.81386416854;1497.92658563929;1433.72392714331;1559.13904964956;1631.71398553289;1399.67533596847;1426.06548098045;1479.86222292155;1594.06010909489;1538.68791202148;1539.13054650019;1666.93280948232;1588.47872338696
Congo, Dem. Rep.;COD;GDP per capita (current US$);NY.GDP.PCAP.CD;211.572629515187;247.54193564633;277.612079551534;317.88920990316;290.155674944481;324.827725981436;376.374981122052;412.776260686934;444.864357393335;472.266235961574;482.064568490893;456.027950503848;451.089088632243;546.212593331533;575.882781272568;524.666686258939;577.209215199828;586.464288888955
Congo, Rep.;COG;GDP per capita (current US$);NY.GDP.PCAP.CD;1810.58894356777;2116.86894361816;2219.91230455325;2848.65316041483;2283.94987073631;2962.76247997267;3415.0623762032;3753.86092474115;3719.65103717713;3622.53007355844;2347.81850686004;1970.25019879955;2088.5002986615;2512.38416688863;2288.80808614703;1838.44812411674;2290.38299445343;2447.98898873051
Colombia;COL;GDP per capita (current US$);NY.GDP.PCAP.CD;3448.53827356214;3782.60350413031;4762.08297292255;5534.68944688199;5245.9516649172;6392.75802564032;7392.9435995632;8096.80150977527;8263.64192942212;8167.47284156278;6228.65162186096;5936.26102166829;6449.97098726073;6782.0379203319;6436.50921529531;5304.28912886637;6182.70709867969;6630.28272608054
Comoros;COM;GDP per capita (current US$);NY.GDP.PCAP.CD;1103.19541675686;1155.08567563573;1289.79485002154;1454.65090911662;1409.10667349477;1384.06328381602;1526.83263817748;1483.95155852999;1595.98981855871;1608.68787502176;1322.93677460001;1357.26622888841;1414.58668930426;1531.33781085768;1510.7973226286;1519.58677981636;1577.47084066118;1484.8924647255
Cabo Verde;CPV;GDP per capita (current US$);NY.GDP.PCAP.CD;1972.78493691456;2220.09817717759;3268.30568917315;3839.86364377088;3592.31589113941;3500.97745196395;3880.06918190627;3583.46171744213;3757.65995326233;3739.27827890219;3169.0789154116;3312.69675666873;3534.34358304479;3860.45481136132;3928.30909558631;3223.73560213047;3557.83777540965;3902.58904940059
Costa Rica;CRI;GDP per capita (current US$);NY.GDP.PCAP.CD;4643.45856992587;5188.36179215965;6055.08677891562;6841.91145979684;6737.86075359038;8147.24398481032;9137.45510202159;9971.65165625728;10633.2665598785;10737.6788753949;11529.9551735671;11899.8139783719;12118.1336180615;12383.1499469519;12669.3411617396;12179.2566742377;12537.2567461753;13198.8217168097
Caribbean small states;CSS;GDP per capita (current US$);NY.GDP.PCAP.CD;7248.42570322743;8192.98521377102;9053.24756679058;10222.7279438705;8592.54910424705;9271.13807868462;9947.6159902644;10416.8412086488;10542.0752110958;10711.7786572268;10447.6799478983;9769.46964089534;10061.0866121034;10339.100779196;10409.7163826574;8864.60436985981;10114.1468413213;12382.3753760863
Cuba;CUB;GDP per capita (current US$);NY.GDP.PCAP.CD;3791.87300608904;4336.87332999361;4814.85487568512;4992.82449445836;5094.43756186586;5275.53260105122;6106.0067919258;6467.33791422804;6814.24384354868;7117.52691001591;7683.75789050585;8055.88990736388;8543.36096849045;8831.90722233737;9139.41585605765;9499.59020230432;;
Curacao;CUW;GDP per capita (current US$);NY.GDP.PCAP.CD;;;;;;;19446.4565747102;19886.6783682132;19762.739621629;19552.660553207;19260.269845345;18881.8306152417;18788.8072839326;18956.0979741907;19024.1771511889;16109.8617501685;17717.5964802588;
Cayman Islands;CYM;GDP per capita (current US$);NY.GDP.PCAP.CD;;87184.5129854821;89960.6830340539;89704.2225482118;81398.3236004786;76873.1953208127;75435.6152271054;75466.1358699971;75685.3583652828;76610.647967975;77295.8456647776;78858.2796562866;81255.1122691866;85231.7751511594;89846.3210991824;83897.5052077489;88475.6008787475;
Cyprus;CYP;GDP per capita (current US$);NY.GDP.PCAP.CD;24959.259765625;26729.32421875;31244.92578125;35397.36328125;32109.2421875;31105.02734375;32485.802734375;28991.9296875;27797.453125;27244.34375;23487.21875;24715.142578125;26697.005859375;29419.88671875;29417.921875;28035.984375;31552.03515625;31283.505859375
Czechia;CZE;GDP per capita (current US$);NY.GDP.PCAP.CD;13430.6605521291;15261.8088483267;18466.5782621236;22804.6222045964;19861.6974295256;19960.0684872157;21871.2660754128;19870.8012123403;20133.1691431353;19890.9199056648;17829.6983223668;18575.2320271915;20636.199952435;23424.4804601855;23664.8478631108;22992.8793833348;26822.5141862111;27638.3732756288
Germany;DEU;GDP per capita (current US$);NY.GDP.PCAP.CD;34520.2396492496;36353.8803343631;41640.0808695147;45612.7106221441;41650.3678297162;41572.4559481517;46705.8957963357;43855.8544658618;46298.9229177345;48023.8699845455;41103.2564363768;42136.1207908003;44652.5891722723;47939.2782884496;46793.6867615995;46772.8253507537;51203.5544731043;48432.4558732596
Djibouti;DJI;GDP per capita (current US$);NY.GDP.PCAP.CD;852.890188282475;907.817943782596;980.031032399576;1131.63572564038;1164.25168346453;1227.82085311429;1322.72625083956;1418.46085811933;2102.19794830208;2239.11453821208;2409.31190224284;2545.73879850905;2655.73321960188;2755.83829341814;2876.04366371536;2917.9962809563;3050.30628163732;3136.11296031934
Dominica;DMA;GDP per capita (current US$);NY.GDP.PCAP.CD;5304.12609656574;5677.05117470908;6126.84949580624;6661.46504737997;7109.9782527814;7182.40020254419;7288.49794777466;7054.87597689432;7240.67911908479;7498.91752183776;7724.04241057376;8223.04145029796;7408.09130082314;7833.19501250117;8561.58701121461;7003.46989117043;7668.15813216962;8414.53659276775
Denmark;DNK;GDP per capita (current US$);NY.GDP.PCAP.CD;48799.7442261767;52027.1890709689;58487.0460144465;64321.6744842874;58163.638529726;58041.3984363385;61753.647131977;58507.5080517852;61191.1937042028;62548.9847332908;53254.8563700916;54663.9983719195;57610.0981801135;61591.9288698958;59592.9806886454;60915.4243995462;68007.7566732954;66983.1320017138
Dominican Republic;DOM;GDP per capita (current US$);NY.GDP.PCAP.CD;3903.81518384433;4080.04571382126;4676.07911069651;5053.33029118417;5002.1532330508;5509.56805406696;5859.38154480292;6049.47161121834;6171.29506392047;6533.67096798065;6838.9367346602;7191.06971254766;7513.49795078555;7947.1593538657;8173.34464573914;7167.91493205787;8476.7496882797;10120.5511632969
Algeria;DZA;GDP per capita (current US$);NY.GDP.PCAP.CD;3131.32817565242;3500.13460988746;3971.80348828223;4946.56401720759;3898.47880576084;4495.92145548343;5473.28180110324;5610.73330610332;5519.77757552373;5516.22946321562;4197.41997101868;3967.20065952107;4134.93609898195;4171.79530903532;4021.98360796603;3354.15730265114;3700.31119460857;4273.92218311515
East Asia & Pacific (excluding high income);EAP;GDP per capita (current US$);NY.GDP.PCAP.CD;1637.7597483176;1956.52001856097;2454.11064785815;3080.44425640408;3316.54104949072;4006.2005782492;4860.73921831893;5375.84282962973;5882.14219490776;6291.28338162026;6501.71268639374;6591.13640599459;7149.12126805695;7944.47136791977;8169.0089232591;8262.89754957938;9812.14597481484;9952.18812123202
Early-demographic dividend;EAR;GDP per capita (current US$);NY.GDP.PCAP.CD;1809.84760553527;2036.40518706156;2370.89645265435;2632.81945671761;2502.95552989673;2988.44999734415;3250.77670443065;3348.11278853938;3347.1139989727;3414.4378268947;3204.50859093736;3264.72507479012;3485.10955398458;3480.2807841338;3506.63417506725;3232.2471401811;3714.71391519885;4069.17601218906
East Asia & Pacific;EAS;GDP per capita (current US$);NY.GDP.PCAP.CD;4881.33292682238;5134.80996193756;5695.51483024205;6518.99991372054;6661.46152251039;7721.62526257908;8890.74842436705;9435.97323954605;9468.44402937117;9694.44764520113;9586.89199191842;9855.05982291635;10452.7370700637;11311.7690787375;11480.7038150104;11482.8804990942;13119.40564996;12906.694013545
Europe & Central Asia (excluding high income);ECA;GDP per capita (current US$);NY.GDP.PCAP.CD;4272.29481617816;5231.24779175704;6713.47363107951;8288.16560768512;6465.41424135199;7789.14710320876;9625.73550874938;10208.4197269121;10750.5615847087;9890.31659095404;7459.08184487651;7044.68473024733;7865.2274511544;7995.71882866252;8128.39505469146;7462.09763148974;8919.90863602739;10376.7802480968
Europe & Central Asia;ECS;GDP per capita (current US$);NY.GDP.PCAP.CD;19225.8915495491;20749.8910155648;24158.9124361521;26480.6712929701;23197.643444935;23640.9788244036;26151.0092850071;25093.6904042201;26090.3028271239;26321.0879621973;22560.0452974631;22380.6179946978;23644.7807272577;25244.0337921615;24870.5764692993;23995.1500027063;27239.9401146701;27363.874640104
Ecuador;ECU;GDP per capita (current US$);NY.GDP.PCAP.CD;3014.3100093159;3340.84090289849;3579.03224391806;4260.43318396471;4240.70259271564;4640.24634437845;5202.65645902066;5678.45572070003;6050.3546113274;6374.6314856366;6130.58667556768;6079.08873612077;6246.40425217932;6321.34940071717;6233.25816692363;5645.19928965332;5965.13287054416;6391.28248430643
Egypt, Arab Rep.;EGY;GDP per capita (current US$);NY.GDP.PCAP.CD;1133.10546057176;1332.33941000282;1586.47292057972;1941.89997269337;2212.21814788932;2509.77203417522;2645.6225349104;3059.13542779204;3088.8908340843;3196.86138078687;3370.38244716015;3331.61246134688;2439.96728439968;2531.20007864537;3017.25833578941;3571.5569065135;3886.7224983901;4295.40749561014
Euro area;EMU;GDP per capita (current US$);NY.GDP.PCAP.CD;31947.6679669722;33794.8222587519;38715.4438625534;42353.1861913285;38578.9213931293;37605.0353764349;40656.4392727853;37594.9177191427;39119.9712010537;39913.1212610408;34388.8103723606;35164.0647840609;37157.1125976758;40045.5661943636;39183.1023427645;38161.6659419747;42472.3326927924;40755.0473759676
Eritrea;ERI;GDP per capita (current US$);NY.GDP.PCAP.CD;387.898540358605;420.528739757639;450.409713679088;459.178402670323;602.063223832873;504.972460176652;643.790042311239;;;;;;;;;;;
Spain;ESP;GDP per capita (current US$);NY.GDP.PCAP.CD;26429.1509449319;28389.0785799873;32591.3503065871;35510.7222312701;32169.5028548583;30532.4805081663;31677.9003083654;28322.9465923276;29077.1820557566;29513.65118004;25754.36102944;26537.1594894549;28185.3213671972;30379.7211126417;29581.5185513293;26959.6754367322;30103.513733191;29350.1685214481
Estonia;EST;GDP per capita (current US$);NY.GDP.PCAP.CD;10412.6443137966;12639.4000677296;16744.5844516343;18204.9664786762;14711.7352728223;14663.0446126465;17487.8047830923;17403.2053254767;19056.0019226991;20261.0667303883;17402.0376128079;18295.3429322119;20437.7653767361;23165.8494786433;23424.4847073513;23595.2436836437;27943.701219882;28332.6290917984
Ethiopia;ETH;GDP per capita (current US$);NY.GDP.PCAP.CD;160.076791772058;191.75129245508;240.347971955032;320.861089711683;373.893958712145;335.438495270931;348.001348291465;458.550920793057;490.792474148698;557.534148360438;630.312627132481;705.617512258288;755.752645114994;758.297690230677;840.449603427131;918.652594077418;925.000697216762;1027.58591828225
European Union;EUU;GDP per capita (current US$);NY.GDP.PCAP.CD;27341.7104981904;29089.5482929004;33587.0265426094;37043.6319330055;33480.2285035152;32965.4363585412;35766.5639236888;33170.1582635748;34564.9279509325;35280.7488271727;30485.7582865714;31175.2158538517;33088.6745527209;35749.0880582971;35077.7285770448;34332.6449639779;38436.149211449;37149.6085917605
Fragile and conflict affected situations;FCS;GDP per capita (current US$);NY.GDP.PCAP.CD;1240.21159473154;1499.86074831851;1784.31280584153;2207.21973577893;1990.42728805765;2297.91165051653;2109.5344876349;2307.3143233566;2337.84788517276;2423.57469553104;1892.96123417839;1735.35624838942;1795.60316339251;1847.17353437264;1906.88721564883;1697.42205372878;1780.26139196499;1857.01159963759
Finland;FIN;GDP per capita (current US$);NY.GDP.PCAP.CD;39054.8504423825;41222.6020004611;48476.3927287052;53772.7942390019;47481.4845364339;46505.3031791822;51148.9316365836;47708.0612784469;49892.2233632736;50327.2402902624;42801.9081167285;43814.0265056977;46412.1364777173;49987.6261584959;48629.8582283024;49169.719338849;53489.7520190898;50536.6244670541
Fiji;FJI;GDP per capita (current US$);NY.GDP.PCAP.CD;3406.47515784893;3483.59718493626;3793.09738500959;3928.92173857964;3184.68912291481;3469.15022439864;4160.72158514781;4359.79284510059;4586.95616503226;5305.06340024667;5105.1900392223;5368.43365862436;5825.19881260364;6073.39519537246;5968.31955666383;4864.10600771307;4646.53792141919;5316.65838506043
France;FRA;GDP per capita (current US$);NY.GDP.PCAP.CD;34768.1759037525;36470.2128399313;41557.6235648179;45515.9617533473;41737.7635518137;40676.0647913191;43846.4660764801;40870.8523645734;42602.7179652671;43068.5487241732;36652.9223052178;37062.5335723839;38781.049487084;41557.8548588869;40494.8982936269;39055.2829280747;43658.9789781222;40963.837337041
Faroe Islands;FRO;GDP per capita (current US$);NY.GDP.PCAP.CD;36440.3221972404;41762.6875127314;48365.736541995;51431.9747790046;47410.9585748736;48167.6675141519;51786.4854763583;50157.0627978002;55560.1361320443;60126.1292136722;52726.6887003408;56833.9143691967;59328.2334807078;62576.803752148;63382.753141994;61979.7954421759;69010.1662014429;
