field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text
Country or Area,Africa,Element,Production,Year,2000,Unit,tonnes,Value,746963.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1999,Unit,tonnes,Value,746558.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1998,Unit,tonnes,Value,676430.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1997,Unit,tonnes,Value,642799.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1996,Unit,tonnes,Value,608477.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1995,Unit,tonnes,Value,611638.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1994,Unit,tonnes,Value,575617.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1993,Unit,tonnes,Value,490011.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1992,Unit,tonnes,Value,470457.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1991,Unit,tonnes,Value,462944.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1990,Unit,tonnes,Value,437296.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1989,Unit,tonnes,Value,416355.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1988,Unit,tonnes,Value,402142.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1987,Unit,tonnes,Value,401274.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1986,Unit,tonnes,Value,387234.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1985,Unit,tonnes,Value,373432.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1984,Unit,tonnes,Value,378909.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1983,Unit,tonnes,Value,372730.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1982,Unit,tonnes,Value,361333.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1981,Unit,tonnes,Value,355622.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1980,Unit,tonnes,Value,349519.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1979,Unit,tonnes,Value,343685.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1978,Unit,tonnes,Value,331595.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1977,Unit,tonnes,Value,327205.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1976,Unit,tonnes,Value,323016.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1975,Unit,tonnes,Value,309986.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1974,Unit,tonnes,Value,297236.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1973,Unit,tonnes,Value,290925.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1972,Unit,tonnes,Value,288173.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1971,Unit,tonnes,Value,285222.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1970,Unit,tonnes,Value,283428.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1969,Unit,tonnes,Value,274186.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1968,Unit,tonnes,Value,272964.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1967,Unit,tonnes,Value,258023.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1966,Unit,tonnes,Value,247933.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1965,Unit,tonnes,Value,246266.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1964,Unit,tonnes,Value,243343.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1963,Unit,tonnes,Value,240515.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1962,Unit,tonnes,Value,235798.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,1961,Unit,tonnes,Value,235270.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2019,Unit,tonnes,Value,37442.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2018,Unit,tonnes,Value,38537.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2017,Unit,tonnes,Value,41261.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2016,Unit,tonnes,Value,38677.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2015,Unit,tonnes,Value,24889.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2014,Unit,tonnes,Value,20850.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2013,Unit,tonnes,Value,18700.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2012,Unit,tonnes,Value,17400.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2011,Unit,tonnes,Value,17000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2010,Unit,tonnes,Value,15900.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2009,Unit,tonnes,Value,14700.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2008,Unit,tonnes,Value,14270.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2007,Unit,tonnes,Value,16300.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2006,Unit,tonnes,Value,14300.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2005,Unit,tonnes,Value,14550.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2004,Unit,tonnes,Value,14250.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2003,Unit,tonnes,Value,14303.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2002,Unit,tonnes,Value,12586.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2001,Unit,tonnes,Value,10306.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,2000,Unit,tonnes,Value,10654.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1999,Unit,tonnes,Value,10800.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1998,Unit,tonnes,Value,11000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1997,Unit,tonnes,Value,11200.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1996,Unit,tonnes,Value,11200.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1995,Unit,tonnes,Value,9900.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1994,Unit,tonnes,Value,7701.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1993,Unit,tonnes,Value,7500.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1992,Unit,tonnes,Value,8300.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1991,Unit,tonnes,Value,9700.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1990,Unit,tonnes,Value,13316.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1989,Unit,tonnes,Value,13700.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1988,Unit,tonnes,Value,14300.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1987,Unit,tonnes,Value,14700.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1986,Unit,tonnes,Value,15100.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1985,Unit,tonnes,Value,15500.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1984,Unit,tonnes,Value,16000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1983,Unit,tonnes,Value,14400.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1982,Unit,tonnes,Value,12900.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1981,Unit,tonnes,Value,11300.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1980,Unit,tonnes,Value,9730.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1979,Unit,tonnes,Value,12000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1978,Unit,tonnes,Value,10900.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1977,Unit,tonnes,Value,10200.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1976,Unit,tonnes,Value,9600.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1975,Unit,tonnes,Value,8800.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1974,Unit,tonnes,Value,7500.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1973,Unit,tonnes,Value,7000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1972,Unit,tonnes,Value,7000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1971,Unit,tonnes,Value,7200.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1970,Unit,tonnes,Value,6000.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1969,Unit,tonnes,Value,5700.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1968,Unit,tonnes,Value,5200.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1967,Unit,tonnes,Value,4800.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1966,Unit,tonnes,Value,4200.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1965,Unit,tonnes,Value,3800.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1964,Unit,tonnes,Value,3400.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1963,Unit,tonnes,Value,3450.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1962,Unit,tonnes,Value,3779.00,Value Footnotes,A
Country or Area,Albania,Element,Production,Year,1961,Unit,tonnes,Value,3778.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2019,Unit,tonnes,Value,2708.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2018,Unit,tonnes,Value,2699.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2017,Unit,tonnes,Value,2889.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2016,Unit,tonnes,Value,3051.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2015,Unit,tonnes,Value,3176.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2014,Unit,tonnes,Value,3849.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2013,Unit,tonnes,Value,2230.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2012,Unit,tonnes,Value,2045.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2011,Unit,tonnes,Value,1939.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2010,Unit,tonnes,Value,1744.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2009,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2008,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2007,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2006,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2005,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2004,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2003,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2002,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2001,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,2000,Unit,tonnes,Value,1540.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1999,Unit,tonnes,Value,1320.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1998,Unit,tonnes,Value,1210.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1997,Unit,tonnes,Value,1133.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1996,Unit,tonnes,Value,1177.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1995,Unit,tonnes,Value,1100.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1994,Unit,tonnes,Value,1056.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1993,Unit,tonnes,Value,1045.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1992,Unit,tonnes,Value,1034.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1991,Unit,tonnes,Value,1023.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1990,Unit,tonnes,Value,1012.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1989,Unit,tonnes,Value,1001.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1988,Unit,tonnes,Value,990.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1987,Unit,tonnes,Value,979.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1986,Unit,tonnes,Value,968.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1985,Unit,tonnes,Value,957.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1984,Unit,tonnes,Value,935.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1983,Unit,tonnes,Value,913.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1982,Unit,tonnes,Value,880.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1981,Unit,tonnes,Value,880.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1980,Unit,tonnes,Value,880.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1979,Unit,tonnes,Value,880.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1978,Unit,tonnes,Value,880.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1977,Unit,tonnes,Value,770.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1976,Unit,tonnes,Value,770.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1975,Unit,tonnes,Value,660.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1974,Unit,tonnes,Value,550.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1973,Unit,tonnes,Value,440.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1972,Unit,tonnes,Value,440.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1971,Unit,tonnes,Value,440.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1970,Unit,tonnes,Value,440.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1969,Unit,tonnes,Value,330.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1968,Unit,tonnes,Value,330.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1967,Unit,tonnes,Value,330.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1966,Unit,tonnes,Value,330.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1965,Unit,tonnes,Value,220.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1964,Unit,tonnes,Value,220.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1963,Unit,tonnes,Value,110.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1962,Unit,tonnes,Value,110.00,Value Footnotes,A
Country or Area,Algeria,Element,Production,Year,1961,Unit,tonnes,Value,110.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2019,Unit,tonnes,Value,8168460.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2018,Unit,tonnes,Value,8115345.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2017,Unit,tonnes,Value,8048057.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2016,Unit,tonnes,Value,7939401.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2015,Unit,tonnes,Value,7771418.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2014,Unit,tonnes,Value,7598289.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2013,Unit,tonnes,Value,7358182.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2012,Unit,tonnes,Value,7279647.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2011,Unit,tonnes,Value,7064318.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2010,Unit,tonnes,Value,6955585.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2009,Unit,tonnes,Value,6643688.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2008,Unit,tonnes,Value,6532061.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2007,Unit,tonnes,Value,6245085.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2006,Unit,tonnes,Value,6066294.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2005,Unit,tonnes,Value,5888112.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2004,Unit,tonnes,Value,5721032.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2003,Unit,tonnes,Value,5530603.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2002,Unit,tonnes,Value,5548125.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2001,Unit,tonnes,Value,5455577.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,2000,Unit,tonnes,Value,5476860.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1999,Unit,tonnes,Value,5263293.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1998,Unit,tonnes,Value,5022010.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1997,Unit,tonnes,Value,4954812.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1996,Unit,tonnes,Value,4781444.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1995,Unit,tonnes,Value,4646371.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1994,Unit,tonnes,Value,4536884.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1993,Unit,tonnes,Value,4443552.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1992,Unit,tonnes,Value,4408366.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1991,Unit,tonnes,Value,4137650.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1990,Unit,tonnes,Value,4109211.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1989,Unit,tonnes,Value,3922116.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1988,Unit,tonnes,Value,3929049.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1987,Unit,tonnes,Value,3834156.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1986,Unit,tonnes,Value,3708206.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1985,Unit,tonnes,Value,3616348.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1984,Unit,tonnes,Value,3404909.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1983,Unit,tonnes,Value,3462099.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1982,Unit,tonnes,Value,3337708.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1981,Unit,tonnes,Value,3242881.00,Value Footnotes,A
Country or Area,Americas,Element,Production,Year,1980,Unit,tonnes,Value,3124325.00,Value Footnotes,A
