endTime,artistName,trackName,msPlayed,district
2024-01-08 22:10:00,Hotel Ugly,The Ballad of Eddie Jabuley,192000,Śródmieście
2024-01-08 22:12:00,Yaya Bey,fxck it then,135970,Śródmieście
2024-01-09 13:35:00,BROCKHAMPTON,BOY BYE,142186,Śródmieście
2024-01-10 12:10:00,SZA,Kill Bill,102401,Bemowo
2024-01-10 12:13:00,SZA,Snooze,201800,Bemowo
2024-01-10 12:14:00,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),47277,Bemowo
2024-01-10 12:18:00,Kendrick Lamar,All The Stars (with SZA),232186,Bemowo
2024-01-10 12:19:00,Travis Scott,TELEKINESIS (feat. SZA & Future),81223,Bemowo
2024-01-10 12:24:00,Fugees,Killing Me Softly With His Song,298773,Bemowo
2024-01-10 12:27:00,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,161200,Bemowo
2024-01-10 12:29:00,Steve Lacy,C U Girl,129697,Bemowo
2024-01-10 12:33:00,Blood Orange,Charcoal Baby,242341,Bemowo
2024-01-10 12:37:00,Kanye West,All Falls Down,223506,Śródmieście
2024-01-10 12:52:00,Hiatus Kaiyote,Red Room,232053,Śródmieście
2024-01-10 12:56:00,Frank Ocean,Ivy,249191,Śródmieście
2024-01-10 13:00:00,The Game,Hate It Or Love It,206400,Śródmieście
2024-01-10 15:33:00,Lil Yachty,drive ME crazy!,229804,Śródmieście
2024-01-10 15:38:00,SZA,Awkward,178000,Śródmieście
2024-01-10 15:45:00,Frank Ocean,Solo,257380,Śródmieście
2024-01-10 19:44:00,Rezerwat,Zaopiekuj sie mną,310706,Wola
2024-01-10 19:53:00,Mela Koteluk,Drzewa,77903,Wola
2023-12-17 17:38:00,Labyrinth Ear,Navy Light,70736,Targówek
2023-12-17 17:42:00,Molly Nilsson,Gun Control,232594,Targówek
2023-12-17 17:47:00,Still Corners,The Message,292480,Targówek
2023-12-17 17:50:00,Part Time,Animal Machines,194000,Targówek
2023-12-17 17:53:00,Devendra Banhart,Für Hildegard von Bingen,155066,Targówek
2023-12-17 17:57:00,Rhye,The Fall,224680,Targówek
2023-12-17 17:59:00,Automatic,Damage,141120,Targówek
2023-12-17 18:02:00,Devonté Hynes,La Fat Fur,150611,Targówek
2023-12-17 18:05:00,Molly Nilsson,Meanwhile In Berlin,200330,Targówek
2023-12-17 18:13:00,Faux Real,Boss Sweet,236687,Targówek
2023-12-17 18:18:00,Black Marble,MSQ No-Extra,256000,Targówek
2023-12-17 18:23:00,Metronomy,The Light,273109,Targówek
2023-12-17 18:26:00,Automatic,Electrocution,150146,Targówek
2023-12-17 18:30:00,The Drums,Days,269081,Targówek
2023-12-17 18:32:00,Molly Nilsson,Wounds Itch When They Heal,133468,Targówek
2023-12-17 18:36:00,Nation of Language,Wounds of Love,199221,Targówek
2023-12-17 18:43:00,The Whitest Boy Alive,Golden Cage,404716,Targówek
2023-12-17 18:46:00,Blouse,Controller,233532,Targówek
2023-12-17 18:50:00,Hibou,Sunder,199973,Targówek
2023-12-17 18:53:00,Kid Francescoli,"It's Only Music, Baby",208181,Targówek
2023-12-17 18:58:00,Rhye,3 Days,255720,Targówek
2023-12-17 19:01:00,Molly Nilsson,Days of Dust,213130,Targówek
2023-12-17 19:05:00,Jonathan Bree,Say You Love Me Too,254117,Targówek
2023-12-17 19:09:00,Black Marble,Frisk,210588,Targówek
2023-12-17 19:11:00,Blouse,White,144810,Targówek
2023-12-17 19:15:00,Melody's Echo Chamber,I Follow You,215586,Targówek
2023-12-17 19:18:00,Connan Mockasin,Do I Make You Feel Shy?,194026,Targówek
2023-12-17 19:20:00,Still Corners,Heavy Days,89039,Targówek
2023-12-17 20:35:00,Birdy,People Help the People,256236,Targówek
2023-12-17 20:38:00,Birdy,Skinny Love,201080,Targówek
2023-12-17 20:41:00,The Lumineers,Ho Hey,163133,Targówek
2023-12-17 20:45:00,Freya Ridings,Castles,211842,Targówek
2023-12-17 20:48:00,Hozier,Work Song,229715,Targówek
2023-12-17 20:52:00,X Ambassadors,Renegades,195200,Targówek
2023-12-17 20:56:00,Lana Del Rey,Born To Die,285400,Targówek
2023-12-17 20:59:00,Birdy,Light Me Up,159221,Targówek
2023-12-17 21:02:00,Billie Holiday,April In Paris,185586,Targówek
2023-12-17 21:05:00,Chet Baker,There Will Never Be Another You - Vocal Version,180626,Targówek
2023-12-17 21:11:00,Miles Davis Quintet,My Funny Valentine - Rudy Van Gelder Remaster 2007,360826,Targówek
2023-12-17 21:16:00,Nina Simone,Don't Explain,258693,Targówek
2023-12-17 21:18:00,Dinah Washington,Teach Me Tonight,167493,Targówek
2023-12-17 21:21:00,Etta James,Fool That I Am,177200,Targówek
2023-12-17 21:24:00,Julie London,Show Me The Way To Go Home,164066,Targówek
2023-12-17 21:28:00,Nancy Wilson,The Masquerade Is Over,258106,Targówek
2023-12-17 21:36:00,Wayne Shorter,Footprints - Remastered,449773,Targówek
2023-12-17 21:39:00,John Coltrane Quartet,It's Easy To Remember,165560,Targówek
2023-12-17 21:42:00,Eartha Kitt,My Heart Belongs to Daddy,183960,Targówek
2023-12-17 21:46:00,Stan Getz,But Beautiful,280840,Targówek
2023-12-17 21:54:00,John Coltrane,I'm Old Fashioned,479023,Targówek
2023-12-17 21:57:00,Chet Baker,It Could Happen to You,173160,Targówek
