re-exports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035635,0.0011595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003675,0.0,0.0,0.0,0.0,0.0,0.0
Mali,0.0,0.0,0.1666667,0.1666667,0.0,0.4333333,0.0,1.3333333,0.0,0.0,0.0003372,0.0,0.0876,1.85705,0.3859267,0.1088833,0.0,0.0030853,0.0024333,0.0,0.8508333,6.151475,3.5145234,0.0,0.0,0.0,1.0,1.0,0.0
Mauritius,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.021,0.0229999,0.017,0.245,0.017,0.026,0.046,0.0361243,0.0410763,0.0496198,0.0746767,0.0513848,0.2693385,0.3264308,0.3079863,0.1077393,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,0.0,0.3289999,0.6460002,3.7549999,26.4540001,34.6839999,57.1770001,77.4369996,14.7610005,70.8969994,83.4029889,75.6219899,123.2219849,141.6059825,107.417393,105.2283605,119.776163,138.5070098,114.8757362,134.0757485,104.62947,108.9571128,105.4498955,86.0,84.0,80.0,96.0,106.0,130.0
Mozambique,0.329,0.05,0.0,1.959,0.04,1.7,0.3,0.0,0.064,0.063,0.0457135,0.0247718,0.0,0.002856,0.0218055,0.0,0.0216682,0.0001072,8.23e-05,0.0,0.0212018,0.0,4.3e-06,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4026647,2.1558313,0.6211563,0.6093978,1.3061798,3.9036287,0.2024087,0.962895,0.4091322,1.1800661,0.3139375,0.132529,0.379819,0.223504,0.2086915,0.6679154,0.0,1.0,0.0,0.0,0.0,0.0
Niger,0.0,0.0,0.0,4.472,0.78,0.312,0.624,1.56,2.496,0.996,0.5029999,0.208,0.9319999,0.6739999,0.0,0.0,0.0,0.0,0.0,0.1443823,0.0,0.0,0.0589667,0.0,1.0,0.0,3.0,4.0,3.0
Sao Tome and Principe,0.119,0.083,0.017,0.083,0.119,0.4830001,0.24,0.52,0.577,0.02,0.235,0.185,0.072,0.0,0.0,0.0,0.0,0.0013773,0.0063,0.0952,0.0,0.004,0.0024,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,0.009,0.0049999,0.094,0.039,0.0,0.9966623,0.0,0.173316,0.0795965,0.3806778,0.1335802,0.543245,2.0168505,4.967111,9.3837167,13.2681352,25.179074,6.5632972,3.1968122,1.6453717,0.5706225,2.7483522,5.5754405,6.0,5.0,6.0,9.0,8.0,3.0
Seychelles,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,0.5,0.527,0.137,0.8,0.617,1.85,0.042,0.047,0.999,0.0,0.0047329,0.314,0.075,0.9779837,0.5749999,0.108,0.2159922,0.0,0.0339943,0.391,0.016998,0.0169972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"South Africa, Rep.of",10.283,28.3660008,58.4560005,33.967,37.6120004,32.8439999,29.9850003,68.6709999,116.2122968,43.3927284,44.3940616,36.0005451,32.4701948,27.8755582,34.3260433,40.3926109,82.9980067,135.6305043,53.1814915,35.8330812,39.8810209,35.3845694,37.8252867,100.0,110.0,107.0,98.0,108.0,106.0
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.3,0.0,0.0433333,0.0,0.0,0.0,0.0,0.0,0.0,0.3166667,0.0833333,0.0833333,0.0833333,0.056,0.0,0.0,0.0,0.0,0.0,0.0
Asia & Oceania,1448.8880025,1826.7710041,1948.2160013,2130.5960041000003,3357.7833347000005,2320.0550181999997,1857.8070043,2511.5629692,1926.6457334,1924.7041161,2587.3014758,3373.2179576000003,3724.7812545,4030.0847255,4306.498429399999,3819.9626805,3354.0,3181.6665589,2596.8457573,3153.9272245,3764.3813702,3662.8639984,4079.7249585,4345.0907501,4359.805544399999,4257.0,5031.0,5333.0,7053.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479999,0.665,0.9179999,0.802,1.6119813,11.6610003,33.6790009,91.835002,88.1602476,102.3053008,119.2469334,102.8396299,60.7432807,34.5304783,28.5411207,26.7281333,25.4235542,26.61685,25.0,17.0,21.0,17.0
Australia,110.3770007,143.2220019,80.0329992,45.8680013,59.2539998,59.00068,83.7800012,98.9460002,72.4100009,70.8409998,89.3889982,133.6629871,144.9359852,130.3839897,140.0296435,160.0592335,182.3276201,166.0541134,134.0573466,139.6860076,143.0927327,157.0486069,135.4957995,124.9893878,138.0260176,149.0,178.0,183.0,231.0
Azerbaijan,0.0,0.0,0.0,0.0,0.893,0.0,0.0,0.0,0.0,3.4679999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066667,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.2650001,0.9429995,1.6599993,1.4969991,0.5879999,0.9959996,0.9259999,0.4109996,0.2989996,0.0759996,0.395,0.1990161,0.3186141,0.0984023,0.556037,1.8115921,3.5111873,2.3119133,1.6541677,1.287539,1.4903377,1.3440522,1.5721209,1.0464279,2.6550458,6.0,2.0,2.0,8.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2444,0.0,0.7816767,1.0001333,0.2537167,0.1937167,0.0866666,0.112,0.0770767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0310014,0.0080009,0.0119996,0.001,0.0029999,0.253,0.0060017,0.0080002,0.014,0.0299999,0.011,0.018,0.015,0.064,0.172,0.0342333,0.0385667,0.0,0.0171383,0.054002,0.0577382,0.1618753,0.0461801,0.0712607,0.1653439,0.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.4333333,0.3333333,0.0,0.0666667,0.0,0.35,0.0,0.0,0.0,0.0324,0.0004165,0.1716667,0.119,0.304165,0.0,0.0047203,0.0007735,0.0205537,0.0157792,0.0,0.0052063,0.0,0.0,0.0,0.0
"China, People's Republic of",47.0619998,34.9810001,57.059000000000005,66.80999990000001,117.799,37.5980008,19.9379997,254.839,137.0299913,120.2796398,105.5370206,213.0547601,211.1439642,283.56808970000003,283.370188,226.1412501,325.714438,360.9729466,414.6722487,567.9339906,561.1806243,657.0222385000001,1073.2630223,1333.6227339,1115.7884315,1114.2108563,1658.0,1418.0,1973.0
   China (Mainland),30.984,7.73,1.1220001,13.4469999,23.464,15.0410003,4.7350001,234.563,111.1549912,72.69764,59.1340266,192.7427627,208.5289644,274.3240905,272.5949717,210.2448156,313.5913232,350.473662,404.4327729,562.7190749,555.0457037,640.3980625,1052.1932683,1304.3526221,1101.1586573,1091.0033157,1606.0,1306.0,1752.0
   Hong Kong,16.0779998,27.2510001,55.9369999,53.3600001,94.335,22.5570005,15.1159997,20.2740001,25.8750001,47.5799999,46.402994,20.3119974,2.6149998,9.2439992,10.7752163,15.8964345,12.1231148,10.4992846,10.2394758,5.2149157,6.1349206,16.583121,20.7759747,29.2648133,14.6249745,23.2075406,52.0,112.0,216.0
   Macao,0.0,0.0,0.0,0.0029999,0.0,0.0,0.0869999,0.0019999,0.0,0.0019999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041055,0.2937793,0.0052985,0.0047997,0.0,0.0,0.0,6.0
Fiji,1.587,1.1409995,0.441,0.6719997,0.2919986,0.0809999,0.8400001,0.197,0.1319987,0.4219986,0.259,0.9859998,2.1619999,0.888427,0.7245653,0.4560334,0.106192,0.0666373,0.1198558,0.1073081,0.2526515,1.0218475,0.0909827,0.1349915,0.1205705,0.0,0.0,0.0,0.0
"Iran, Islamic Rep. of",0.002,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733333,0.9966623,0.0433333,0.0,6.706659,1.8866633,1.3099983,1.31,11.2211114,31.982438,7.8879667,3.4881592,4.07877,5.5046333,12.0,4.0,2.0,2.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9249999,0.0,0.01,0.0,0.0,0.0019998,0.0,0.1620001,0.011,1.0,0.0,0.0,0.0
Israel,0.667,8.8810004,119.1150021,126.8520026,106.5140027,83.0830024,57.6580017,95.6400015,65.8490008,56.8900007,69.6479931,62.6459948,28.6849977,17.0569998,34.0176334,61.8762325,73.6218074,90.2976225,75.1052444,49.2901451,75.2626729,55.8824,90.2325862,54.230572,9.2926967,10.0,7.0,12.0,14.0
Jordan,0.671,3.964,11.9679999,5.222,7.053,31.705,10.5819999,19.623,17.806,17.6939999,17.051,32.3699994,13.3399993,21.0329981,24.6319979,5.8960301,10.9209895,7.4129391,13.3326781,33.3920796,22.1129672,58.8949949,62.5853624,76.2150455,55.1625101,39.0,40.0,36.0,23.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.126,0.3209999,0.091,0.0,1.7760001,0.444,0.074,0.0,0.2312833,1.4279142,2.3011335,1.4864155,1.2119994,1.1630958,7.8251735,23.5345561,14.19585,26.3231833,31.6073174,35.1304407,29.0,27.0,35.0,30.0
"Korea, Rep. of",53.4239995,64.2310002,62.050999,104.3510002,89.8010006,94.266,70.9000001,113.826,82.6879999,51.3230001,70.8619909,72.4309909,105.8739871,97.968988,100.0375717,142.7172836,135.0265004,162.0128863,180.7253491,247.9689376,344.5307566,545.121969,392.7524569,381.1799982,507.8486083,538.0,559.0,14.0,14.0
Kuwait,3.4269999,0.828,3.2160001,1.2290001,1.058,0.2719999,2.0940002,1.0759999,0.411,1.1429999,2.051,8.767,14.4459998,4.814,5.9030895,3.6678334,2.045257,2.7452799,1.7883321,3.3456571,0.5896608,3.9228696,2.8067224,1.1142072,1.4185076,5.0,3.0,2.0,0.0
Kyrgyz Republic,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.7536667,0.4495,0.0696254,0.0,0.0,0.0,0.0,0.4862,0.08134,1.340192,0.2262,0.689,1.5027333,2.01305,0.4457833,0.7199833,0.5281467,3.0,3.0,29.0,0.0
Lebanon,3.0,19.833001,37.6830019,14.8750007,14.8750007,3.9670001,3.9670001,3.814,3.029167,3.2752694,2.1003507,3.1337167,3.2442828,8.1523906,7.3850001,8.5184513,11.9310448,13.4006686,13.9134931,12.0835806,12.7018506,25.6465482,33.686182,34.0436113,32.6149524,30.0,27.0,1945.0,2347.0
Malaysia,28.5380002,28.9490002,29.8259997,26.9209998,40.4280003,95.9029997,124.0250001,162.177,203.5809999,401.7110008,754.0609014,1119.0128551,1176.0158483,1277.6498315,1602.5517883,682.5653397,528.8984589,568.6484058,794.5930339,1312.0468801,1731.7840621,1200.4399625,1342.1424883,1440.0082662,1583.0938885,1539.0,1563.0,0.0,0.0
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104,8.67e-05,0.0,0.0,0.0,0.0,0.19643,0.0,0.0,0.0,0.0,0.0,0.0587383,0.0299823,0.0,0.0,27.0,51.0
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.878,3.115,4.6120001,5.715,2.6,2.254,1.483,0.9359996,0.343,1.3779966,1.9470002,0.703992,2.0210002,3.959,8.0,9.0,13.0,14.0
New Zealand,0.6199999,0.9760002,3.0909996,1.0830001,7.7239997,9.106,1.2119995,1.2520003,7.2299998,3.0999997,3.3449996,6.4778563,4.4268559,2.4561305,3.6105646,5.8051126,3.5484634,3.2091406,5.2833503,35.7265726,23.9412862,27.9481561,8.5539134,17.8254388,16.3020498,18.0,20.0,17.0,0.0
Oman,0.876,0.636,1.0359999,0.087,1.314,0.19,0.675,1.4919999,4.3410002,9.814,8.9049996,0.512,2.8219997,2.8789998,0.708478,1.7744167,3.22965,3.2199168,2.2474063,1.35349,0.63852,0.4843855,1.0395982,1.5392617,1.6960946,1.0,3.0,15.0,1.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67e-05,0.0,0.0,0.0,0.0,4.33e-05,0.6298567,1.1422753,0.9854867,2.0,1.0,1.0,0.0
Qatar,0.037,0.026,0.0149999,0.0,0.138,0.015,0.011,1.061,1.134,2.1840001,0.362,0.365,1.1619998,0.006,10.5519986,0.301086,1.1736727,1.111286,0.3160252,0.5108258,1.46155,0.6561688,1.4861517,0.550775,0.5735965,0.0,1.0,546.0,520.0
Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030333,0.0010512,0.0004333,0.0,0.0,0.0020043,0.1318167,0.0286433,0.0,0.0,0.0,1.0
Saudi Arabia,15.598,1.604,2.3060001,5.4120001,7.6590001,2.6580002,5.973,3.3700001,5.527,6.5239999,9.2739999,16.7919995,8.4619998,6.7533234,0.539027,2.033617,4.1195287,1.2311833,22.0860001,27.5513336,36.792167,31.9363336,29.0776586,48.7920503,49.1140334,41.0,45.0,67.0,34.0
Singapore,1142.1120005,1449.977,1320.2740004,1490.4460008,2786.2239985,1861.8130021,1346.9949995,1662.0500012,1267.7350004,1130.2590003,1410.6168407,1639.7878032,1896.2124145,2060.1677477,1898.5964732,2330.6939075,1888.3398937,1574.0160894,713.4759093,519.1893035,581.5219854,675.6483796,676.0588052,545.1164806,490.1020194,371.0,337.0,353.0,407.0
Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,0.667,6.0,1.967,0.204,0.2,1.091,0.051,0.0,0.021,0.0,0.297,0.12,0.2041262,3.1344167,2.7123401,4.0396668,6.4458336,6.3189921,7.7238334,16.9274998,5.7238334,17.051434,21.6006584,20.9460001,9.2200003,10.0,17.0,0.0,0.0
Taiwan,23.8410004,43.1140003,198.6650004,211.764,104.5240004,14.9239998,87.2080004,37.9730002,8.3389997,15.064,25.9059969,25.6939971,32.2659977,31.9929962,20.0918133,4.1781033,5.2100394,35.17425,57.1240921,64.5019823,65.4571292,72.8534024,80.0956493,72.6495411,71.6434419,97.0,100.0,100.0,120.0
Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002833,6.67e-05,0.00098,0.0003967,0.0013288,0.0,0.0,0.0,0.0
Turkey,0.0870002,1.447,6.2770004,1.0349997,2.6610004,2.3270002,11.0149996,16.4849994,9.7600002,3.0430005,5.0465756,4.4349606,4.3548699,5.3145764,7.3458853,8.2730615,12.3426049,14.1433416,15.9767322,12.7829764,15.7757158,23.0225226,42.6528238,52.7597813,57.2867869,62.0,61.0,82.0,94.0
United Arab Emirates,15.3889999,16.0069999,10.6599998,25.564,7.969999799999999,19.6190002,28.9590007,36.0880001,36.035,24.0449999,10.8679999,26.9479996,58.86798,36.8600005,63.9840019,67.9126126,45.7084512,43.9694782,35.9106317,27.184415,46.9099498,51.3922979,26.1026651,72.8652375,144.6387098,146.0,350.0,412.0,1152.0
Caribbean,12.7269998,7.246000100000001,7.1580001,3.5969997000000005,2.8209994,2.0569998,6.55,5.1910001,4.4669998,3.1639998,3.3953333,6.565,2.3123400000000003,4.1372666,8.7377877,6.876278299999999,4.184471200000001,4.678640499999999,6.7174659000000005,3.7545162,4.4437302,3.6295748,3.2312720999999995,7.069883600000001,6.7145299,6.0501209000000005,3.807688,1.0,1.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333,0.0,0.0,0.0,0.0,0.005913,0.0005333,0.00039,0.0,1.67e-05,0.0042047,0.0027178,0.0102138,0.0,0.0002824,0.0027197,0.0097154,0.0,0.0
Aruba,7.267,0.833,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.03,0.237,0.0589333,0.0608399,0.00078,0.0003466,0.0,0.0,0.0163713,0.0563773,0.0303228,0.0003123,0.0005633,0.0114437,0.0016258,0.3526063,1.0,0.0
Bahamas,0.0,0.0,0.002,0.0,0.0,0.0819999,0.0,0.0,0.0,0.0,0.005,0.0,0.28334,0.2833333,0.208767,0.3574301,0.0,0.0044981,0.0137618,0.0,9e-06,0.3638208,0.0,9.8e-06,0.0,0.0,0.000108,0.0,0.0
Barbados,0.0049999,0.013,0.012,0.0,0.0,0.0,0.0,0.001,0.0,0.0029999,0.0,0.0,0.0,0.008,0.017,0.0507812,0.0145513,0.0061233,0.0234023,0.0657348,0.0709367,0.0004198,0.0027774,0.0001041,0.0268179,0.0364549,0.0009233,0.0,0.0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0.0119998,0.0419999,0.0749998,0.0629998,0.0599997,0.06,0.0329999,0.0330001,0.0069999,0.0159999,0.007,0.014,0.057,0.046,0.004,0.0031482,0.00065,0.0147333,0.0030333,0.011,0.0141162,0.0061777,0.0079875,0.00805,0.0100237,0.292,0.162,0.0,0.0
Grenada,0.16,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026333,0.0039333,0.0046833,0.0,0.0016667,0.1083333,0.0,0.0,0.0235083,0.0196733,0.0084933,0.0263667,0.1620741,0.0,0.0
Netherlands Antilles,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333,0.03333,0.016665,0.0563317,0.119,0.0396667,0.0198333,0.0209931,0.02,0.3349999,0.009,0.0,0.0
Puerto Rico,5.2740002,6.2540003,6.8180003,3.463,2.7329999,1.9149999,6.5170001,5.157,3.8599999,2.536,3.25,6.521,1.735,3.741,8.4403428,6.4525592,4.1302694,4.6193838,6.6576635,3.4960574,4.1790863,3.1864492,3.1511677,6.9893767,6.5776347,5.3059537,2.7697599,0.0,1.0
Saint Lucia,0.0039999,0.048,0.001,0.0039999,0.0189999,0.0,0.0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0.0042047,0.0017333,0.000104,0.000182,0.0012733,0.0001553,0.0,0.0,0.0,0.0,0.0,0.0,0.2555008,0.0,0.0
Saint Vincent & the Grenadines,0.005,0.0029999,0.0,0.0,0.0089999,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031868,0.0,0.0,0.0,0.036,0.0,0.0
Central America & Mexico,0.047,0.033,0.033,0.019,0.0,0.0040001,0.0,0.0,0.0269999,0.0699999,0.036,0.027,0.059,0.001,0.002,1.8e-05,0.0,0.0270475,0.0,0.0003024,0.3488517,0.0113833,0.0001358,0.1830444,1.9244578,3.4454710000000004,2.178252,0.0,0.0
Belize,0.047,0.033,0.033,0.019,0.0,0.0040001,0.0,0.0,0.0269999,0.0699999,0.036,0.027,0.059,0.001,0.002,1.8e-05,0.0,0.0270475,0.0,0.0003024,0.3488517,0.0113833,0.0001358,0.1830444,1.9231712,3.4446473,2.178252,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012866,0.0008237,0.0,0.0,0.0
Europe,1.4069994,38.114,18.0550005,8.2720001,31.4336842,9.553316,19.9733402,7.228,23.5969998,22.3683156,17.9339995,12.7743157,31.4552718,43.53832980000001,34.0850502,34.8532469,57.5856502,62.1805303,137.2603663,114.0409096,135.4931379,86.4227372,107.2996785,126.9557971,159.88873539999997,194.0,159.0,166.0,144.0
Albania,0.0,0.0,0.0,1.318,1.983,2.0,2.0,0.0399999,2.9879998,0.6850001,0.755,1.7310001,5.3410002,3.4790002,7.0361104,11.4496946,7.5028309,7.7013047,6.8858351,3.6578333,1.5924734,0.5935918,0.632961,3.6750811,0.3849424,0.0,1.0,2.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.012,1.032,1.4670001,0.399,6.1569999,8.8859995,2.4769998,1.8029999,7.8409991,3.2523393,2.5863887,10.4458642,6.3922697,3.8274977,2.5841753,1.3523105,5.2906599,9.3231134,7.5847337,6.9627821,10.0,18.0,40.0,57.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.453,1.812,1.753,4.1200002,8.2961766,6.4489679,8.9022976,11.3303724,12.6951437,17.1276011,18.0776616,19.6174247,16.1395478,14.471473,22.0961414,19.4056849,25.0,23.0,21.0,22.0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1949999,1.4049998,0.385,0.013,0.013,1.66504,2.9037,0.1294336,0.7886394,0.0,0.0222646,0.0,0.0,0.816665,0.8459316,2.6296244,3.1634196,7.0,1.0,3.0,2.0
Gibraltar,0.0,0.0,0.0,0.0,0.0540001,0.086,0.022,0.031,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069999,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0654108,0.0173737,0.0305987,0.0402477,0.0386334,0.028901,0.2104915,0.0,0.0,0.0,0.0
North Macedonia,0.0,0.0,8.5710002,1.8370001,0.033,0.0209999,0.001,0.3059999,0.07,0.4889999,0.511,0.634,0.778,1.5680001,0.9250722,1.2300944,1.2112363,1.7960282,2.6611796,1.8173704,1.7660061,3.4128292,4.608141,5.2030627,4.9928647,5.0,8.0,6.0,7.0
Moldova,0.0,0.0,0.1600001,0.117,0.3570001,1.4510001,5.587,1.443,0.0,0.0,0.063,0.0,0.0,0.0,0.0733608,0.0752583,0.0307262,0.0081018,0.0014712,0.0785598,0.2916297,0.3894553,0.48672,1.165643,0.2097493,1.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0757194,0.1681471,0.2829321,0.2692697,0.1982769,3.2602522,4.4512277,2.993786,2.3796282,3.0,2.0,2.0,0.0
Serbia,0.0,0.0,4.3240002,0.0,0.0,0.0,0.9280002,0.3010001,7.2880002,0.107,0.04,1.8329998,16.4650004,17.2350008,8.6540004,2.4788333,5.4168924,5.5717412,10.0962973,6.7150722,7.6020449,8.8457492,16.9330057,16.8381238,46.5201677,57.0,63.0,59.0,17.0
Ukraine,0.0,0.0,5.0,5.0,29.006684,5.983316,10.40334,3.64,9.49,13.0723159,5.482,4.333316,2.8892711,3.454113,4.7914992,8.0012464,20.783369,27.8477939,96.2898768,80.8235936,103.042373,47.6337391,55.5084717,64.7407,75.659005,86.0,42.0,34.0,39.0
USSR,0.0,37.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yugoslavia,1.4069994,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
