Kalorie,Kwasy.tłuszczowe.nasycone,Tłuszcze.wielonienasycone,Tłuszcze.jednonienasycone,Tłuszcze.trans,Cholesterol,Sód..mg.,Potas,Błonnik,Cukier,Witamina.A,Witamina.C,Wapń,Żelazo,Tluszcze..g.,Bialko..g.,Weglowodany..g.,Data,Posiłek
392.13,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-20,Przekąski
548.43,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-20,Śniadanie
674.5,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-20,Obiad
1360.08,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-21,Obiad
1360.08,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-21,Obiad
216.53,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-21,Śniadanie
1324.33,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-22,Obiad
532.01,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-22,Śniadanie
380.39,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-22,Przekąski
380.39,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-22,Przekąski
242.38,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-22,Kolacja
1160.46,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-23,Obiad
366.72,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-23,Kolacja
366.72,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-23,Kolacja
366.72,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-23,Kolacja
245.04,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-23,Obiad
389.87,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-24,Kolacja
495.6,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-24,Śniadanie
389.87,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-24,Kolacja
354.36,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-24,Przekąski
354.36,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-24,Przekąski
495.6,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-24,Śniadanie
184.15,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-24,Obiad
503.95,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-25,Śniadanie
360.33,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-25,Przekąski
396.44,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-25,Kolacja
503.95,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-25,Śniadanie
360.33,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-25,Przekąski
396.44,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-25,Kolacja
187.25,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-25,Śniadanie
1351.88,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-26,Obiad
1351.88,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-26,Obiad
215.23,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-26,Kolacja
388.45,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-27,Przekąski
1352.39,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-27,Obiad
1179.24,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-27,Obiad
507.96,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-28,Śniadanie
1264.47,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-28,Obiad
957.82,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-28,Obiad
359.02,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-29,Przekąski
502.11,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-29,Śniadanie
394.99,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-29,Kolacja
394.99,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-29,Kolacja
394.99,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-29,Kolacja
502.11,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-29,Śniadanie
150.6,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-29,Obiad
384.24,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-30,Przekąski
422.74,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-30,Kolacja
1337.73,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-30,Obiad
422.74,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-30,Kolacja
320.98,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-30,Przekąski
475.61,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-31,Śniadanie
475.61,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-31,Śniadanie
475.61,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-31,Śniadanie
340.07,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-31,Przekąski
475.61,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-31,Śniadanie
313.85,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-31,Obiad
396.73,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-01,Przekąski
436.48,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-01,Kolacja
436.48,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-01,Kolacja
1381.21,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-01,Obiad
331.41,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-01,Śniadanie
426.91,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-02,Kolacja
542.69,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-02,Śniadanie
1350.91,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-02,Obiad
426.91,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-02,Kolacja
169.48,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-02,Obiad
509.02,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-03,Śniadanie
363.95,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-03,Przekąski
363.95,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-03,Przekąski
509.02,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-03,Śniadanie
989.97,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-03,Obiad
398.05,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-04,Kolacja
1259.6,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-04,Obiad
506.01,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-04,Śniadanie
361.8,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-04,Przekąski
194.28,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-04,Śniadanie
421.17,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-05,Kolacja
421.17,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-05,Kolacja
421.17,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-05,Kolacja
1332.76,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-05,Obiad
281.43,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-05,Śniadanie
421.54,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-06,Kolacja
421.54,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-06,Kolacja
383.14,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-06,Przekąski
421.54,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-06,Kolacja
421.54,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-06,Kolacja
810.9,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-06,Obiad
511.18,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-07,Śniadanie
402.12,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-07,Kolacja
365.5,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-07,Przekąski
1272.47,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-07,Obiad
196.26,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-07,Obiad
369.94,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-08,Przekąski
407.01,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-08,Kolacja
1287.96,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-08,Obiad
517.4,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-08,Śniadanie
198.65,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-08,Przekąski
357.48,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-09,Przekąski
357.48,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-09,Przekąski
357.48,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-09,Przekąski
1244.55,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-09,Obiad
370.26,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-09,Obiad
471.12,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-10,Śniadanie
1172.76,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-10,Obiad
888.35,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-10,Obiad
521.92,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-11,Śniadanie
410.57,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-11,Kolacja
410.57,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-11,Kolacja
521.92,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-11,Śniadanie
410.57,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-11,Kolacja
373.18,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-11,Przekąski
156.54,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-11,Przekąski
411.2,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-12,Kolacja
1301.2,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-12,Obiad
522.72,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2024-01-12,Śniadanie
373.75,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2024-01-12,Przekąski
200.69,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-12,Kolacja
394.16,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-13,Kolacja
1247.27,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-13,Obiad
1051.69,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2024-01-13,Obiad
431.99,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2024-01-14,Kolacja
