com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4981,4,0,10,2023-12-17 11:20:00.000,,,2023-12-17 11:24:50.749,2023-12-17 11:24:50.749,10,1.5277778,7.61,0.35,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:21:00.000,cf4fd6e2-eca4-4d9d-86fd-36ee2912d1ae,
56982,4,0,102,2023-12-17 11:21:00.000,,,2023-12-17 11:24:50.778,2023-12-17 11:24:50.778,102,1.3611112,77.56,3.97,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:22:00.000,f9215e44-2424-4cbb-9bde-b850517767a9,
60000,4,0,111,2023-12-17 11:22:00.000,,,2023-12-17 11:24:50.785,2023-12-17 11:24:50.785,111,1.411,84.66,4.39,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:23:00.000,827b887e-ea68-4418-83d1-778d6e8182f4,
18562,4,0,32,2023-12-17 11:23:00.000,,,2023-12-17 11:24:50.819,2023-12-17 11:24:50.819,33,1.3333334,24.75,1.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:24:00.000,97ef3d5e-54b7-43d4-8fdd-98f38ecd97be,
10464,4,0,18,2023-12-17 11:24:00.000,,,2023-12-17 11:24:50.860,2023-12-17 11:24:50.860,17,1.2222222,12.79,0.61,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:25:00.000,dfd97c54-d0a7-4aea-a092-1d79480c6f62,
5119,4,0,8,2023-12-17 12:45:00.000,,,2023-12-17 12:51:57.399,2023-12-17 12:51:57.399,8,1.1388888,5.83,0.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:46:00.000,9a3c48bd-3ddf-4090-9e6e-ba394714fbcf,
5319,4,0,8,2023-12-17 12:49:00.000,,,2023-12-17 12:51:57.457,2023-12-17 12:51:57.457,8,1.1111112,5.91,0.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:50:00.000,d0733436-1e8f-43f1-8ce8-1164f602a268,
30240,4,0,46,2023-12-17 12:50:00.000,,,2023-12-17 12:51:57.493,2023-12-17 12:51:57.493,58,1.3888888,42.0,2.15,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:51:00.000,0fa38581-6789-4114-a38c-3299e2d5a984,
59162,4,0,108,2023-12-17 12:51:00.000,,,2023-12-17 12:51:59.922,2023-12-17 12:51:57.514,108,1.3888892,82.17001,4.2799997,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:52:00.000,4f046d40-383e-467a-b5cb-b72311e40072,
60000,4,0,114,2023-12-17 12:52:00.000,,,2023-12-17 12:55:02.158,2023-12-17 12:52:00.476,114,1.4553334,87.32,3.79,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:53:00.000,989da1ba-c967-4d61-bc9e-20b0b06f3d7b,
60000,4,0,102,2023-12-17 12:53:00.000,,,2023-12-17 12:55:02.253,2023-12-17 12:55:02.253,109,1.3763334,82.58,3.95,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:54:00.000,e36a2477-3cd6-43d8-b2f6-048890193d06,
52984,4,0,60,2023-12-17 12:54:00.000,,,2023-12-17 12:55:02.313,2023-12-17 12:55:02.313,109,1.3888888,73.59,4.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:55:00.000,eca24e2e-1aa7-4bab-8158-e7c188332447,
20259,4,0,35,2023-12-17 12:55:00.000,,,2023-12-17 12:55:44.238,2023-12-17 12:55:44.238,35,1.3055556,26.45,1.39,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:56:00.000,03c5abc3-bc33-454f-a5c3-67c33d1b2a0b,
19585,4,0,31,2023-12-17 12:57:00.000,,,2023-12-17 12:57:45.356,2023-12-17 12:57:45.338,31,1.1666666,22.85,1.2,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 12:58:00.000,5b280097-8fce-4766-b59f-372cf72a42c5,
6460,4,0,9,2023-12-17 13:06:00.000,,,2023-12-17 13:08:18.066,2023-12-17 13:08:18.066,9,1.0,6.46,0.34,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:07:00.000,495e5b0a-8cb6-4c60-bf3c-1684ece98b9f,
5202,4,0,8,2023-12-17 13:10:00.000,,,2023-12-17 13:12:27.362,2023-12-17 13:12:27.362,8,1.1111112,5.78,0.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:11:00.000,e9a4723b-d295-4be0-8da3-f854f1380fc1,
51552,4,0,67,2023-12-17 13:11:00.000,,,2023-12-17 13:12:27.393,2023-12-17 13:12:27.393,94,1.25,64.44,4.49,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:12:00.000,1b960c94-458b-416f-aadb-59b30cda8313,
57351,4,0,94,2023-12-17 13:12:00.000,,,2023-12-17 13:12:59.507,2023-12-17 13:12:27.400,103,1.3391054,76.79999,4.389998,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:13:00.000,d0cc483d-88d5-456d-b7b9-5e27e077e3b4,
60000,4,0,113,2023-12-17 13:13:00.000,,,2023-12-17 13:15:01.672,2023-12-17 13:13:00.057,113,1.4388332,86.33,4.149999,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:14:00.000,d00c1867-3e19-4491-bd53-3e0f3fa3e884,
60000,4,0,111,2023-12-17 13:14:00.000,,,2023-12-17 13:15:01.724,2023-12-17 13:15:01.724,111,1.408,84.48,4.32,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:15:00.000,9fb3a687-8f96-47c5-be71-77320e3ba0a4,
56475,4,0,94,2023-12-17 13:15:00.000,,,2023-12-17 13:19:05.651,2023-12-17 13:19:05.651,103,1.3611112,76.87,4.01,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:16:00.000,98a0c9a2-a096-42ab-9ec0-2ae7d3534f2d,
50384,4,0,75,2023-12-17 13:16:00.000,,,2023-12-17 13:19:05.707,2023-12-17 13:19:05.707,90,1.2777778,64.38,3.51,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:17:00.000,ca3da641-e1f1-402f-af67-6350f061a5fe,
57818,4,0,107,2023-12-17 13:17:00.000,,,2023-12-17 13:19:05.755,2023-12-17 13:19:05.755,107,1.4166666,81.91,3.94,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:18:00.000,8f68e05b-25f4-4f0c-b70a-614a24d5a105,
58077,4,0,82,2023-12-17 13:18:00.000,,,2023-12-17 13:19:05.780,2023-12-17 13:19:05.780,103,1.2777778,74.21,5.1,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:19:00.000,d8d8fd6f-948b-4d22-b625-a3597dd409ee,
41970,4,0,71,2023-12-17 13:19:00.000,,,2023-12-17 13:21:17.632,2023-12-17 13:19:05.800,71,1.2649479,53.090004,2.81,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 13:20:00.000,a19828cb-0c6e-4e6e-b2a8-fa7445e8b5be,
4414,4,0,7,2023-12-17 14:46:00.000,,,2023-12-17 14:50:01.956,2023-12-17 14:50:01.956,7,1.1666666,5.15,0.25,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:47:00.000,ea734719-36c3-47f2-abc9-7d8234531fef,
50948,4,0,78,2023-12-17 14:47:00.000,,,2023-12-17 14:50:02.009,2023-12-17 14:50:02.009,81,1.1666666,59.44,3.21,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:48:00.000,01b47108-6db2-4d0d-b884-df712995501c,
32382,4,0,4,2023-12-17 14:48:00.000,,,2023-12-17 14:50:02.038,2023-12-17 14:50:02.038,118,1.7222222,55.77,3.84,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:49:00.000,f7903822-4b9f-44d2-a305-db863739c164,
52622,4,0,77,2023-12-17 14:49:00.000,,,2023-12-17 14:50:02.065,2023-12-17 14:50:02.065,102,1.2777778,67.24,4.04,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:50:00.000,6ae6935e-aaea-442e-9d39-59673309696c,
33512,4,0,52,2023-12-17 14:50:00.000,,,2023-12-17 14:50:59.952,2023-12-17 14:50:02.363,52,1.1357017,38.059986,2.0599995,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:51:00.000,1f223b7b-3936-4aec-8caf-708795193b92,
32525,4,0,48,2023-12-17 14:51:00.000,,,2023-12-17 14:52:42.581,2023-12-17 14:51:00.714,48,1.0674783,34.72,1.8999999,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:52:00.000,0e312ba6-5b2f-48b9-ac43-d5a1db93312d,
