"recordDay","Kroki","Kalorie"
"2023-07-19",6474,421.766
"2023-10-12",6454,180.934
"2022-08-07",6440,152.671
"2023-08-05",6399,154.74
"2020-10-07",6370,140.912
"2023-08-04",6370,135.583
"2020-01-09",6360,134.284
"2023-07-18",6358,166.683
"2022-07-20",6350,146.146
"2022-05-06",6276,156.978
"2023-09-23",6259,146.235
"2023-04-11",6249,179.498
"2023-10-13",6244,161.254
"2022-07-18",6217,302.184
"2020-07-11",6207,449.77
"2020-03-09",6206,130.857
"2022-08-15",6180,142.742
"2020-01-07",6157,130.038
"2023-07-27",6144,380.667
"2020-08-18",6076,704.067
"2023-04-28",6071,165.438
"2022-11-22",6059,179.304
"2023-05-14",6057,163.399
"2023-05-09",6051,171.705
"2021-07-17",6040,134.087
"2020-04-23",6038,127.187
"2022-07-26",6019,292.716
"2020-09-13",6015,414.695
"2021-12-16",5995,144.411
"2023-10-03",5992,161.983
"2020-08-13",5989,118.207
"2020-02-25",5982,125.002
"2023-05-30",5967,162.817
"2022-07-10",5960,266.897
"2022-07-09",5927,136.844
"2023-04-10",5917,108.602
"2020-08-11",5910,471.847
"2022-09-01",5875,2025.944
"2020-04-28",5873,938.712
"2022-07-28",5805,125.444
"2022-07-01",5713,337.073
"2021-10-25",5657,150.149
"2023-08-13",5639,118.843
"2022-07-16",5623,300.027
"2020-06-09",5613,853.929
"2020-06-11",5592,482.072
"2020-01-13",5590,117.657
"2021-07-01",5589,123.289
"2021-11-05",5566,143.075
"2023-07-10",5558,409.536
"2022-08-03",5557,126.302
"2022-03-07",5538,142.035
"2023-06-05",5517,144.037
"2023-09-12",5504,1363.212
"2023-09-20",5491,118.515
"2020-05-28",5474,792.273
"2020-11-01",5449,122.147
"2020-01-08",5443,117.239
"2022-06-26",5431,119.886
"2021-07-12",5430,121.372
"2023-06-12",5411,155.558
"2023-04-13",5394,148.091
"2020-06-04",5388,844.732
"2022-03-14",5387,141.368
"2023-08-03",5354,132.259
"2020-10-06",5315,114.929
"2021-10-23",5312,126.228
"2021-07-20",5292,576.57
"2022-07-08",5259,120.496
"2023-06-04",5227,135.693
"2019-12-18",5210,198.535
"2020-07-23",5195,997.062
"2023-05-08",5195,144.532
"2021-10-27",5194,146.654
"2021-07-03",5176,110.947
"2023-07-31",5162,131.483
"2022-03-25",5130,132.335
"2023-08-01",5130,119.623
"2023-04-25",5125,145.076
"2021-09-30",5099,134.217
"2020-06-03",5069,562.748
"2021-10-26",5015,134.458
"2021-11-30",5012,162.503
"2020-10-08",4973,104.889
"2023-10-29",4965,287.895
"2020-01-17",4945,103.367
"2021-07-26",4944,104.086
"2020-08-19",4910,391.475
"2023-11-12",4905,93.011
"2020-07-13",4895,100.117
"2022-06-12",4892,101.599
"2023-08-14",4868,92.171
"2021-07-07",4866,115.525
"2023-07-12",4803,406.349
"2021-10-28",4796,124.073
"2020-07-01",4754,234.862
"2023-07-08",4739,434.559
"2022-08-12",4726,103.751
"2021-06-10",4722,125.693
"2023-06-08",4720,110.108
"2023-09-27",4715,103.07
"2020-07-10",4696,337.085
"2020-01-15",4688,98.071
"2020-05-25",4688,100.625
"2022-03-21",4680,340.123
"2022-01-04",4670,258.12
"2020-05-24",4656,102.717
"2022-09-29",4639,83.86
"2023-08-10",4627,123.218
"2020-07-20",4624,519.651
"2022-12-22",4622,142.195
"2021-11-20",4620,107.04
"2022-06-08",4596,93.303
"2020-04-29",4590,632.22
"2022-07-29",4572,248.223
"2022-08-26",4551,82.37
"2022-09-03",4534,345.687
"2020-10-03",4531,95.099
"2020-03-06",4510,94.738
"2022-11-24",4506,138.03
"2022-03-28",4484,441.092
"2021-06-30",4470,86.864
"2022-08-24",4469,82.526
"2020-07-02",4468,77.952
"2021-06-24",4463,499.744
"2020-09-24",4458,91.778
"2020-06-13",4441,610.249
"2021-10-19",4437,126.413
"2021-09-20",4415,118.227
"2020-08-05",4409,92.096
"2020-01-10",4366,95.462
"2020-01-14",4360,91.654
"2023-07-21",4360,88.811
"2020-07-22",4310,415.419
"2021-11-04",4272,100.074
"2023-08-02",4269,104.861
"2021-06-21",4260,296.47
"2023-09-22",4254,87.106
"2020-09-12",4246,436.337
"2021-12-01",4234,108.744
"2023-07-04",4230,389.855
"2021-09-28",4170,96.163
"2020-01-02",4156,87.234
"2021-11-10",4151,108.136
"2020-08-04",4136,1548.671
"2021-10-12",4133,111.204
"2021-07-30",4132,92.066
"2023-05-25",4117,115.015
"2022-03-03",4106,105.129
"2023-09-15",4040,580.569
"2020-08-21",4032,86.931
"2023-04-09",4021,70.899
"2022-07-27",4011,519.559
"2021-09-21",4006,90.442
"2021-11-16",3981,97.264
"2023-05-04",3962,458.215
"2022-07-17",3957,83.93
"2020-09-29",3951,84.001
"2021-09-15",3951,102.564
"2021-09-24",3910,101.127
"2020-03-28",3906,82.673
"2021-08-10",3896,78.748
"2022-08-08",3895,124.117
"2023-06-24",3877,62.989
"2021-07-02",3776,101.836
"2019-12-22",3771,85.297
"2022-06-11",3729,79.624
"2023-07-24",3709,69.55
"2022-06-20",3690,334.801
"2022-03-22",3668,553.931
"2021-09-23",3662,97.37
"2023-04-23",3660,98.846
"2022-08-29",3659,416.074
"2020-04-26",3643,739.187
"2020-01-16",3629,76.145
"2022-06-17",3600,263.18
"2022-08-31",3587,281.689
"2023-09-09",3573,644.798
"2021-09-17",3517,86.957
"2023-06-11",3502,82.378
"2022-11-20",3470,261.117
"2023-02-05",3457,95.141
"2020-11-03",3455,76.322
"2020-10-05",3452,72.523
"2023-11-10",3452,56.681
"2022-08-02",3440,332.58
"2023-07-30",3401,324.183
"2023-09-06",3396,377.496
"2022-09-06",3373,858.754
"2020-10-15",3357,69.156
"2022-06-10",3340,72.733
"2021-06-07",3311,74.858
"2020-08-29",3276,68.013
"2021-10-06",3218,83.253
"2023-10-07",3217,304.49
"2020-06-18",3216,196.912
"2022-06-05",3190,82.573
"2021-09-16",3163,64.857
"2021-07-16",3135,55.502
"2020-01-01",3117,65.219
"2020-10-01",3116,65.405
"2020-06-05",3090,64.255
"2021-09-22",3053,76.494
"2020-07-19",3050,157.377
"2023-08-12",3037,55.796
"2022-08-17",3016,298.673
"2022-09-08",3011,301.445
"2021-09-29",2988,71.927
"2022-06-15",2966,194.304
"2020-06-25",2965,62.288
"2022-06-06",2961,52.376
"2020-08-06",2943,63.192
"2020-10-12",2920,61.056
"2022-09-19",2918,374.217
"2022-06-22",2911,250.65
"2022-05-07",2899,596.503
"2023-04-29",2891,48.028
"2022-03-16",2881,76.723
"2023-08-30",2875,42.935
"2022-08-13",2862,226.092
"2021-09-25",2833,53.153
"2023-08-06",2831,52.864
"2023-04-05",2824,49.926
"2020-08-30",2822,58.506
"2022-08-14",2820,59.847
"2020-04-25",2817,400.681
"2020-08-07",2816,52.25
"2020-09-30",2812,59.042
"2021-06-16",2810,65.597
"2022-08-27",2798,208.786
"2022-09-12",2794,74.665
"2023-09-16",2773,63.329
"2021-06-27",2750,52.944
"2023-09-08",2748,504.84
"2022-07-06",2745,273.926
"2021-11-02",2730,69.581
"2020-01-23",2684,582.805
"2020-10-31",2680,55.742
"2021-11-09",2669,74.765
"2020-09-28",2667,55.715
"2022-06-27",2667,273.801
"2022-03-24",2656,489.311
"2021-06-18",2609,621.387
"2020-02-23",2600,50.084
"2023-01-27",2575,69.576
"2021-10-29",2572,61.567
"2020-04-18",2561,54.458
"2019-12-23",2550,53.289
"2023-09-13",2505,134.423
"2023-11-06",2484,277.18
"2020-07-15",2477,56.624
"2022-03-23",2477,496.332
"2022-09-16",2472,197.454
"2023-09-04",2459,48.134
"2021-08-23",2436,608.094
"2021-07-15",2427,47.549
"2020-01-26",2417,44.037
"2023-10-30",2408,216.416
"2021-08-21",2401,56.653
"2023-06-25",2400,251.755
"2022-09-26",2398,197.478
"2021-08-17",2383,55.203
"2020-07-05",2367,327.691
"2021-06-22",2327,469.221
"2023-09-21",2311,537.714
"2023-07-02",2305,47.267
"2022-09-05",2286,272.021
"2023-07-29",2259,453.688
"2020-03-16",2257,39.195
"2019-12-26",2248,48.468
"2020-08-26",2244,46.253
"2021-08-24",2183,465.555
"2023-07-26",2179,49.425
"2022-09-23",2160,283.363
"2023-09-01",2154,518.568
"2020-02-22",2145,37.111
"2022-09-28",2143,243.354
"2023-10-17",2106,65.816
"2020-04-11",2080,43.364
"2020-10-22",2078,43.273
"2023-06-26",2077,36.153
"2023-04-15",2057,53.104
"2020-02-08",2041,42.643
"2022-07-03",2012,39.209
"2020-04-04",2010,41.714
"2022-06-21",2006,194.424
"2021-06-17",1982,434.005
"2020-03-25",1973,41.142
"2023-05-03",1962,46.306
"2022-01-07",1956,32.261
"2020-07-29",1950,40.843
"2022-06-28",1937,195.669
"2021-11-12",1925,44.855
"2020-04-12",1917,40.087
"2020-09-19",1897,42.606
"2023-05-05",1858,641.303
"2020-07-03",1853,179.238
"2023-08-28",1850,533.971
"2021-08-12",1845,31.466
"2020-01-22",1840,34.743
"2020-10-10",1840,38.419
"2020-01-21",1835,34.783
"2020-03-12",1830,40.032
"2022-09-13",1828,227.239
"2020-01-25",1812,31.081
"2022-11-25",1804,191.923
"2020-05-22",1796,37.668
"2023-10-15",1773,42.36
"2022-06-24",1768,176.713
"2020-09-20",1767,36.884
"2020-03-27",1752,36.431
"2022-06-13",1744,485.879
"2022-06-03",1736,1085.217
"2023-08-07",1729,27.295
"2020-06-06",1727,36.018
"2020-02-02",1717,36.39
"2019-12-24",1700,36.431
"2023-07-13",1699,50.12
"2021-08-01",1679,828.475
"2023-09-17",1670,822.783
"2020-10-18",1667,34.577
"2020-10-24",1643,34.395
"2020-06-14",1642,32.398
"2021-06-11",1630,519.372
"2020-10-26",1605,33.529
"2020-05-09",1604,33.496
"2022-03-18",1601,544.722
"2020-06-30",1596,34.481
"2021-08-11",1595,22.944
"2020-06-12",1576,32.925
"2022-10-01",1559,37.928
"2020-04-17",1553,32.479
"2019-12-31",1534,31.996
"2021-08-22",1532,26.969
"2020-01-04",1503,31.397
"2020-04-06",1496,32.955
"2020-04-27",1491,31.128
"2020-03-07",1485,31.033
"2020-04-09",1480,31.843
"2020-10-23",1458,31.907
"2020-04-02",1434,29.961
"2020-03-18",1430,31.37
"2020-06-19",1430,29.84
"2020-05-27",1424,29.596
"2020-04-08",1410,32.083
"2020-08-08",1406,29.238
"2020-03-24",1405,29.176
"2020-03-17",1399,29.232
"2020-03-30",1399,29.986
"2020-05-19",1382,31.666
"2020-05-13",1381,28.787
"2020-06-23",1381,29.441
"2020-07-18",1373,29.806
"2020-05-23",1366,31.969
"2022-07-12",1357,34.072
"2020-10-14",1336,27.766
"2020-04-13",1328,30.052
"2020-03-23",1312,27.283
"2020-06-27",1308,27.38
"2020-03-15",1301,27.167
"2020-09-06",1289,26.899
"2019-12-25",1287,26.93
"2020-04-21",1279,26.626
"2023-02-10",1267,20.158
"2020-09-05",1263,27.954
"2022-02-18",1260,21.717
"2020-03-29",1256,28.005
"2020-03-08",1250,26.059
"2020-10-21",1244,26.027
"2020-06-21",1234,25.722
"2020-06-08",1221,25.574
"2020-10-28",1210,26.569
"2020-02-28",1209,23.046
"2020-05-01",1209,25.247
"2021-03-05",1204,22.743
"2023-04-16",1204,31.196
"2020-10-17",1196,24.913
"2020-11-02",1196,24.77
"2020-11-21",1186,20.151
"2023-01-20",1183,33.53
"2020-05-10",1181,24.558
"2020-09-27",1180,24.652
"2020-02-29",1169,25.82
"2020-05-06",1168,26.122
"2020-02-27",1160,24.172
"2021-05-04",1155,865.643
"2020-05-26",1150,23.896
"2022-05-12",1149,624.087
"2020-08-23",1143,23.659
"2023-05-21",1139,32.318
"2022-08-16",1131,262.201
"2020-04-05",1130,23.477
"2020-08-27",1110,23.118
"2020-07-06",1099,22.496
"2020-04-10",1097,22.726
"2021-11-27",1092,18.64
"2020-04-14",1086,22.695
"2020-03-26",1083,22.427
"2021-10-18",1069,22.676
"2020-07-26",1054,444.092
"2020-11-20",1054,24.272
"2020-01-03",1049,22.044
"2022-06-16",1042,22.069
"2021-10-15",1035,14.993
"2020-06-24",1024,21.35
"2022-06-04",1020,17.629
"2019-12-30",1016,21.321
"2020-07-30",1009,21.019
"2020-08-01",1007,21.168
"2020-10-20",997,23.9
"2021-06-12",984,230.504
"2020-08-17",981,20.359
"2019-12-27",967,20.209
"2020-04-20",967,22.042
"2023-07-11",966,662.538
"2020-05-12",962,20.185
"2020-04-07",943,19.729
"2020-05-04",943,19.55
"2020-04-16",924,19.066
"2020-08-09",923,21.203
"2020-07-25",922,21.475
"2020-02-09",899,18.677
"2020-10-11",899,18.565
"2022-06-09",884,706.17
"2020-03-31",870,18.082
"2020-10-04",869,18.021
"2020-10-19",846,17.6
"2022-07-05",843,16.8
"2020-06-16",841,17.397
"2020-01-19",826,17.124
"2020-06-20",823,17.154
"2020-08-16",822,16.099
"2020-05-05",807,16.764
"2020-01-06",804,16.698
"2023-09-29",802,280.605
"2021-09-14",795,13.902
"2022-05-23",795,455.395
"2020-10-25",793,16.407
"2020-09-26",792,16.431
"2020-03-22",790,16.403
"2022-08-01",789,18.313
"2020-03-20",773,16.134
"2020-10-27",764,15.922
"2020-01-12",759,15.771
"2021-09-12",742,13.443
"2020-08-22",723,15.114
"2020-06-29",718,14.777
"2021-08-14",714,823.629
"2020-05-07",704,14.724
"2020-06-28",703,14.603
"2020-02-16",673,14.004
"2020-04-19",673,13.973
"2020-07-09",666,13.261
"2020-04-24",664,13.822
"2020-08-20",661,14.963
"2020-04-03",654,13.493
"2020-05-17",646,13.338
"2020-05-02",645,13.434
"2020-07-12",629,12.747
"2021-05-09",629,9.62
"2020-10-29",628,12.956
"2020-04-01",620,12.894
"2020-05-21",602,12.536
"2020-05-18",591,12.262
"2020-06-17",563,11.787
"2020-05-14",556,14.901
"2021-04-11",547,133.657
"2020-03-14",546,11.183
"2020-06-07",529,11.035
"2020-12-09",527,9.82
"2020-01-05",520,10.735
"2020-03-21",508,10.465
"2020-07-08",506,10.463
"2020-03-01",502,10.377
"2020-04-15",500,10.434
"2020-05-31",485,10.072
"2020-03-19",476,9.957
"2020-07-16",468,9.22
"2020-02-26",433,8.605
"2019-12-17",418,8.947
"2020-05-15",416,8.668
"2020-03-13",407,8.337
"2019-12-29",405,8.336
"2021-11-28",359,5.555
"2021-02-27",346,761.865
"2020-06-02",343,7.138
"2020-10-30",332,6.868
"2022-09-11",324,7.503
"2021-10-09",315,5.328
"2020-04-30",297,6.146
"2023-05-07",294,7.269
"2021-05-16",279,452.878
"2022-10-28",273,4.317
"2022-07-23",272,3.662
"2020-12-12",242,2.946
"2022-03-15",237,245.063
"2020-05-30",210,4.348
"2021-03-04",206,2.128
"2021-11-29",192,1.989
"2021-10-02",184,3.549
"2023-09-28",135,1.419
"2021-09-11",134,2.216
"2023-10-22",128,1.12
"2020-12-10",101,1.749
"2021-10-13",90,1.789
"2022-12-14",80,1.032
"2022-06-07",64,1.471
"2021-08-15",60,269.926
"2023-06-09",52,0.977
"2022-03-08",41,0.205
"2020-11-17",40,0.367
"2021-04-10",36,0.507
"2022-01-03",35,0.315
"2022-08-28",32,0.398
"2021-11-11",28,0.363
"2022-09-18",28,0.53
"2021-12-07",25,0.191
"2022-09-02",24,0.295
"2021-10-03",17,0.018
"2020-12-13",15,0.23
"2023-10-01",13,0.151
"2022-08-19",8,0.012
"2023-09-19",0,100.907
