"Data","Dystans","Kalorie","Czas","Średnie.tętno","Maksymalne.tętno","Średnia.prędkość","Maksymalna.prędkość","Całkowity.wznios","Całkowity.spadek","Średnie.odchylenie.do.długości","Średni.rytm.pedałowania","Maksymalny.rytm.pedałowania","Łącznie.obrotów","Minimalna.temperatura","Czas.najlepszego.okrążenia","Liczba.okrążeń","Maksymalna.temperatura","Czas.ruchu","Upłynęło.czasu","Minimalna.wysokość","Maksymalna.wysokość","Year","Month","Day","Hour","Minute","Second","DurationMinutes"
2023-08-14 17:42:21,41.9,NA,01:37:19,142,161,25.8,39,117,115,0,69,87,6194,21,"01:37:19.02",1,27,"01:37:11","01:37:19",125,200,"2023","08","14","17","42","21",97.3166666666667
2023-08-13 10:12:01,66.94,NA,02:34:52,148,162,25.9,38.8,120,123,0,67,84,9746,22,"02:34:51.85",1,29,"02:34:50","02:34:52",84,143,"2023","08","13","10","12","01",154.866666666667
2023-07-30 11:02:31,41.74,NA,01:36:42,145,164,25.9,38.8,103,107,0,70,90,6412,18,"01:36:42.48",1,24,"01:36:41","01:36:42",105,191,"2023","07","30","11","02","31",96.7
2023-07-23 11:22:28,46.02,NA,01:42:55,150,165,26.8,42.7,154,146,0,75,91,7260,18,"01:42:55.46",1,24,"01:42:51","01:42:55",134,169,"2023","07","23","11","22","28",102.916666666667
2023-06-25 11:33:54,72.62,NA,02:48:58,151,167,25.8,39.8,276,268,0,76,104,11940,18,"02:48:57.61",1,27,"02:48:45","02:48:58",136,204,"2023","06","25","11","33","54",168.966666666667
2023-06-11 11:06:00,53.38,NA,01:55:42,152,166,27.7,52.2,199,198,0,77,97,8311,17,"01:55:41.73",1,23,"01:55:42","01:55:42",70,125,"2023","06","11","11","06","00",115.7
2023-06-08 10:24:21,35.72,NA,01:16:58,154,169,27.8,41.9,82,79,0,78,98,5787,17,"01:16:58.19",1,22,"01:16:58","01:16:58",131,165,"2023","06","08","10","24","21",76.9666666666667
2023-06-04 11:52:44,56.38,NA,02:03:46,149,164,27.3,50.5,210,205,0,77,96,9025,17,"02:03:45.50",1,22,"02:03:22","02:03:46",171,225,"2023","06","04","11","52","44",123.766666666667
2023-05-21 11:35:36,56.61,NA,02:07:49,155,176,26.6,55.2,218,213,0,79,116,9543,15,"02:07:49.18",1,23,"02:07:34","02:07:50",153,213,"2023","05","21","11","35","36",127.816666666667
2023-05-03 11:28:47,33.14,855,01:16:09,141,160,26.1,39.9,106,103,0,71,87,5154,11,"01:16:08.51",1,16,"01:15:52","01:16:09",144,173,"2023","05","03","11","28","47",76.15
2023-05-01 16:21:01,41.98,NA,01:35:54,150,164,26.3,37.8,123,118,0,74,90,6584,13,"01:35:53.75",1,25,"01:35:21","01:35:54",112,174,"2023","05","01","16","21","01",95.9
2023-04-23 17:12:47,36.23,959,01:25:20,138,156,25.5,36.4,62,62,0,NA,NA,NA,15,"01:25:20.39",1,21,"01:25:06","01:25:20",85,141,"2023","04","23","17","12","47",85.3333333333333
2023-04-22 12:39:55,35.9,NA,01:26:11,147,168,25,37.8,97,99,0,NA,NA,NA,15,"01:26:11.24",1,21,"01:25:33","01:26:11",97,140,"2023","04","22","12","39","55",86.1833333333333
2022-09-25 13:04:14,34.89,910,01:22:20,143,159,25.4,40.4,97,96,0,NA,NA,NA,11,"01:22:20.17",1,15,"01:22:14","01:22:20",103,147,"2022","09","25","13","04","14",82.3333333333333
2022-09-04 11:56:07,60.04,NA,02:19:17,139,164,25.9,41.9,114,117,0,NA,NA,NA,16,"02:19:17.48",1,22,"02:19:13","02:24:05",81,140,"2022","09","04","11","56","07",139.283333333333
2022-09-01 11:51:49,34.24,859,01:58:37,133,160,17.3,26.5,82,78,0,NA,NA,NA,24,"12:49.39",7,33,"01:55:27","02:38:05",-3,8,"2022","09","01","11","51","49",118.616666666667
2022-08-20 10:23:24,77.93,NA,02:57:51,145,166,26.3,46.3,292,289,0,NA,NA,NA,22,"02:57:51.10",1,29,"02:57:42","03:05:37",137,198,"2022","08","20","10","23","24",177.85
2022-08-16 17:44:20,41.93,NA,01:29:59,150,165,28,43.8,109,117,0,77,94,6435,19,"01:29:58.86",1,23,"01:29:20","01:29:59",153,195,"2022","08","16","17","44","20",89.9833333333333
2022-08-14 11:13:43,58.61,NA,02:04:17,154,173,28.3,51,158,153,0,81,114,9580,19,"02:04:16.82",1,23,"02:04:17","02:05:52",125,167,"2022","08","14","11","13","43",124.283333333333
2022-08-03 10:51:28,103.84,NA,04:01:48,144,160,25.8,44.8,385,378,0,73,99,16057,18,"04:01:48.20",1,28,"04:01:34","04:06:04",87,148,"2022","08","03","10","51","28",241.8
2022-07-28 17:03:35,62.81,NA,02:17:31,146,161,27.4,45.9,235,233,0,73,101,9351,16,"02:17:30.62",1,20,"02:17:24","02:17:31",86,142,"2022","07","28","17","03","35",137.516666666667
2022-07-24 12:47:42,23.08,514,00:57:20,126,141,24.2,37.8,65,65,0,66,82,3545,18,"57:19.96",1,22,"00:56:57","01:00:04",95,122,"2022","07","24","12","47","42",57.3333333333333
2022-07-20 18:26:04,41.55,NA,01:33:39,147,160,26.6,40.4,119,114,0,71,85,6366,19,"01:33:38.71",1,25,"01:33:39","01:33:39",112,167,"2022","07","20","18","26","04",93.65
2022-07-17 16:06:41,10.76,401,00:25:06,0,0,25.7,39,26,28,0,69,86,1634,15,"25:06.45",1,22,"00:25:06","00:25:06",134,147,"2022","07","17","16","06","41",25.1
2022-06-26 10:02:32,62.57,NA,02:29:17,140,158,25.1,45.2,190,193,0,67,92,9012,19,"02:29:16.99",1,28,"02:29:17","02:29:17",74,119,"2022","06","26","10","02","32",149.283333333333
2022-06-19 11:30:41,41.53,992,01:39:21,137,150,25.1,37.7,109,104,0,68,86,6314,24,"01:39:21.34",1,31,"01:39:21","01:39:21",111,156,"2022","06","19","11","30","41",99.35
2022-06-18 12:27:43,41.77,NA,01:31:04,146,167,27.5,39.4,121,117,0,76,95,6487,16,"01:31:04.32",1,24,"01:31:04","01:31:04",72,120,"2022","06","18","12","27","43",91.0666666666667
2022-06-16 14:54:59,44.99,998,01:59:07,133,159,22.7,36.4,117,111,0,63,87,6318,18,"01:59:07.21",1,28,"01:58:50","02:01:37",115,161,"2022","06","16","14","54","59",119.116666666667
2022-06-12 17:29:19,41.69,NA,01:36:02,153,164,26.1,41.5,119,111,0,77,94,6884,19,"01:36:01.50",1,23,"01:35:50","01:36:02",103,151,"2022","06","12","17","29","19",96.0333333333333
2022-06-11 13:51:27,63.71,NA,02:27:15,153,166,26,35.6,130,127,0,76,93,10756,17,"02:27:15.35",1,24,"02:27:15","02:27:15",42,109,"2022","06","11","13","51","27",147.25
2022-06-05 12:31:57,43.11,NA,01:36:03,151,171,26.9,42.6,137,131,0,77,95,6954,19,"01:36:03.17",1,26,"01:35:55","01:36:03",101,150,"2022","06","05","12","31","57",96.05
2022-05-19 17:11:48,48.22,NA,01:46:49,0,0,27.1,39.2,117,112,0,76,94,7759,15,"01:46:48.88",1,21,"01:46:49","01:48:06",67,108,"2022","05","19","17","11","48",106.816666666667
2022-05-11 18:05:00,41.97,NA,01:36:37,0,0,26.1,37.1,66,68,0,NA,NA,NA,15,"01:36:36.54",1,22,"01:36:37","01:36:37",74,129,"2022","05","11","18","05","00",96.6166666666667
2022-05-08 12:31:50,34.77,964,01:22:30,142,155,25.3,43.6,95,93,0,72,98,5483,15,"01:22:30.35",1,18,"01:22:30","01:22:33",103,147,"2022","05","08","12","31","50",82.5
2022-05-07 13:29:38,55.58,NA,02:01:57,151,162,27.3,42.4,176,168,0,74,97,8525,16,"02:01:56.78",1,20,"02:01:52","02:01:58",108,178,"2022","05","07","13","29","38",121.95
2022-05-03 11:21:33,43.83,NA,01:47:00,142,169,24.6,42.6,128,124,0,71,99,6862,14,"01:47:00.37",1,17,"01:46:53","01:47:02",107,154,"2022","05","03","11","21","33",107
2022-05-01 11:15:58,58.04,NA,02:09:46,0,0,26.8,41.8,222,220,0,75,94,9104,14,"02:09:45.62",1,18,"02:09:46","02:09:46",76,137,"2022","05","01","11","15","58",129.766666666667
2022-04-24 12:56:36,34.62,821,01:20:15,148,164,25.9,42.3,104,95,0,NA,NA,NA,27,"10:33.71",7,30,"01:19:39","01:20:15",110,154,"2022","04","24","12","56","36",80.25
2022-04-23 15:52:41,24.62,557,01:15:59,128,153,19.4,28.1,66,64,0,NA,NA,NA,24,"13:52.31",5,30,"01:15:18","01:38:56",123,149,"2022","04","23","15","52","41",75.9833333333333
2021-11-14 11:48:18,30.11,833,01:00:01,152,165,30.1,38.6,NA,NA,0,71,91,4314,12,"01:00:00.82",1,17,"01:00:01","01:00:01",79,81,"2021","11","14","11","48","18",60.0166666666667
2021-11-07 19:25:33,30.95,856,01:05:03,149,167,28.6,40.5,1,1,0,72,96,4682,14,"01:05:02.54",1,18,"01:04:57","01:05:03",190,194,"2021","11","07","19","25","33",65.05
2021-10-31 10:39:57,55.41,NA,02:08:00,148,168,26,41.2,137,128,0,70,94,8601,12,"02:07:59.87",1,16,"02:07:34","02:09:02",95,153,"2021","10","31","10","39","57",128
2021-10-10 10:56:33,45.75,NA,01:52:11,139,157,24.5,34.3,133,130,0,67,82,7275,8,"01:52:10.79",1,13,"01:52:11","01:52:11",106,151,"2021","10","10","10","56","33",112.183333333333
2021-09-26 10:38:30,65.58,NA,02:35:36,139,156,25.3,40.6,122,129,0,72,93,10297,13,"02:35:35.91",1,17,"02:33:38","02:35:36",89,146,"2021","09","26","10","38","30",155.6
2021-09-12 10:25:04,90.72,NA,03:18:52,150,165,27.4,43.3,419,415,0,79,99,14857,15,"03:18:51.71",1,24,"03:18:47","03:21:20",111,179,"2021","09","12","10","25","04",198.866666666667
2021-09-05 12:36:34,59.86,NA,02:10:30,151,172,27.5,39.8,107,114,0,81,104,10178,12,"02:10:30.48",1,17,"02:10:22","02:11:25",65,126,"2021","09","05","12","36","34",130.5
2021-09-04 13:15:58,61.8,NA,02:19:32,142,164,26.6,44.3,251,252,0,75,105,9732,12,"02:19:31.97",1,17,"02:18:35","02:19:32",126,192,"2021","09","04","13","15","58",139.533333333333
2021-08-22 11:39:56,41.66,882,01:40:20,135,161,24.9,42.4,118,118,0,73,95,6493,15,"01:40:19.52",1,18,"01:40:09","01:40:20",75,121,"2021","08","22","11","39","56",100.333333333333
2021-08-21 11:31:00,101.46,NA,03:32:51,159,177,28.6,49.4,387,335,0,81,113,16317,13,"03:32:50.69",1,20,"03:32:51","03:32:51",99,179,"2021","08","21","11","31","00",212.85
2021-08-15 16:40:52,66.57,NA,02:26:56,151,162,27.2,41.2,126,134,0,79,99,11057,18,"02:26:55.60",1,25,"02:26:50","02:26:56",91,152,"2021","08","15","16","40","52",146.933333333333
2021-08-14 10:04:50,109.36,NA,04:18:21,150,165,25.4,43.7,400,395,0,75,101,18266,20,"04:18:20.88",1,33,"04:18:04","04:28:53",88,165,"2021","08","14","10","04","50",258.35
2021-08-12 18:02:53,41.33,NA,01:32:08,141,155,26.9,38.9,92,97,0,77,94,6682,15,"01:32:08.15",1,20,"01:31:35","01:33:59",133,194,"2021","08","12","18","02","53",92.1333333333333
2021-08-08 13:35:26,41.23,892,01:39:56,134,160,24.8,38.3,121,124,0,73,110,6517,18,"01:39:56.44",1,21,"01:39:56","01:41:29",65,137,"2021","08","08","13","35","26",99.9333333333333
2021-08-07 12:58:20,80.91,NA,02:59:56,148,165,27,46.5,299,304,0,74,115,12646,17,"02:59:55.57",1,24,"02:59:56","02:59:56",179,245,"2021","08","07","12","58","20",179.933333333333
2021-08-03 15:52:01,79.57,NA,02:54:24,144,166,27.4,43.1,295,285,0,74,96,12191,17,"02:54:24.09",1,22,"02:54:24","02:54:24",120,192,"2021","08","03","15","52","01",174.4
2021-07-18 16:50:55,41.64,NA,01:29:40,148,166,27.9,41.2,118,116,0,76,113,6479,22,"01:29:40.50",1,25,"01:29:35","01:29:40",70,116,"2021","07","18","16","50","55",89.6666666666667
2021-07-16 18:04:16,52.1,NA,01:52:54,148,163,27.7,41.2,139,144,0,78,105,8301,20,"01:52:54.37",1,25,"01:52:54","01:52:54",100,143,"2021","07","16","18","04","16",112.9
2021-07-15 18:26:23,25.25,714,00:49:22,156,169,30.7,48,59,48,0,82,102,3904,23,"49:22.17",1,24,"00:49:16","00:49:22",133,177,"2021","07","15","18","26","23",49.3666666666667
2021-07-11 10:22:58,67.29,NA,02:25:25,148,162,27.8,48.8,258,256,0,80,102,10983,21,"02:25:24.97",1,25,"02:25:22","02:25:25",112,176,"2021","07","11","10","22","58",145.416666666667
2021-07-10 14:42:48,34.71,968,01:16:51,144,159,27.1,39,96,93,0,76,93,5587,17,"01:16:50.97",1,23,"01:16:51","01:16:51",105,147,"2021","07","10","14","42","48",76.85
2021-06-29 17:37:07,39.29,NA,01:26:01,145,163,27.4,46.6,108,106,0,74,99,5973,21,"01:26:01.16",1,25,"01:26:01","01:29:03",107,150,"2021","06","29","17","37","07",86.0166666666667
2021-06-28 17:06:14,55.1,NA,02:02:54,146,163,26.9,41.7,204,195,0,76,95,8500,20,"02:02:53.65",1,24,"02:02:17","02:03:29",137,188,"2021","06","28","17","06","14",122.9
2021-06-27 18:25:55,36,951,01:19:14,142,158,27.3,38.8,63,62,0,76,92,5769,18,"01:19:13.75",1,22,"01:18:47","01:19:14",92,149,"2021","06","27","18","25","55",79.2333333333333
2021-06-20 09:33:42,65.18,NA,02:35:44,142,161,25.1,42.9,126,125,0,71,93,9755,23,"02:35:43.68",1,30,"02:35:38","02:43:04",88,149,"2021","06","20","09","33","42",155.733333333333
2021-06-19 10:18:29,109.44,NA,04:15:22,149,166,25.7,42.4,411,404,0,75,106,17835,22,"04:15:22.49",1,32,"04:14:35","04:28:33",100,210,"2021","06","19","10","18","29",255.366666666667
2021-06-15 17:18:37,41.88,NA,01:33:09,146,164,27,38.6,119,116,0,76,107,6534,18,"01:33:09.15",1,22,"01:33:09","01:33:09",112,159,"2021","06","15","17","18","37",93.15
2021-06-12 10:05:16,76.9,NA,02:49:25,153,167,27.2,40.4,262,247,0,78,94,12289,20,"02:49:25.32",1,25,"02:48:55","02:49:25",145,199,"2021","06","12","10","05","16",169.416666666667
2021-06-06 09:58:20,61.73,NA,02:30:34,134,160,24.6,47.3,175,178,0,69,100,9359,18,"02:30:34.15",1,25,"02:30:34","02:30:34",86,134,"2021","06","06","09","58","20",150.566666666667
2021-06-05 15:37:47,32.51,968,01:14:53,147,165,26,39.8,96,96,0,71,101,4936,17,"01:14:53.48",1,22,"01:14:53","01:14:53",126,150,"2021","06","05","15","37","47",74.8833333333333
2021-06-03 16:44:22,57.34,NA,02:09:37,148,166,26.5,41.2,214,220,0,75,93,8958,17,"02:09:36.90",1,20,"02:09:28","02:09:58",149,241,"2021","06","03","16","44","22",129.616666666667
2021-06-02 16:56:35,63.74,NA,02:18:10,147,161,27.7,40.7,118,129,0,77,100,10176,14,"02:18:09.95",1,19,"02:18:07","02:18:12",21,83,"2021","06","02","16","56","35",138.166666666667
2021-05-16 10:07:16,55.26,NA,02:01:04,146,163,27.4,43.5,206,206,0,76,94,8559,15,"02:01:03.69",1,19,"02:00:18","02:01:04",204,253,"2021","05","16","10","07","16",121.066666666667
2021-05-13 17:46:45,59.24,NA,02:08:14,155,169,27.7,42.2,106,114,0,78,94,9487,14,"02:08:13.98",1,20,"02:08:08","02:10:28",-45,78,"2021","05","13","17","46","45",128.233333333333
2021-05-11 18:11:23,33.13,NA,01:16:02,156,167,26.1,37.5,90,88,0,72,89,4994,19,"01:16:01.86",1,21,"01:15:18","01:16:02",107,128,"2021","05","11","18","11","23",76.0333333333333
2021-05-09 10:58:19,59.56,NA,02:14:56,151,175,26.5,44.6,183,176,0,75,107,9225,13,"02:14:56.15",1,18,"02:14:56","02:14:56",67,117,"2021","05","09","10","58","19",134.933333333333
2021-04-29 17:15:26,38.56,NA,01:24:03,153,177,27.5,39.9,114,112,0,77,98,5996,13,"01:24:02.73",1,18,"01:23:36","01:29:09",103,153,"2021","04","29","17","15","26",84.05
2021-04-19 17:07:22,35.84,NA,01:20:51,150,175,26.6,39.6,63,67,0,77,93,5908,11,"01:20:51.20",1,17,"01:20:43","01:20:51",87,144,"2021","04","19","17","07","22",80.85
2021-04-18 13:09:06,34.66,997,01:24:45,145,167,24.5,36.4,102,98,0,73,101,5625,8,"01:24:44.65",1,16,"01:24:45","01:26:34",69,117,"2021","04","18","13","09","06",84.75
2021-04-11 11:34:01,50.04,NA,02:09:15,150,167,23.2,47,182,178,0,70,98,7801,14,"02:09:15.44",1,19,"02:08:49","02:11:18",111,159,"2021","04","11","11","34","01",129.25
2021-04-10 15:12:57,35.82,NA,01:24:03,163,175,25.6,33.6,64,64,0,NA,NA,NA,12,"01:24:03.18",1,15,"01:23:40","01:26:03",108,164,"2021","04","10","15","12","57",84.05
2020-11-01 11:48:20,40.99,936,01:44:40,130,153,23.5,33.7,120,110,0,67,80,6479,4,"01:44:39.86",1,16,"01:44:39","01:44:40",126,171,"2020","11","01","11","48","20",104.666666666667
2020-10-04 10:25:57,65.25,NA,02:24:39,146,170,27.1,47.8,250,251,0,71,105,9189,17,"02:24:38.62",1,22,"02:24:00","02:43:06",60,172,"2020","10","04","10","25","57",144.65
2020-09-22 16:39:58,63.07,NA,02:07:28,151,163,29.7,42.2,117,108,0,81,100,9856,13,"02:07:27.97",1,20,"02:06:57","02:08:02",82,137,"2020","09","22","16","39","58",127.466666666667
2020-09-20 12:21:49,47.75,NA,01:37:42,149,170,29.3,40.2,129,123,0,83,118,7573,16,"01:37:41.63",1,19,"01:37:32","01:37:42",105,138,"2020","09","20","12","21","49",97.7
2020-09-19 12:47:11,102.98,NA,03:47:21,147,167,27.2,45.9,383,376,0,75,107,15441,15,"03:47:20.59",1,18,"03:46:43","03:55:04",133,217,"2020","09","19","12","47","11",227.35
2020-09-15 16:54:02,63.34,NA,02:10:58,156,168,29,42.2,121,110,0,82,99,10328,14,"02:10:57.77",1,22,"02:10:52","02:11:50",82,138,"2020","09","15","16","54","02",130.966666666667
2020-09-13 15:00:50,59.19,NA,02:10:06,148,162,27.3,42.2,230,230,0,77,105,9403,17,"02:10:05.66",1,18,"02:09:49","02:10:06",134,232,"2020","09","13","15","00","50",130.1
2020-09-12 12:08:14,110,NA,04:05:05,149,167,26.9,42.6,415,405,0,73,109,16698,17,"04:05:04.81",1,22,"04:04:50","04:05:05",134,204,"2020","09","12","12","08","14",245.083333333333
2020-09-06 14:54:46,43.5,NA,01:34:09,143,161,27.7,35.9,136,135,0,75,104,6648,16,"01:34:08.76",1,19,"01:34:06","01:34:09",56,107,"2020","09","06","14","54","46",94.15
2020-08-23 14:55:43,45.6,NA,01:35:01,145,158,28.8,43.1,117,111,0,76,110,6882,19,"01:35:00.55",1,23,"01:34:58","01:35:01",127,164,"2020","08","23","14","55","43",95.0166666666667
2020-08-20 17:10:03,64.52,NA,02:12:56,153,166,29.1,40.2,224,227,0,77,100,9498,19,"02:12:56.12",1,24,"02:12:10","02:12:56",108,169,"2020","08","20","17","10","03",132.933333333333
2020-08-18 17:28:07,45.7,NA,01:31:03,152,164,30.1,42.9,104,105,0,78,103,6707,18,"01:31:02.94",1,21,"01:31:03","01:31:03",120,226,"2020","08","18","17","28","07",91.05
2020-08-15 10:26:15,81.08,NA,03:00:49,141,162,26.9,45.5,294,290,0,76,105,12675,22,"03:00:49.21",1,27,"03:00:40","03:06:35",150,271,"2020","08","15","10","26","15",180.816666666667
2020-08-14 17:13:08,58.38,NA,02:06:17,149,172,27.7,48.9,222,226,0,76,106,8759,19,"02:06:16.91",1,25,"02:06:11","02:06:43",113,166,"2020","08","14","17","13","08",126.283333333333
2020-08-01 14:54:40,103.89,NA,03:38:12,151,164,28.6,47.6,404,399,0,82,110,16637,18,"03:38:11.53",1,22,"03:38:06","03:42:42",133,200,"2020","08","01","14","54","40",218.2
2020-07-30 17:17:38,59.3,NA,02:07:39,143,165,27.9,42.6,220,216,0,78,99,8988,18,"02:07:39.17",1,22,"02:07:36","02:07:39",124,180,"2020","07","30","17","17","38",127.65
2020-07-25 14:51:11,106.54,NA,03:51:09,149,165,27.7,46.6,427,427,0,80,111,16899,22,"03:51:09.37",1,26,"03:50:58","03:55:10",98,157,"2020","07","25","14","51","11",231.15
2020-07-22 17:20:29,75.81,NA,02:40:02,148,162,28.4,40.2,288,282,0,77,97,11359,15,"02:40:01.57",1,21,"02:39:57","02:40:02",125,185,"2020","07","22","17","20","29",160.033333333333
2020-07-20 17:37:56,27.62,785,00:54:49,150,160,30.2,40.8,58,60,0,85,102,4506,20,"54:48.92",1,23,"00:54:47","00:54:49",108,126,"2020","07","20","17","37","56",54.8166666666667
2020-07-17 18:50:16,31.74,930,01:07:00,152,169,28.4,38.2,86,90,0,82,105,4926,14,"01:06:59.82",1,18,"01:06:30","01:07:00",107,145,"2020","07","17","18","50","16",67
2020-07-14 17:41:19,58.06,NA,02:00:12,157,173,29,40.4,216,213,0,81,112,8835,15,"02:00:11.75",1,19,"01:59:42","02:00:12",105,165,"2020","07","14","17","41","19",120.2
2020-07-12 11:39:58,54.42,NA,02:10:33,144,160,25,38.6,200,195,0,70,89,7730,14,"02:10:32.95",1,20,"02:10:06","02:10:33",44,119,"2020","07","12","11","39","58",130.55
2020-07-05 11:22:56,100.27,NA,03:53:40,145,166,25.7,43.6,391,380,0,75,117,16055,21,"03:53:39.76",1,29,"03:53:21","04:04:09",134,202,"2020","07","05","11","22","56",233.666666666667
2020-07-01 17:52:41,65.5,NA,02:17:46,155,172,28.5,46.7,255,251,0,81,110,10211,19,"02:17:46.49",1,24,"02:17:40","02:17:46",121,178,"2020","07","01","17","52","41",137.766666666667
2020-06-27 16:56:09,27.56,842,00:57:10,158,172,28.9,39.6,72,69,0,81,107,4299,20,"57:10.12",1,25,"00:57:10","00:57:10",126,149,"2020","06","27","16","56","09",57.1666666666667
2020-06-20 12:20:43,30.75,910,01:04:42,149,167,28.5,39.6,95,88,0,82,107,4860,21,"01:04:42.34",1,24,"01:04:32","01:04:55",132,191,"2020","06","20","12","20","43",64.7
2020-06-13 15:19:52,89.49,NA,03:22:30,152,168,26.5,42.2,345,331,0,76,104,14213,20,"03:22:29.95",1,25,"03:22:22","03:22:30",130,199,"2020","06","13","15","19","52",202.5
2020-06-12 17:44:29,44.1,NA,01:45:31,155,171,25.1,37.2,140,140,0,70,92,6606,21,"01:45:30.71",1,26,"01:45:09","01:45:31",123,194,"2020","06","12","17","44","29",105.516666666667
2020-06-11 12:04:30,33.56,994,01:07:59,158,174,29.6,40.6,83,86,0,83,107,5399,20,"01:07:58.94",1,23,"01:07:59","01:07:59",108,145,"2020","06","11","12","04","30",67.9833333333333
2020-06-07 14:11:38,43.54,NA,01:33:16,153,175,28,41.3,144,135,0,79,108,6721,20,"01:33:15.61",1,28,"01:32:24","01:33:16",96,128,"2020","06","07","14","11","38",93.2666666666667
2020-05-23 10:36:03,73.21,NA,02:36:53,157,173,28,40.9,248,237,0,82,110,11850,14,"00:00.00",1,18,"02:36:42","02:36:53",169,219,"2020","05","23","10","36","03",156.883333333333
2020-05-17 11:13:16,45.82,NA,01:37:07,155,169,28.3,39.1,109,107,0,82,119,7619,13,"00:00.00",1,18,"01:37:07","01:37:07",87,146,"2020","05","17","11","13","16",97.1166666666667
2020-05-16 11:26:31,25.68,758,00:53:53,153,167,28.6,44.6,63,64,0,79,115,4068,10,"00:00.00",1,18,"00:53:46","00:53:53",124,140,"2020","05","16","11","26","31",53.8833333333333
2020-05-10 11:07:21,44.6,NA,01:39:17,152,169,27,39.5,149,138,0,NA,NA,NA,17,"00:00.00",1,23,"01:38:36","01:43:15",109,142,"2020","05","10","11","07","21",99.2833333333333
2020-05-09 13:31:12,62.77,NA,02:17:41,155,176,27.4,41.8,124,113,0,NA,NA,NA,16,"00:00.00",1,21,"02:17:13","02:20:45",85,150,"2020","05","09","13","31","12",137.683333333333
2020-05-03 12:37:32,30.34,786,01:05:02,143,155,28,38.2,1,NA,0,78,95,5035,15,"00:00.00",1,17,"01:04:47","01:05:02",170,173,"2020","05","03","12","37","32",65.0333333333333
2020-05-01 11:22:21,47.91,NA,01:53:04,145,179,25.4,40.6,85,80,0,NA,NA,NA,12,"00:00.00",1,15,"01:53:02","01:53:04",175,235,"2020","05","01","11","22","21",113.066666666667
2020-04-13 17:09:39,30.63,860,01:02:01,152,167,29.6,38.7,2,1,0,78,95,4876,13,"00:00.00",1,16,"01:01:50","01:02:01",212,218,"2020","04","13","17","09","39",62.0166666666667
2020-04-08 20:00:36,30.11,848,01:04:22,147,165,28.1,37.7,NA,NA,0,73,101,4718,14,"00:00.00",1,18,"01:04:21","01:04:22",65,67,"2020","04","08","20","00","36",64.3666666666667
2020-04-05 11:38:55,40.39,NA,01:30:02,150,167,26.9,43.8,NA,NA,0,70,103,6299,18,"00:00.00",1,25,"01:29:23","01:30:02",-15,-10,"2020","04","05","11","38","55",90.0333333333333
