"","Activity.Date","Activity.Type","Elapsed.Time","Distance","Moving.Time","srednia_predkosc_km_h","max_predkosc_km_h","Elevation.Gain","Elevation.Loss","Elevation.High","Elevation.Low","Max.Grade","Average.Grade","startTime","avgSpeed","Dystans","Osoba","Kalorie","Czas"
"56","Jun 14, 2022, 6:26:08 AM","Ride",37505,29.17,5030,20.8769142150879,38.152970123291,36.7470779418945,35.4470748901367,95.4000015258789,80.6999969482422,34.0394096374512,0.00445668119937181,2022-06-14 06:26:08,20.8769142150879,29.17,"Kuba",NA,83.8333333333333
"57","Jun 16, 2022, 1:49:18 PM","Ride",16122,74.03,11885,22.4237445831299,49.635001373291,177.078094482422,176.678085327148,119.400001525879,80.6999969482422,13.9795217514038,0.000540325127076358,2022-06-16 13:49:18,22.4237445831299,74.03,"Kuba",NA,198.083333333333
"58","Jun 17, 2022, 2:05:41 PM","Ride",10084,60.16,9800,22.1001937866211,48.960001373291,86.4064636230469,89.8064651489258,119.099998474121,80.6999969482422,14.0273971557617,-0.00565144140273333,2022-06-17 14:05:41,22.1001937866211,60.16,"Kuba",NA,163.333333333333
"59","Jun 15, 2022, 8:44:59 AM","Ride",1420,5.79,1010,20.6546607971191,33.2279296875,19.9847221374512,6.8847222328186,98.8000030517578,80.6999969482422,4.2971043586731,0.226065531373024,2022-06-15 08:44:59,20.6546607971191,5.79,"Kuba",NA,16.8333333333333
"60","Jun 22, 2022, 8:03:17 AM","Ride",18371,104.15,15857,23.6459135055542,49.4324993133545,290.843994140625,290.444000244141,124.5,80.6999969482422,13.3333330154419,0.00038404788938351,2022-06-22 08:03:17,23.6459135055542,104.15,"Kuba",NA,264.283333333333
"61","Jun 23, 2022, 11:47:45 AM","Ride",14510,58.82,10899,19.4297693252563,49.471875,97.1451110839844,96.7451095581055,119.599998474121,80.6999969482422,48.6316413879395,0.000679998833220452,2022-06-23 11:47:45,19.4297693252563,58.82,"Kuba",NA,181.65
"62","Jun 30, 2022, 9:34:43 AM","Ride",11171,67.37,10233,23.7007112503052,104.384008026123,81.1102066040039,81.1101989746094,118.699996948242,79,13.065390586853,0,2022-06-30 09:34:43,23.7007112503052,67.37,"Kuba",NA,170.55
"63","Jul 1, 2022, 8:18:38 AM","Ride",15286,59.1,12015,17.7104690551758,56.11640625,87.7202835083008,87.7202835083008,119.599998474121,80.6999969482422,12.5013561248779,0,2022-07-01 08:18:38,17.7104690551758,59.1,"Kuba",NA,200.25
"64","Jul 4, 2022, 1:55:07 PM","Ride",9055,58.89,8525,24.8691432952881,66.3120002746582,84.5365829467773,84.1365814208984,119.099998474121,81.3000030517578,13.3537893295288,0.000679215008858591,2022-07-04 13:55:07,24.8691432952881,58.89,"Kuba",NA,142.083333333333
"65","Jul 6, 2022, 2:10:28 PM","Ride",10112,58.33,9744,21.5520223617554,46.9223430633545,87.2605667114258,87.2605667114258,119.099998474121,80.6999969482422,15.1203994750977,0,2022-07-06 14:10:28,21.5520223617554,58.33,"Kuba",NA,162.4
"66","Jul 7, 2022, 12:26:47 PM","Ride",10728,58.82,10018,21.1396179199219,54.1729694366455,88.0540771484375,87.8540725708008,119.199996948242,80.6999969482422,16.9482975006104,0.000339980761054903,2022-07-07 12:26:47,21.1396179199219,58.82,"Kuba",NA,166.966666666667
"67","Jul 12, 2022, 1:06:59 PM","Ride",10825,59.85,10166,21.1940706253052,58.082698059082,89.8380584716797,89.5380554199219,119.199996948242,80.6999969482422,12.7145738601685,0.000501255679409951,2022-07-12 13:06:59,21.1940706253052,59.85,"Kuba",NA,169.433333333333
"68","Jul 13, 2022, 9:54:20 AM","Ride",15942,59.03,11690,18.1803663253784,54.360001373291,88.0023651123047,87.9023971557617,119.900001525879,80.6999969482422,13.3735179901123,0.000169389066286385,2022-07-13 09:54:20,18.1803663253784,59.03,"Kuba",NA,194.833333333333
"69","Jul 15, 2022, 1:01:00 PM","Hike",17092,14.13,11893,4.27730112075806,37.1953125,502.343597412109,502.443603515625,1196.80004882812,822.799987792969,49.5824012756348,-0.00070768705336377,2022-07-15 13:01:00,4.27730112075806,14.13,"Kuba",NA,198.216666666667
"70","Jul 16, 2022, 4:57:40 AM","Hike",38914,27.75,26937,3.7089955329895,11.7504049301147,1501.43334960938,1501.63330078125,2146.26196289062,990,49.8701286315918,-0.000720654206816107,2022-07-16 04:57:40,3.7089955329895,27.75,"Kuba",NA,448.95
"71","Jul 17, 2022, 10:29:07 AM","Hike",19642,14.73,13905,3.81377334594727,11.2106251716614,645.805603027344,649.605651855469,1367.65502929688,817.900024414062,49.0661010742188,-0.025796465575695,2022-07-17 10:29:07,3.81377334594727,14.73,"Kuba",NA,231.75
"72","Jul 18, 2022, 4:58:18 AM","Hike",37896,26.7,25267,3.80426287651062,13.8178121566772,2057.35913085938,2072.45922851562,2135.89990234375,975.700012207031,49.9979209899902,-0.0565529502928257,2022-07-18 04:58:18,3.80426287651062,26.7,"Kuba",NA,421.116666666667
"73","Jul 19, 2022, 5:53:09 AM","Hike",25586,17.37,16937,3.69292373657227,19.0223430633545,1470.48095703125,1521.38098144531,2095.19995117188,934.599975585938,49.8657531738281,-0.292963474988937,2022-07-19 05:53:09,3.69292373657227,17.37,"Kuba",NA,282.283333333333
"74","Jul 20, 2022, 4:56:02 AM","Hike",31493,25.37,22157,4.12260847091675,15.0261331558228,1612.16979980469,1612.86987304688,2474.83203125,989.599975585938,49.9984245300293,-0.00275878282263875,2022-07-20 04:56:02,4.12260847091675,25.37,"Kuba",NA,369.283333333333
"75","Jul 21, 2022, 9:25:09 AM","Hike",22448,18.81,17355,3.90165324211121,17.5176555633545,1644.05639648438,1651.85632324219,2258,977.099975585938,49.9989395141602,-0.0414690226316452,2022-07-21 09:25:09,3.90165324211121,18.81,"Kuba",NA,289.25
"76","Jul 23, 2022, 2:07:08 AM","Hike",33585,31.95,28826,3.99032020568848,15.3717184066772,2004.15942382812,2004.859375,2055,817.700012207031,49.9979209899902,-0.0021908285561949,2022-07-23 02:07:08,3.99032020568848,31.95,"Kuba",NA,480.433333333333
"77","Aug 1, 2022, 2:59:54 PM","Ride",11420,57.61,10077,20.5822969436646,45.7635944366455,85.4668197631836,84.9668197631836,119.900001525879,80.6999969482422,11.1441278457642,0.000867855444084853,2022-08-01 14:59:54,20.5822969436646,57.61,"Kuba",NA,167.95
"78","Aug 2, 2022, 10:15:58 AM","Ride",19201,55.79,10909,18.4123718261719,30.909375,64.5531311035156,64.5531311035156,87.9000015258789,77.5,9.43157863616943,0,2022-08-02 10:15:58,18.4123718261719,55.79,"Kuba",NA,181.816666666667
"79","Aug 3, 2022, 3:01:19 PM","Ride",11739,57.49,10240,20.2125452041626,50.204532623291,85.2961959838867,84.9962005615234,119.5,80.6999969482422,14.3479194641113,0.000521798443514854,2022-08-03 15:01:19,20.2125452041626,57.49,"Kuba",NA,170.666666666667
"80","Aug 14, 2022, 12:57:28 PM","Ride",15071,45.12,12470,13.027781867981,73.51875,101.605209350586,101.205207824707,102.199996948242,80.6999969482422,21.8678817749023,0.000886391440872103,2022-08-14 12:57:28,13.027781867981,45.12,"Kuba",NA,207.833333333333
"81","Aug 16, 2022, 8:42:55 AM","Ride",25828,66.13,11416,20.8564916610718,55.569376373291,105.753768920898,105.35376739502,119.400001525879,80.6999969482422,26.1831703186035,0.000604793720412999,2022-08-16 08:42:55,20.8564916610718,66.13,"Kuba",NA,190.266666666667
"82","Aug 17, 2022, 10:43:17 AM","Ride",13025,65.38,10891,21.6112146377563,49.139998626709,95.27392578125,95.1739273071289,119.599998474121,80.6999969482422,12.9774866104126,0.000152952139615081,2022-08-17 10:43:17,21.6112146377563,65.38,"Kuba",NA,181.516666666667
"83","Aug 18, 2022, 9:43:44 AM","Ride",13576,63.85,11493,20.0026960372925,47.1403118133545,92.540901184082,92.1409072875977,119.900001525879,80.6999969482422,14.2152538299561,0.000626383814960718,2022-08-18 09:43:44,20.0026960372925,63.85,"Kuba",NA,191.55
