DATAFLOW,LAST UPDATE,freq,unit,indx,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2021-01,100.50,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2022-01,98.97,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2023-01,104.75,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2017-01,102.12,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2018-01,97.46,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2019-01,104.24,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2020-01,105.43,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2021-01,100.79,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2022-01,105.95,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CY,2023-01,116.86,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2017-01,102.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2018-01,107.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2019-01,107.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2020-01,114.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2021-01,115.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2022-01,121.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CZ,2023-01,153.5,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2017-01,103.5,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2018-01,106.5,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2019-01,107.3,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2020-01,110.0,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2021-01,112.3,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2022-01,117.8,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DE,2023-01,142.0,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2017-01,101.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2018-01,103.0,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2019-01,104.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2020-01,105.1,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2021-01,105.3,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2022-01,109.8,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,DK,2023-01,126.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2017-01,102.22,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2018-01,108.45,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2019-01,110.45,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2020-01,113.50,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2021-01,113.52,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2022-01,124.01,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EE,2023-01,159.40,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2017-01,101.14,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2018-01,99.89,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2019-01,101.53,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2020-01,101.91,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2021-01,101.37,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2022-01,106.96,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,EL,2023-01,123.65,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2017-01,102.52,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2018-01,103.69,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2019-01,104.68,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2020-01,106.87,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2021-01,108.48,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2022-01,113.73,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,ES,2023-01,131.32,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2017-01,96.98,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2018-01,98.51,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2019-01,100.59,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2020-01,102.38,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2021-01,102.27,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2022-01,104.77,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FI,2023-01,121.87,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2017-01,101.38,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2018-01,102.73,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2019-01,105.72,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2020-01,107.89,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2021-01,109.10,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2022-01,111.10,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,FR,2023-01,127.08,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2017-01,102.53,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2018-01,103.11,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2019-01,102.37,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2020-01,105.66,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2021-01,104.22,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2022-01,114.85,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HR,2023-01,135.37,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2017-01,100.66,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2018-01,105.49,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2019-01,109.68,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2020-01,118.33,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2021-01,122.60,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2022-01,136.01,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,HU,2023-01,201.61,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2017-01,97.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2018-01,95.9,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2019-01,94.3,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2020-01,93.4,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2021-01,91.5,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2022-01,93.3,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IE,2023-01,105.4,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2017-01,100.25,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2018-01,100.35,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2019-01,105.23,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2020-01,106.53,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2021-01,113.68,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2022-01,117.77,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IS,2023-01,130.86,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2017-01,102.8,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2018-01,104.0,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2019-01,104.7,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2020-01,105.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2021-01,106.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2022-01,110.3,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,IT,2023-01,124.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2017-01,103.86,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2018-01,107.81,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2019-01,107.79,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2020-01,113.18,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2021-01,112.82,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2022-01,127.25,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LT,2023-01,168.00,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2017-01,103.33,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2018-01,105.40,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2019-01,108.01,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2020-01,109.70,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2021-01,111.31,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2022-01,114.49,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LU,2023-01,128.35,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2017-01,105.90,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2018-01,108.34,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2019-01,109.89,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2020-01,113.96,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2021-01,113.95,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2022-01,124.71,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,LV,2023-01,160.21,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2017-01,106.16,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2018-01,106.54,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2019-01,110.33,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2020-01,113.08,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2021-01,113.10,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2022-01,121.76,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,MT,2023-01,136.53,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2017-01,101.05,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2018-01,103.32,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2019-01,106.66,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2020-01,108.70,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2021-01,109.38,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2022-01,114.09,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NL,2023-01,134.23,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2017-01,100.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2018-01,103.1,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2019-01,104.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2020-01,106.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2021-01,108.1,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2022-01,107.0,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,NO,2023-01,119.7,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2017-01,104.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2018-01,108.9,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2019-01,109.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2020-01,118.5,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2021-01,118.9,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2022-01,129.8,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PL,2023-01,156.6,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2017-01,101.65,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2018-01,102.69,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2019-01,102.95,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2020-01,103.73,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2021-01,104.88,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2022-01,108.85,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,PT,2023-01,131.79,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2017-01,98.94,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2018-01,102.76,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2019-01,107.82,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2020-01,113.17,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2021-01,115.94,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2022-01,124.75,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,RO,2023-01,153.72,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2017-01,102.23,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2018-01,104.92,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2019-01,106.90,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2020-01,109.39,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2021-01,111.31,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2022-01,113.65,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SE,2023-01,137.40,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2017-01,102.08,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2018-01,105.35,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2019-01,106.29,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2020-01,110.06,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2021-01,109.78,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2022-01,114.95,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SI,2023-01,137.69,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2017-01,98.80,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2018-01,105.97,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2019-01,107.86,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2020-01,113.03,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2021-01,112.39,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2022-01,121.87,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,SK,2023-01,156.74,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2017-01,115.35,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2018-01,125.02,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2019-01,164.99,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2020-01,179.40,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2021-01,212.44,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2022-01,332.94,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,TR,2023-01,566.46,d
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,UK,2017-01,98.2,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,UK,2018-01,102.0,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,UK,2019-01,102.5,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,UK,2020-01,103.7,
